County,Precinct,Registered Voters,Sherry Boston (I) (Dem)_Election Day Votes,Sherry Boston (I) (Dem)_Advanced Voting Votes,Sherry Boston (I) (Dem)_Absentee by Mail Votes,Sherry Boston (I) (Dem)_Provisional Votes,Sherry Boston (I) (Dem)_Choice Total,Total Votes
DeKalb,Wesley Chapel Library,2922.0,198.0,1112.0,710.0,7.0,2027.0,2027.0
DeKalb,Woodrow Road,3493.0,252.0,1103.0,488.0,10.0,1853.0,1853.0
DeKalb,Winnona Park,2020.0,53.0,884.0,568.0,2.0,1507.0,1507.0
DeKalb,Woodridge Elem,3851.0,328.0,1030.0,750.0,12.0,2120.0,2120.0
DeKalb,Warren Tech,1364.0,168.0,362.0,220.0,4.0,754.0,754.0
DeKalb,Woodward,3193.0,175.0,992.0,796.0,2.0,1965.0,1965.0
DeKalb,White Oak,2951.0,314.0,732.0,421.0,7.0,1474.0,1474.0
DeKalb,Winters Chapel,1434.0,104.0,448.0,322.0,2.0,876.0,876.0
DeKalb,Wynbrooke Elem,3496.0,290.0,1328.0,823.0,12.0,2453.0,2453.0
DeKalb,Young Road,1951.0,108.0,771.0,429.0,8.0,1316.0,1316.0
