Precinct,County,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,calc_participation
7-14C Coastal Cathedral,Chatham,7572.0,430.0,815.0,505.0,2.0,1752.0,549.0,1493.0,1166.0,7.0,3215.0,4967.0,65.6
7-15C Rice Creek School,Chatham,2564.0,263.0,219.0,82.0,3.0,567.0,269.0,431.0,260.0,2.0,962.0,1529.0,59.6
7-16C Pooler Recreation Center Gymnasium,Chatham,3701.0,232.0,864.0,423.0,7.0,1526.0,119.0,552.0,449.0,6.0,1126.0,2652.0,71.7
8-01C Civic Center,Chatham,850.0,21.0,31.0,16.0,0.0,68.0,60.0,101.0,88.0,3.0,252.0,320.0,37.6
8-02C Hellenic Center,Chatham,1709.0,89.0,74.0,49.0,0.0,212.0,180.0,359.0,238.0,1.0,778.0,990.0,57.9
8-03C Silk Hope Baptist Church,Chatham,831.0,161.0,100.0,42.0,0.0,303.0,51.0,48.0,56.0,0.0,155.0,458.0,55.1
8-05C W Broad St YMCA,Chatham,1543.0,23.0,8.0,6.0,0.0,37.0,263.0,207.0,164.0,1.0,635.0,672.0,43.6
8-06C Tompkins Rec Center,Chatham,1055.0,19.0,8.0,6.0,0.0,33.0,184.0,147.0,158.0,4.0,493.0,526.0,49.9
8-07C Woodville-Tompkins TI,Chatham,630.0,8.0,9.0,5.0,1.0,23.0,126.0,100.0,86.0,0.0,312.0,335.0,53.2
8-08C Resur of Our Lord Church,Chatham,1704.0,15.0,9.0,9.0,0.0,33.0,308.0,257.0,274.0,4.0,843.0,876.0,51.4
8-09C Moses Jackson Center,Chatham,1362.0,14.0,11.0,8.0,0.0,33.0,258.0,186.0,204.0,8.0,656.0,689.0,50.6
8-10C Carver Heights Comm Ctr,Chatham,1784.0,21.0,8.0,7.0,0.0,36.0,329.0,260.0,356.0,0.0,945.0,981.0,55.0
8-11C Butler Elementary,Chatham,1386.0,20.0,13.0,6.0,0.0,39.0,246.0,302.0,361.0,0.0,909.0,948.0,68.4
8-12C Beach High School,Chatham,1310.0,42.0,57.0,18.0,1.0,118.0,159.0,209.0,153.0,1.0,522.0,640.0,48.9
8-13C Savannah Christian,Chatham,1022.0,113.0,98.0,52.0,1.0,264.0,41.0,42.0,56.0,1.0,140.0,404.0,39.5
8-15C Garden City Rec Center,Chatham,1622.0,26.0,35.0,21.0,0.0,82.0,203.0,279.0,236.0,2.0,720.0,802.0,49.4
8-16C Royal Cinemas and IMAX,Chatham,3087.0,213.0,585.0,267.0,1.0,1066.0,138.0,501.0,446.0,2.0,1087.0,2153.0,69.7
100,Ware,4740.0,84.0,257.0,143.0,0.0,484.0,216.0,873.0,823.0,7.0,1919.0,2403.0,50.7
200A,Ware,2730.0,189.0,731.0,166.0,3.0,1089.0,82.0,308.0,142.0,8.0,540.0,1629.0,59.7
200B,Ware,976.0,38.0,114.0,47.0,3.0,202.0,32.0,140.0,111.0,0.0,283.0,485.0,49.7
300,Ware,4061.0,355.0,1382.0,327.0,5.0,2069.0,99.0,304.0,179.0,8.0,590.0,2659.0,65.5
304,Ware,1269.0,183.0,408.0,72.0,1.0,664.0,20.0,51.0,37.0,0.0,108.0,772.0,60.8
400,Ware,3538.0,403.0,1440.0,338.0,4.0,2185.0,35.0,184.0,115.0,3.0,337.0,2522.0,71.3
404,Ware,373.0,156.0,70.0,32.0,1.0,259.0,6.0,2.0,16.0,0.0,24.0,283.0,75.9
405,Ware,636.0,202.0,189.0,49.0,1.0,441.0,9.0,9.0,8.0,0.0,26.0,467.0,73.4
406,Ware,1659.0,290.0,657.0,115.0,1.0,1063.0,23.0,54.0,29.0,0.0,106.0,1169.0,70.5
407,Ware,505.0,201.0,110.0,27.0,0.0,338.0,5.0,5.0,5.0,0.0,15.0,353.0,69.9
408,Ware,523.0,205.0,122.0,21.0,0.0,348.0,5.0,6.0,6.0,0.0,17.0,365.0,69.8
409,Ware,984.0,215.0,356.0,70.0,0.0,641.0,11.0,21.0,18.0,0.0,50.0,691.0,70.2
Trinity,Lowndes,10900.0,91.0,318.0,81.0,3.0,493.0,53.0,175.0,121.0,1.0,350.0,843.0,7.7
Naylor,Lowndes,1291.0,193.0,193.0,37.0,0.0,423.0,40.0,89.0,48.0,1.0,178.0,601.0,46.6
Northgate Assembly,Lowndes,1997.0,42.0,138.0,35.0,2.0,217.0,26.0,117.0,46.0,4.0,193.0,410.0,20.5
Douglas,Bacon,6720.0,418.0,3000.0,491.0,1.0,3910.0,126.0,255.0,172.0,1.0,554.0,4464.0,66.4
