Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Smyrna 7A,Cobb,6378,355,1838,1607,0,3800,94,583,565,0,1242,5042,
Sope Creek 01,Cobb,2163,267,426,548,1,1242,106,173,263,0,542,1784,
Sope Creek 02,Cobb,4729,405,1054,1043,3,2505,160,390,469,1,1020,3525,
Sope Creek 03,Cobb,2886,311,613,626,0,1550,119,256,271,0,646,2196,
Sweetwater 01,Cobb,3235,300,818,518,1,1637,88,282,201,0,571,2208,
Sweetwater 02,Cobb,3367,281,593,580,18,1472,61,174,167,3,405,1877,
Terrell Mill 01,Cobb,5816,531,1150,901,10,2592,166,348,338,0,852,3444,
Timber Ridge 01,Cobb,2448,250,520,674,1,1445,94,218,241,0,553,1998,
Vaughan 01,Cobb,3146,327,979,520,0,1826,127,358,170,0,655,2481,
Vinings 01,Cobb,3260,307,803,611,1,1722,93,204,227,0,524,2246,
Vinings 02,Cobb,6400,532,1490,1209,4,3235,158,426,483,2,1069,4304,
Vinings 03,Cobb,4407,311,1124,948,4,2387,90,374,299,1,764,3151,
Vinings 04,Cobb,3405,440,724,733,1,1898,161,224,286,0,671,2569,
Wade Green 02,Cobb,4718,488,1121,850,1,2460,181,408,336,0,925,3385,
Willeo 01,Cobb,2836,340,585,737,0,1662,130,237,256,1,624,2286,
