Precinct,County,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total,calc_participation
Morrow 11,Clayton,2295.0,32.0,88.0,30.0,0.0,150.0,231.0,656.0,281.0,1.0,1169.0,1319.0,57.5
Oak 1,Clayton,2635.0,29.0,29.0,14.0,0.0,72.0,317.0,725.0,286.0,3.0,1331.0,1403.0,53.2
Oak 2,Clayton,1974.0,20.0,29.0,22.0,2.0,73.0,227.0,407.0,223.0,9.0,866.0,939.0,47.6
Oak 3,Clayton,2731.0,21.0,37.0,16.0,0.0,74.0,315.0,650.0,381.0,4.0,1350.0,1424.0,52.1
Oak 4,Clayton,4233.0,39.0,73.0,31.0,0.0,143.0,421.0,1093.0,484.0,7.0,2005.0,2148.0,50.7
Oak 5,Clayton,1795.0,17.0,26.0,7.0,1.0,51.0,170.0,388.0,82.0,5.0,645.0,696.0,38.8
Avondale High,DeKalb,3151.0,25.0,52.0,37.0,0.0,114.0,47.0,502.0,393.0,4.0,946.0,1060.0,33.6
Boulevard,DeKalb,4675.0,62.0,180.0,98.0,1.0,341.0,233.0,1813.0,1199.0,2.0,3247.0,3588.0,76.7
Briar Vista Elem,DeKalb,2965.0,134.0,225.0,148.0,1.0,508.0,136.0,766.0,798.0,0.0,1700.0,2208.0,74.5
Briarcliff,DeKalb,3122.0,158.0,349.0,295.0,4.0,806.0,99.0,636.0,719.0,2.0,1456.0,2262.0,72.5
Bouldercrest Road,DeKalb,2004.0,12.0,36.0,15.0,0.0,63.0,155.0,757.0,363.0,2.0,1277.0,1340.0,66.9
Burgess Elem,DeKalb,3493.0,47.0,115.0,61.0,1.0,224.0,169.0,1306.0,877.0,6.0,2358.0,2582.0,73.9
Columbia Elem,DeKalb,1794.0,5.0,22.0,9.0,0.0,36.0,145.0,318.0,242.0,9.0,714.0,750.0,41.8
Cedar Grove Elem,DeKalb,4097.0,26.0,47.0,22.0,1.0,96.0,283.0,1471.0,773.0,8.0,2535.0,2631.0,64.2
Clifton,DeKalb,1731.0,9.0,26.0,17.0,0.0,52.0,122.0,515.0,331.0,5.0,973.0,1025.0,59.2
Columbia Middle,DeKalb,2178.0,21.0,28.0,9.0,1.0,59.0,139.0,587.0,341.0,6.0,1073.0,1132.0,52.0
Coan Recreation Center,DeKalb,4230.0,38.0,178.0,93.0,0.0,309.0,186.0,1519.0,898.0,2.0,2605.0,2914.0,68.9
Candler,DeKalb,3537.0,45.0,77.0,28.0,1.0,151.0,223.0,983.0,597.0,10.0,1813.0,1964.0,55.5
Cedar Grove Middle,DeKalb,1896.0,15.0,21.0,10.0,0.0,46.0,124.0,489.0,263.0,2.0,878.0,924.0,48.7
Cedar Grove South,DeKalb,3962.0,18.0,50.0,35.0,0.0,103.0,266.0,1560.0,742.0,6.0,2574.0,2677.0,67.6
Clairemont East,DeKalb,3226.0,63.0,210.0,160.0,3.0,436.0,72.0,1062.0,1111.0,1.0,2246.0,2682.0,83.1
Candler Park,DeKalb,4018.0,63.0,203.0,124.0,0.0,390.0,83.0,1641.0,1285.0,1.0,3010.0,3400.0,84.6
Decatur,DeKalb,1937.0,38.0,99.0,46.0,0.0,183.0,66.0,849.0,505.0,0.0,1420.0,1603.0,82.8
Druid Hills High,DeKalb,2725.0,92.0,123.0,129.0,1.0,345.0,101.0,610.0,634.0,2.0,1347.0,1692.0,62.1
East Lake,DeKalb,4139.0,67.0,191.0,70.0,1.0,329.0,202.0,1486.0,921.0,6.0,2615.0,2944.0,71.1
Emory South,DeKalb,3241.0,123.0,262.0,151.0,0.0,536.0,127.0,921.0,868.0,6.0,1922.0,2458.0,75.8
Emory Road,DeKalb,2290.0,37.0,68.0,62.0,1.0,168.0,111.0,605.0,420.0,7.0,1143.0,1311.0,57.2
Fernbank Elem,DeKalb,2125.0,88.0,161.0,138.0,2.0,389.0,80.0,626.0,723.0,1.0,1430.0,1819.0,85.6
Flat Shoals Elem,DeKalb,2409.0,18.0,25.0,10.0,0.0,53.0,195.0,627.0,413.0,5.0,1240.0,1293.0,53.7
Flat Shoals,DeKalb,2649.0,20.0,27.0,12.0,0.0,59.0,179.0,637.0,454.0,5.0,1275.0,1334.0,50.4
Flat Shoals Library,DeKalb,2788.0,18.0,33.0,9.0,0.0,60.0,230.0,713.0,419.0,2.0,1364.0,1424.0,51.1
Glennwood,DeKalb,2715.0,22.0,59.0,44.0,1.0,126.0,42.0,369.0,447.0,3.0,861.0,987.0,36.4
Gresham Road,DeKalb,3601.0,28.0,67.0,41.0,2.0,138.0,201.0,1138.0,771.0,14.0,2124.0,2262.0,62.8
Harris-Margaret Harris ED,DeKalb,1462.0,62.0,83.0,69.0,1.0,215.0,98.0,453.0,297.0,4.0,852.0,1067.0,73.0
Johnson Estates,DeKalb,1600.0,59.0,170.0,129.0,0.0,358.0,28.0,467.0,514.0,0.0,1009.0,1367.0,85.4
Kelley Lake Elem,DeKalb,3015.0,21.0,42.0,30.0,0.0,93.0,267.0,742.0,573.0,3.0,1585.0,1678.0,55.7
Knollwood,DeKalb,2546.0,45.0,44.0,20.0,2.0,111.0,242.0,651.0,463.0,6.0,1362.0,1473.0,57.9
Lavista Road,DeKalb,2223.0,104.0,191.0,183.0,1.0,479.0,91.0,511.0,600.0,3.0,1205.0,1684.0,75.8
Lavista,DeKalb,3223.0,128.0,249.0,188.0,3.0,568.0,156.0,790.0,590.0,6.0,1542.0,2110.0,65.5
Lin-Mary Lin Elem,DeKalb,3009.0,81.0,195.0,125.0,3.0,404.0,101.0,1010.0,890.0,4.0,2005.0,2409.0,80.1
McNair High,DeKalb,4160.0,50.0,88.0,55.0,0.0,193.0,259.0,1402.0,967.0,6.0,2634.0,2827.0,68.0
McNair,DeKalb,2794.0,23.0,47.0,29.0,2.0,101.0,171.0,809.0,595.0,6.0,1581.0,1682.0,60.2
Montclair Elem,DeKalb,2194.0,72.0,101.0,29.0,0.0,202.0,177.0,605.0,233.0,4.0,1019.0,1221.0,55.7
Meadowview,DeKalb,3511.0,31.0,43.0,37.0,2.0,113.0,203.0,977.0,749.0,11.0,1940.0,2053.0,58.5
McNair Academy,DeKalb,1900.0,21.0,34.0,8.0,1.0,64.0,129.0,610.0,456.0,3.0,1198.0,1262.0,66.4
Metropolitan,DeKalb,3405.0,31.0,126.0,53.0,2.0,212.0,168.0,1322.0,736.0,5.0,2231.0,2443.0,71.7
Oakhurst,DeKalb,2398.0,50.0,99.0,58.0,0.0,207.0,93.0,1016.0,711.0,3.0,1823.0,2030.0,84.7
Oak View Elem,DeKalb,5011.0,13.0,58.0,24.0,0.0,95.0,354.0,1697.0,747.0,10.0,2808.0,2903.0,57.9
Ponce de Leon,DeKalb,3766.0,56.0,110.0,135.0,0.0,301.0,97.0,873.0,1534.0,12.0,2516.0,2817.0,74.8
Piney Grove,DeKalb,2018.0,17.0,44.0,16.0,0.0,77.0,152.0,506.0,341.0,5.0,1004.0,1081.0,53.6
Terry Mill,DeKalb,2808.0,23.0,55.0,21.0,1.0,100.0,219.0,943.0,599.0,4.0,1765.0,1865.0,66.4
Toney Elem,DeKalb,1729.0,14.0,20.0,17.0,1.0,52.0,146.0,450.0,354.0,3.0,953.0,1005.0,58.1
Wadsworth,DeKalb,3159.0,5.0,8.0,8.0,0.0,21.0,67.0,252.0,220.0,1.0,540.0,561.0,17.8
Winnona Park,DeKalb,2020.0,31.0,119.0,67.0,0.0,217.0,38.0,810.0,570.0,1.0,1419.0,1636.0,81.0
Woodward,DeKalb,3193.0,87.0,300.0,211.0,2.0,600.0,117.0,862.0,731.0,1.0,1711.0,2311.0,72.4
