Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
Boynton,Catoosa,6027.0,669.0,2398.0,372.0,2.0,3441.0,126.0,544.0,267.0,0.0,937.0,47.0,84.0,14.0,0.0,145.0,4523.0,75.0
Catoosa Keith,Catoosa,2611.0,475.0,838.0,163.0,0.0,1476.0,57.0,167.0,102.0,0.0,326.0,22.0,37.0,5.0,0.0,64.0,1866.0,71.5
Chambers,Catoosa,2552.0,326.0,1119.0,177.0,2.0,1624.0,52.0,181.0,104.0,1.0,338.0,18.0,23.0,5.0,0.0,46.0,2008.0,78.7
Ft Oglethorpe,Catoosa,4054.0,360.0,1261.0,301.0,0.0,1922.0,107.0,362.0,199.0,1.0,669.0,20.0,57.0,16.0,0.0,93.0,2684.0,66.2
Graysville,Catoosa,4501.0,549.0,1598.0,249.0,2.0,2398.0,106.0,322.0,188.0,0.0,616.0,29.0,52.0,10.0,0.0,91.0,3105.0,69.0
Lakeview,Catoosa,3572.0,333.0,1063.0,187.0,1.0,1584.0,88.0,249.0,129.0,1.0,467.0,26.0,50.0,16.0,1.0,93.0,2144.0,60.0
Poplar Springs,Catoosa,4191.0,460.0,1661.0,254.0,0.0,2375.0,75.0,318.0,168.0,1.0,562.0,28.0,38.0,19.0,0.0,85.0,3022.0,72.1
Ringgold,Catoosa,7414.0,565.0,2946.0,495.0,3.0,4009.0,144.0,729.0,374.0,0.0,1247.0,37.0,96.0,29.0,0.0,162.0,5418.0,73.1
Westside,Catoosa,5895.0,396.0,2093.0,386.0,2.0,2877.0,93.0,530.0,237.0,0.0,860.0,21.0,76.0,14.0,0.0,111.0,3848.0,65.3
Woodstation,Catoosa,2946.0,513.0,1151.0,143.0,3.0,1810.0,79.0,186.0,106.0,1.0,372.0,30.0,32.0,9.0,0.0,71.0,2253.0,76.5
Hazlehurst,Jeff Davis,1406.0,110.0,240.0,57.0,0.0,407.0,96.0,197.0,90.0,0.0,383.0,9.0,6.0,4.0,0.0,19.0,809.0,57.5
Altamaha 1,Jeff Davis,703.0,87.0,302.0,43.0,0.0,432.0,13.0,45.0,13.0,0.0,71.0,4.0,5.0,1.0,0.0,10.0,513.0,73.0
Altamaha 2,Jeff Davis,1249.0,341.0,482.0,74.0,0.0,897.0,17.0,16.0,12.0,0.0,45.0,4.0,3.0,4.0,0.0,11.0,953.0,76.3
Blackburn 1,Jeff Davis,870.0,98.0,226.0,42.0,0.0,366.0,23.0,49.0,35.0,0.0,107.0,5.0,9.0,1.0,0.0,15.0,488.0,56.1
Blackburn 2,Jeff Davis,722.0,174.0,250.0,54.0,0.0,478.0,4.0,12.0,10.0,0.0,26.0,5.0,8.0,0.0,0.0,13.0,517.0,71.6
Whitehead 1,Jeff Davis,988.0,96.0,323.0,66.0,0.0,485.0,34.0,79.0,39.0,0.0,152.0,2.0,7.0,1.0,0.0,10.0,647.0,65.5
Whitehead 2,Jeff Davis,642.0,191.0,201.0,47.0,0.0,439.0,14.0,11.0,8.0,0.0,33.0,0.0,2.0,1.0,0.0,3.0,475.0,74.0
Ocmulgee 1,Jeff Davis,1399.0,177.0,525.0,99.0,0.0,801.0,36.0,63.0,27.0,0.0,126.0,8.0,11.0,3.0,0.0,22.0,949.0,67.8
Ocmulgee 2,Jeff Davis,499.0,103.0,132.0,34.0,0.0,269.0,12.0,30.0,28.0,0.0,70.0,3.0,3.0,2.0,0.0,8.0,347.0,69.5
Coldwater,Chattooga,248.0,25.0,81.0,13.0,0.0,119.0,11.0,30.0,25.0,0.0,66.0,0.0,3.0,1.0,0.0,4.0,189.0,76.2
Dirtseller,Chattooga,186.0,43.0,58.0,8.0,0.0,109.0,5.0,9.0,5.0,0.0,19.0,1.0,2.0,0.0,0.0,3.0,131.0,70.4
Haywood,Chattooga,169.0,71.0,23.0,3.0,0.0,97.0,10.0,1.0,4.0,1.0,16.0,2.0,0.0,0.0,0.0,2.0,115.0,68.0
Lyerly,Chattooga,934.0,210.0,257.0,52.0,1.0,520.0,38.0,40.0,26.0,0.0,104.0,13.0,12.0,4.0,0.0,29.0,653.0,69.9
Trion,Chattooga,3496.0,557.0,1129.0,242.0,1.0,1929.0,78.0,178.0,133.0,0.0,389.0,21.0,33.0,18.0,0.0,72.0,2390.0,68.4
Summerville,Chattooga,5155.0,536.0,1625.0,398.0,1.0,2560.0,147.0,417.0,272.0,1.0,837.0,23.0,54.0,23.0,0.0,100.0,3497.0,67.8
Teloga,Chattooga,593.0,87.0,252.0,60.0,0.0,399.0,6.0,21.0,25.0,0.0,52.0,2.0,3.0,3.0,0.0,8.0,459.0,77.4
Dirttown,Chattooga,897.0,249.0,257.0,72.0,0.0,578.0,33.0,43.0,43.0,0.0,119.0,4.0,8.0,6.0,0.0,18.0,715.0,79.7
Seminole,Chattooga,138.0,30.0,41.0,18.0,0.0,89.0,3.0,6.0,3.0,0.0,12.0,3.0,1.0,0.0,0.0,4.0,105.0,76.1
Subligna,Chattooga,489.0,167.0,123.0,45.0,1.0,336.0,10.0,11.0,17.0,0.0,38.0,3.0,0.0,1.0,0.0,4.0,378.0,77.3
Alpine,Chattooga,872.0,256.0,208.0,66.0,0.0,530.0,31.0,48.0,32.0,0.0,111.0,10.0,3.0,2.0,0.0,15.0,656.0,75.2
Cloudland,Chattooga,378.0,82.0,103.0,34.0,0.0,219.0,8.0,37.0,26.0,0.0,71.0,1.0,6.0,2.0,0.0,9.0,299.0,79.1
Pennville,Chattooga,588.0,65.0,193.0,34.0,0.0,292.0,11.0,24.0,17.0,0.0,52.0,3.0,4.0,0.0,0.0,7.0,351.0,59.7
Hacklebarney-Cason,Pierce,3524.0,246.0,1416.0,227.0,0.0,1889.0,38.0,259.0,142.0,0.0,439.0,7.0,23.0,3.0,0.0,33.0,2361.0,67.0
Blackshear,Pierce,3207.0,271.0,1417.0,231.0,0.0,1919.0,35.0,116.0,63.0,0.0,214.0,10.0,24.0,10.0,0.0,44.0,2177.0,67.9
St Johns-Blackshear,Pierce,1611.0,131.0,827.0,146.0,0.0,1104.0,16.0,53.0,23.0,0.0,92.0,3.0,9.0,3.0,0.0,15.0,1211.0,75.2
Otter Creek,Pierce,1397.0,195.0,624.0,107.0,0.0,926.0,8.0,37.0,24.0,0.0,69.0,2.0,10.0,2.0,0.0,14.0,1009.0,72.2
Patterson,Pierce,1311.0,204.0,535.0,78.0,0.0,817.0,18.0,67.0,33.0,0.0,118.0,5.0,3.0,2.0,0.0,10.0,945.0,72.1
Mershon,Pierce,478.0,35.0,253.0,47.0,0.0,335.0,4.0,9.0,6.0,0.0,19.0,0.0,1.0,0.0,0.0,1.0,355.0,74.3
Alabaha,Pierce,918.0,74.0,466.0,59.0,0.0,599.0,5.0,31.0,12.0,0.0,48.0,1.0,6.0,2.0,0.0,9.0,656.0,71.5
Sunset-Sweat,Pierce,271.0,28.0,162.0,31.0,0.0,221.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,227.0,83.8
Midway,Lincoln,587.0,100.0,160.0,44.0,0.0,304.0,29.0,31.0,63.0,0.0,123.0,2.0,2.0,2.0,0.0,6.0,433.0,73.8
Lincoln Club House,Lincoln,799.0,70.0,132.0,26.0,0.0,228.0,59.0,119.0,148.0,2.0,328.0,0.0,0.0,2.0,0.0,2.0,558.0,69.8
Lincoln Center,Lincoln,1489.0,174.0,555.0,125.0,0.0,854.0,46.0,108.0,92.0,0.0,246.0,7.0,10.0,4.0,0.0,21.0,1121.0,75.3
Faith Temple of Lincoln,Lincoln,489.0,78.0,119.0,28.0,0.0,225.0,21.0,54.0,51.0,0.0,126.0,0.0,5.0,4.0,0.0,9.0,360.0,73.6
Tabernacle,Lincoln,1003.0,127.0,239.0,53.0,0.0,419.0,61.0,103.0,135.0,0.0,299.0,4.0,8.0,5.0,0.0,17.0,735.0,73.3
Bethany Church,Lincoln,575.0,113.0,171.0,48.0,0.0,332.0,13.0,33.0,26.0,0.0,72.0,1.0,2.0,5.0,0.0,8.0,412.0,71.7
Martins Crossroad,Lincoln,1234.0,239.0,440.0,97.0,1.0,777.0,24.0,73.0,80.0,0.0,177.0,8.0,9.0,3.0,0.0,20.0,974.0,78.9
Shaw,Colquitt,3487.0,84.0,274.0,75.0,0.0,433.0,344.0,449.0,304.0,0.0,1097.0,5.0,15.0,6.0,0.0,26.0,1556.0,44.6
Moultrie,Colquitt,4809.0,338.0,1164.0,295.0,0.0,1797.0,220.0,576.0,313.0,1.0,1110.0,18.0,18.0,13.0,0.0,49.0,2956.0,61.5
Autreyville,Colquitt,1512.0,249.0,410.0,65.0,2.0,726.0,47.0,100.0,48.0,0.0,195.0,10.0,7.0,2.0,0.0,19.0,940.0,62.2
Bridgecreek,Colquitt,1191.0,269.0,435.0,75.0,2.0,781.0,24.0,42.0,34.0,0.0,100.0,7.0,3.0,2.0,0.0,12.0,893.0,75.0
Crosland,Colquitt,289.0,87.0,32.0,20.0,0.0,139.0,23.0,15.0,8.0,1.0,47.0,0.0,0.0,1.0,0.0,1.0,187.0,64.7
Doerun,Colquitt,619.0,147.0,120.0,19.0,0.0,286.0,76.0,33.0,29.0,0.0,138.0,5.0,2.0,0.0,0.0,7.0,431.0,69.6
Funston,Colquitt,1030.0,277.0,268.0,63.0,2.0,610.0,28.0,44.0,27.0,0.0,99.0,9.0,2.0,1.0,0.0,12.0,721.0,70.0
Hamilton,Colquitt,784.0,259.0,199.0,45.0,0.0,503.0,16.0,24.0,11.0,0.0,51.0,4.0,6.0,3.0,0.0,13.0,567.0,72.3
Hartsfield,Colquitt,408.0,169.0,83.0,38.0,1.0,291.0,9.0,10.0,8.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,318.0,77.9
Hopewell,Colquitt,1670.0,261.0,598.0,110.0,2.0,971.0,32.0,87.0,45.0,1.0,165.0,9.0,13.0,4.0,0.0,26.0,1162.0,69.6
Lee,Colquitt,1094.0,210.0,277.0,69.0,0.0,556.0,28.0,53.0,22.0,0.0,103.0,2.0,3.0,3.0,0.0,8.0,667.0,61.0
Millcreek,Colquitt,422.0,107.0,132.0,35.0,0.0,274.0,5.0,12.0,9.0,0.0,26.0,4.0,1.0,0.0,0.0,5.0,305.0,72.3
Monk,Colquitt,1555.0,342.0,441.0,86.0,0.0,869.0,36.0,77.0,58.0,0.0,171.0,5.0,5.0,0.0,0.0,10.0,1050.0,67.5
Murphy,Colquitt,973.0,188.0,419.0,55.0,0.0,662.0,16.0,52.0,29.0,0.0,97.0,1.0,10.0,2.0,0.0,13.0,772.0,79.3
Norman Park,Colquitt,2586.0,394.0,676.0,139.0,0.0,1209.0,94.0,154.0,118.0,0.0,366.0,11.0,8.0,6.0,0.0,25.0,1600.0,61.9
Robinson,Colquitt,860.0,224.0,199.0,47.0,0.0,470.0,38.0,32.0,15.0,0.0,85.0,10.0,6.0,0.0,0.0,16.0,571.0,66.4
Thigpen,Colquitt,251.0,99.0,45.0,14.0,0.0,158.0,6.0,3.0,5.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,173.0,68.9
Tyty,Colquitt,543.0,223.0,76.0,29.0,0.0,328.0,9.0,10.0,7.0,0.0,26.0,5.0,0.0,1.0,0.0,6.0,360.0,66.3
Warrior,Colquitt,971.0,278.0,250.0,53.0,0.0,581.0,32.0,26.0,15.0,0.0,73.0,4.0,2.0,2.0,0.0,8.0,662.0,68.2
Habersham North,Habersham,9096.0,621.0,4090.0,999.0,8.0,5718.0,94.0,567.0,417.0,1.0,1079.0,38.0,109.0,33.0,1.0,181.0,6978.0,76.7
Habersham South,Habersham,6171.0,486.0,2121.0,590.0,6.0,3203.0,148.0,395.0,267.0,1.0,811.0,40.0,66.0,16.0,0.0,122.0,4136.0,67.0
Demorest,Habersham,4963.0,471.0,2058.0,497.0,1.0,3027.0,77.0,249.0,175.0,1.0,502.0,19.0,49.0,27.0,0.0,95.0,3624.0,73.0
Town of Mt Airy,Habersham,790.0,95.0,235.0,65.0,2.0,397.0,20.0,58.0,26.0,0.0,104.0,6.0,8.0,5.0,0.0,19.0,520.0,65.8
City of Baldwin,Habersham,1252.0,140.0,292.0,90.0,0.0,522.0,39.0,73.0,50.0,0.0,162.0,7.0,12.0,2.0,0.0,21.0,705.0,56.3
Mud Creek,Habersham,4435.0,471.0,1615.0,444.0,2.0,2532.0,87.0,202.0,154.0,0.0,443.0,19.0,32.0,19.0,0.0,70.0,3045.0,68.7
Amys Creek,Habersham,1557.0,267.0,553.0,166.0,0.0,986.0,28.0,103.0,108.0,0.0,239.0,11.0,10.0,5.0,0.0,26.0,1251.0,80.3
Chalybeate,Meriwether,451.0,171.0,108.0,30.0,0.0,309.0,17.0,7.0,21.0,0.0,45.0,3.0,1.0,0.0,0.0,4.0,358.0,79.4
Gill I,Meriwether,1662.0,268.0,340.0,142.0,0.0,750.0,148.0,123.0,127.0,1.0,399.0,17.0,6.0,6.0,0.0,29.0,1178.0,70.9
Gill II,Meriwether,1000.0,37.0,76.0,29.0,0.0,142.0,151.0,157.0,196.0,0.0,504.0,2.0,3.0,5.0,0.0,10.0,656.0,65.6
Odessadale,Meriwether,296.0,33.0,82.0,26.0,0.0,141.0,34.0,16.0,36.0,1.0,87.0,0.0,0.0,1.0,0.0,1.0,229.0,77.4
Greenville,Meriwether,2009.0,108.0,463.0,113.0,0.0,684.0,99.0,348.0,186.0,1.0,634.0,9.0,13.0,4.0,0.0,26.0,1344.0,66.9
Lone Oak,Meriwether,1263.0,157.0,269.0,62.0,0.0,488.0,92.0,152.0,162.0,0.0,406.0,3.0,6.0,2.0,0.0,11.0,905.0,71.7
Luthersville,Meriwether,2760.0,380.0,612.0,161.0,0.0,1153.0,167.0,278.0,222.0,0.0,667.0,13.0,12.0,7.0,0.0,32.0,1852.0,67.1
Alvaton,Meriwether,1528.0,242.0,354.0,107.0,1.0,704.0,117.0,122.0,127.0,2.0,368.0,10.0,6.0,3.0,0.0,19.0,1091.0,71.4
Gay,Meriwether,411.0,83.0,106.0,29.0,0.0,218.0,19.0,17.0,34.0,0.0,70.0,6.0,2.0,3.0,0.0,11.0,299.0,72.7
Woodbury,Meriwether,1363.0,152.0,263.0,84.0,0.0,499.0,165.0,148.0,127.0,0.0,440.0,8.0,6.0,7.0,0.0,21.0,960.0,70.4
Warm Springs,Meriwether,1161.0,176.0,279.0,87.0,1.0,543.0,99.0,108.0,59.0,0.0,266.0,5.0,5.0,3.0,0.0,13.0,822.0,70.8
Durand,Meriwether,730.0,157.0,142.0,49.0,0.0,348.0,46.0,72.0,54.0,0.0,172.0,1.0,3.0,5.0,0.0,9.0,529.0,72.5
Raleigh,Meriwether,501.0,110.0,159.0,37.0,0.0,306.0,17.0,25.0,22.0,0.0,64.0,1.0,7.0,1.0,0.0,9.0,379.0,75.6
Cove,Meriwether,202.0,90.0,28.0,29.0,0.0,147.0,6.0,2.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,160.0,79.2
Tarboro,Camden,979.0,214.0,212.0,54.0,0.0,480.0,50.0,57.0,74.0,0.0,181.0,3.0,9.0,2.0,0.0,14.0,675.0,68.9
Waverly,Camden,1530.0,266.0,467.0,143.0,0.0,876.0,77.0,101.0,152.0,0.0,330.0,11.0,4.0,6.0,0.0,21.0,1227.0,80.2
Woodbine,Camden,1973.0,255.0,468.0,101.0,1.0,825.0,95.0,247.0,178.0,0.0,520.0,11.0,14.0,8.0,0.0,33.0,1378.0,69.8
Browntown,Camden,698.0,120.0,202.0,50.0,0.0,372.0,11.0,23.0,33.0,0.0,67.0,6.0,11.0,4.0,0.0,21.0,460.0,65.9
Harrietts Bluff,Camden,1834.0,353.0,571.0,129.0,0.0,1053.0,46.0,148.0,86.0,1.0,281.0,21.0,19.0,8.0,0.0,48.0,1382.0,75.4
West Kingsland,Camden,2782.0,278.0,887.0,160.0,0.0,1325.0,90.0,264.0,106.0,0.0,460.0,23.0,36.0,12.0,0.0,71.0,1856.0,66.7
North Kingsland,Camden,2599.0,183.0,473.0,71.0,0.0,727.0,129.0,403.0,226.0,0.0,758.0,17.0,43.0,16.0,0.0,76.0,1561.0,60.1
Kingsland,Camden,2274.0,164.0,498.0,82.0,0.0,744.0,76.0,252.0,130.0,0.0,458.0,23.0,24.0,12.0,0.0,59.0,1261.0,55.5
East Kingsland,Camden,6866.0,480.0,1911.0,392.0,0.0,2783.0,175.0,854.0,462.0,0.0,1491.0,49.0,104.0,31.0,0.0,184.0,4458.0,64.9
North St Marys,Camden,2095.0,135.0,314.0,75.0,0.0,524.0,91.0,193.0,91.0,1.0,376.0,30.0,19.0,12.0,0.0,61.0,961.0,45.9
St Marys,Camden,3218.0,336.0,707.0,163.0,0.0,1206.0,128.0,408.0,257.0,0.0,793.0,34.0,47.0,20.0,0.0,101.0,2100.0,65.3
South St Marys,Camden,2139.0,202.0,637.0,161.0,3.0,1003.0,44.0,249.0,223.0,0.0,516.0,12.0,18.0,8.0,0.0,38.0,1557.0,72.8
Mush Bluff,Camden,2816.0,291.0,808.0,176.0,0.0,1275.0,82.0,310.0,203.0,1.0,596.0,31.0,54.0,18.0,0.0,103.0,1974.0,70.1
West St Marys,Camden,3147.0,218.0,1200.0,376.0,0.0,1794.0,49.0,330.0,261.0,0.0,640.0,13.0,30.0,22.0,0.0,65.0,2499.0,79.4
Georgetown,Quitman,1454.0,137.0,342.0,86.0,0.0,565.0,138.0,182.0,118.0,1.0,439.0,8.0,4.0,3.0,0.0,15.0,1019.0,70.1
Morris,Quitman,93.0,21.0,7.0,7.0,0.0,35.0,18.0,6.0,7.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,66.0,71.0
Baconton,Mitchell,1129.0,151.0,206.0,39.0,0.0,396.0,97.0,123.0,103.0,0.0,323.0,9.0,3.0,1.0,0.0,13.0,732.0,64.8
Branchville,Mitchell,599.0,169.0,185.0,25.0,0.0,379.0,12.0,39.0,29.0,0.0,80.0,3.0,3.0,0.0,0.0,6.0,465.0,77.6
Camilla North,Mitchell,1996.0,46.0,187.0,35.0,0.0,268.0,190.0,399.0,364.0,0.0,953.0,3.0,6.0,6.0,0.0,15.0,1236.0,61.9
Camilla South,Mitchell,3475.0,119.0,868.0,218.0,0.0,1205.0,163.0,555.0,396.0,3.0,1117.0,6.0,22.0,9.0,0.0,37.0,2359.0,67.9
Cotton,Mitchell,399.0,180.0,72.0,31.0,0.0,283.0,13.0,6.0,9.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,311.0,77.9
Hopeful,Mitchell,350.0,97.0,91.0,23.0,2.0,213.0,12.0,12.0,13.0,0.0,37.0,0.0,1.0,1.0,0.0,2.0,252.0,72.0
Hinsonton,Mitchell,134.0,78.0,16.0,3.0,0.0,97.0,2.0,5.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,110.0,82.1
Lester,Mitchell,1357.0,269.0,321.0,91.0,0.0,681.0,36.0,52.0,82.0,1.0,171.0,6.0,4.0,2.0,0.0,12.0,864.0,63.7
Pebble City,Mitchell,162.0,66.0,26.0,18.0,0.0,110.0,7.0,7.0,1.0,0.0,15.0,2.0,0.0,0.0,0.0,2.0,127.0,78.4
Pelham,Mitchell,3489.0,224.0,671.0,184.0,0.0,1079.0,241.0,402.0,390.0,1.0,1034.0,12.0,11.0,6.0,0.0,29.0,2142.0,61.4
Sale City,Mitchell,384.0,140.0,47.0,23.0,0.0,210.0,21.0,22.0,18.0,0.0,61.0,2.0,0.0,0.0,0.0,2.0,273.0,71.1
Senior Citizen Center,Wilkes,1552.0,59.0,264.0,69.0,1.0,393.0,138.0,286.0,202.0,3.0,629.0,4.0,11.0,5.0,0.0,20.0,1042.0,67.1
Young Farmers Bldg,Wilkes,1173.0,124.0,442.0,140.0,1.0,707.0,39.0,98.0,62.0,0.0,199.0,7.0,7.0,3.0,0.0,17.0,923.0,78.7
Metasville Fire Sta,Wilkes,610.0,109.0,169.0,49.0,0.0,327.0,24.0,38.0,63.0,0.0,125.0,0.0,3.0,3.0,0.0,6.0,458.0,75.1
Edward B Pope Center,Wilkes,1017.0,42.0,119.0,33.0,0.0,194.0,137.0,207.0,118.0,0.0,462.0,6.0,1.0,1.0,0.0,8.0,664.0,65.3
Rayle City Hall,Wilkes,570.0,130.0,111.0,29.0,1.0,271.0,38.0,43.0,55.0,0.0,136.0,3.0,4.0,2.0,0.0,9.0,416.0,73.0
Courthouse,Wilkes,1001.0,75.0,329.0,82.0,0.0,486.0,39.0,123.0,91.0,0.0,253.0,3.0,7.0,1.0,0.0,11.0,750.0,74.9
Tignal Sch Lunch Rm,Wilkes,896.0,166.0,210.0,56.0,0.0,432.0,67.0,68.0,118.0,0.0,253.0,3.0,2.0,2.0,0.0,7.0,692.0,77.2
Chokee,Lee,475.0,83.0,82.0,19.0,0.0,184.0,42.0,42.0,72.0,0.0,156.0,1.0,1.0,1.0,0.0,3.0,343.0,72.2
Redbone,Lee,4841.0,684.0,1759.0,261.0,2.0,2706.0,137.0,358.0,198.0,1.0,694.0,26.0,25.0,11.0,0.0,62.0,3462.0,71.5
Smithville,Lee,998.0,111.0,240.0,41.0,0.0,392.0,105.0,96.0,66.0,0.0,267.0,3.0,7.0,1.0,0.0,11.0,670.0,67.1
CJC,Lee,614.0,128.0,263.0,30.0,0.0,421.0,8.0,39.0,17.0,0.0,64.0,3.0,3.0,0.0,0.0,6.0,491.0,80.0
Leesburg,Lee,3313.0,364.0,1032.0,137.0,1.0,1534.0,128.0,381.0,139.0,0.0,648.0,18.0,21.0,5.0,0.0,44.0,2226.0,67.2
Friendship Baptist,Lee,1376.0,216.0,516.0,66.0,0.0,798.0,31.0,112.0,36.0,0.0,179.0,5.0,4.0,3.0,0.0,12.0,989.0,71.9
First Baptist,Lee,3921.0,504.0,1397.0,249.0,0.0,2150.0,141.0,498.0,255.0,1.0,895.0,20.0,25.0,12.0,0.0,57.0,3102.0,79.1
SDA Church,Lee,1576.0,267.0,536.0,99.0,0.0,902.0,60.0,171.0,80.0,0.0,311.0,6.0,9.0,1.0,0.0,16.0,1229.0,78.0
Flint Reformed Baptist,Lee,2621.0,326.0,866.0,103.0,0.0,1295.0,93.0,251.0,113.0,0.0,457.0,8.0,9.0,4.0,0.0,21.0,1773.0,67.6
Century Fire Station,Lee,3162.0,306.0,990.0,183.0,1.0,1480.0,144.0,428.0,181.0,0.0,753.0,12.0,20.0,9.0,0.0,41.0,2274.0,71.9
Riddleville,Washington,561.0,136.0,102.0,40.0,0.0,278.0,41.0,35.0,61.0,1.0,138.0,5.0,2.0,2.0,0.0,9.0,425.0,75.8
Warthen,Washington,742.0,171.0,101.0,59.0,0.0,331.0,79.0,60.0,90.0,1.0,230.0,6.0,1.0,2.0,0.0,9.0,570.0,76.8
Tennille,Washington,2512.0,167.0,438.0,111.0,0.0,716.0,235.0,450.0,292.0,3.0,980.0,10.0,16.0,4.0,0.0,30.0,1726.0,68.7
Oconee,Washington,581.0,124.0,75.0,25.0,0.0,224.0,59.0,63.0,75.0,1.0,198.0,1.0,2.0,0.0,0.0,3.0,425.0,73.1
Harrison,Washington,1005.0,211.0,216.0,50.0,2.0,479.0,84.0,66.0,95.0,0.0,245.0,9.0,6.0,1.0,0.0,16.0,740.0,73.6
Davisboro,Washington,814.0,137.0,158.0,43.0,0.0,338.0,98.0,60.0,79.0,0.0,237.0,8.0,3.0,9.0,0.0,20.0,595.0,73.1
Sandersville,Washington,6221.0,314.0,1267.0,375.0,1.0,1957.0,396.0,1024.0,917.0,0.0,2337.0,21.0,33.0,26.0,0.0,80.0,4374.0,70.3
Deepstep,Washington,554.0,195.0,84.0,27.0,1.0,307.0,28.0,32.0,52.0,0.0,112.0,3.0,1.0,1.0,0.0,5.0,424.0,76.5
101,Richmond,896.0,112.0,123.0,61.0,1.0,297.0,70.0,145.0,126.0,0.0,341.0,5.0,6.0,0.0,1.0,12.0,650.0,72.5
102,Richmond,1278.0,54.0,66.0,41.0,0.0,161.0,124.0,155.0,162.0,3.0,444.0,11.0,8.0,9.0,0.0,28.0,633.0,49.5
103,Richmond,1428.0,5.0,15.0,13.0,0.0,33.0,156.0,293.0,255.0,2.0,706.0,6.0,9.0,11.0,0.0,26.0,765.0,53.6
104,Richmond,2976.0,28.0,59.0,45.0,0.0,132.0,417.0,508.0,530.0,6.0,1461.0,16.0,9.0,13.0,0.0,38.0,1631.0,54.8
105,Richmond,832.0,9.0,17.0,11.0,0.0,37.0,110.0,214.0,163.0,1.0,488.0,3.0,8.0,4.0,0.0,15.0,540.0,64.9
106,Richmond,1182.0,40.0,53.0,36.0,0.0,129.0,138.0,101.0,111.0,2.0,352.0,5.0,6.0,6.0,0.0,17.0,498.0,42.1
107,Richmond,1800.0,180.0,264.0,148.0,0.0,592.0,131.0,254.0,281.0,1.0,667.0,8.0,8.0,7.0,0.0,23.0,1282.0,71.2
108,Richmond,517.0,17.0,14.0,18.0,0.0,49.0,59.0,107.0,105.0,0.0,271.0,2.0,3.0,3.0,0.0,8.0,328.0,63.4
109,Richmond,1052.0,28.0,46.0,29.0,0.0,103.0,98.0,230.0,158.0,1.0,487.0,8.0,15.0,14.0,0.0,37.0,627.0,59.6
111,Richmond,1578.0,57.0,85.0,45.0,0.0,187.0,163.0,245.0,264.0,1.0,673.0,8.0,8.0,8.0,0.0,24.0,884.0,56.0
112,Richmond,882.0,18.0,84.0,98.0,0.0,200.0,42.0,124.0,140.0,2.0,308.0,5.0,7.0,5.0,0.0,17.0,525.0,59.5
114,Richmond,856.0,26.0,14.0,17.0,0.0,57.0,102.0,136.0,136.0,1.0,375.0,5.0,5.0,3.0,0.0,13.0,445.0,52.0
201,Richmond,581.0,20.0,11.0,10.0,0.0,41.0,238.0,267.0,212.0,4.0,721.0,8.0,5.0,8.0,1.0,22.0,784.0,134.9
115,Richmond,1332.0,41.0,41.0,25.0,0.0,107.0,45.0,47.0,53.0,0.0,145.0,4.0,1.0,3.0,0.0,8.0,260.0,19.5
202,Richmond,4492.0,211.0,293.0,210.0,1.0,715.0,482.0,714.0,507.0,8.0,1711.0,32.0,28.0,22.0,0.0,82.0,2508.0,55.8
203,Richmond,991.0,6.0,7.0,5.0,3.0,21.0,139.0,169.0,188.0,0.0,496.0,4.0,5.0,2.0,0.0,11.0,528.0,53.3
204,Richmond,1578.0,176.0,211.0,123.0,1.0,511.0,113.0,240.0,182.0,1.0,536.0,17.0,11.0,10.0,1.0,39.0,1086.0,68.8
207,Richmond,2705.0,64.0,57.0,47.0,2.0,170.0,337.0,430.0,377.0,6.0,1150.0,6.0,13.0,13.0,0.0,32.0,1352.0,50.0
208,Richmond,2651.0,76.0,103.0,66.0,2.0,247.0,306.0,464.0,365.0,2.0,1137.0,13.0,15.0,5.0,0.0,33.0,1417.0,53.5
210,Richmond,1507.0,39.0,61.0,40.0,1.0,141.0,151.0,308.0,336.0,3.0,798.0,7.0,12.0,8.0,0.0,27.0,966.0,64.1
301,Richmond,2409.0,336.0,584.0,282.0,1.0,1203.0,127.0,294.0,278.0,0.0,699.0,7.0,9.0,10.0,0.0,26.0,1928.0,80.0
