Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation
Pembroke,Bryan,2653.0,240.0,742.0,129.0,0.0,1111.0,114.0,339.0,114.0,0.0,567.0,10.0,16.0,6.0,0.0,32.0,1710.0,64.5
Danielsiding,Bryan,2291.0,233.0,822.0,158.0,0.0,1213.0,53.0,210.0,172.0,0.0,435.0,13.0,14.0,2.0,0.0,29.0,1677.0,73.2
Ellabell,Bryan,2341.0,385.0,795.0,119.0,1.0,1300.0,58.0,148.0,96.0,0.0,302.0,8.0,8.0,1.0,0.0,17.0,1619.0,69.2
Black Creek,Bryan,2995.0,346.0,934.0,161.0,1.0,1442.0,92.0,198.0,103.0,0.0,393.0,11.0,5.0,5.0,0.0,21.0,1856.0,62.0
Ways Station,Bryan,1974.0,181.0,469.0,66.0,1.0,717.0,64.0,272.0,199.0,1.0,536.0,5.0,9.0,7.0,0.0,21.0,1274.0,64.5
RH Rec Complex,Bryan,3264.0,205.0,797.0,134.0,1.0,1137.0,111.0,494.0,283.0,0.0,888.0,12.0,20.0,15.0,0.0,47.0,2072.0,63.5
JF Gregory Park,Bryan,2885.0,152.0,1300.0,202.0,0.0,1654.0,39.0,329.0,205.0,0.0,573.0,7.0,24.0,4.0,0.0,35.0,2262.0,78.4
Keller,Bryan,4270.0,307.0,1697.0,201.0,0.0,2205.0,96.0,583.0,338.0,0.0,1017.0,6.0,25.0,12.0,0.0,43.0,3265.0,76.5
Hwy 144 East,Bryan,5365.0,327.0,1877.0,324.0,0.0,2528.0,120.0,865.0,407.0,1.0,1393.0,16.0,39.0,16.0,0.0,71.0,3992.0,74.4
Public Safety Complex,Bryan,2570.0,203.0,639.0,94.0,1.0,937.0,91.0,356.0,188.0,0.0,635.0,20.0,17.0,4.0,0.0,41.0,1613.0,62.8
Hollis Hand,Troup,3554.0,441.0,1128.0,427.0,1.0,1997.0,121.0,331.0,253.0,2.0,707.0,12.0,20.0,14.0,0.0,46.0,2750.0,77.4
Administration Bldg,Troup,3907.0,149.0,354.0,138.0,4.0,645.0,386.0,593.0,439.0,5.0,1423.0,14.0,7.0,3.0,0.0,24.0,2092.0,53.5
Hammett Rd,Troup,4354.0,251.0,561.0,211.0,2.0,1025.0,426.0,829.0,450.0,4.0,1709.0,19.0,7.0,4.0,0.0,30.0,2764.0,63.5
Griggs Center,Troup,2457.0,22.0,47.0,25.0,0.0,94.0,369.0,424.0,354.0,6.0,1153.0,6.0,7.0,1.0,0.0,14.0,1261.0,51.3
West Point,Troup,2054.0,170.0,199.0,77.0,3.0,449.0,341.0,200.0,287.0,3.0,831.0,8.0,5.0,3.0,0.0,16.0,1296.0,63.1
Hogansville,Troup,3806.0,331.0,1248.0,235.0,3.0,1817.0,137.0,467.0,251.0,2.0,857.0,10.0,16.0,2.0,0.0,28.0,2702.0,71.0
East Vernon,Troup,3117.0,605.0,1031.0,318.0,4.0,1958.0,86.0,204.0,150.0,3.0,443.0,11.0,9.0,5.0,0.0,25.0,2426.0,77.8
Rosemont,Troup,3893.0,579.0,1522.0,411.0,3.0,2515.0,73.0,289.0,197.0,2.0,561.0,7.0,11.0,6.0,0.0,24.0,3100.0,79.6
McClendon,Troup,3533.0,509.0,1346.0,270.0,7.0,2132.0,115.0,331.0,182.0,1.0,629.0,9.0,12.0,6.0,0.0,27.0,2788.0,78.9
Long Cane,Troup,3249.0,606.0,947.0,216.0,3.0,1772.0,155.0,294.0,176.0,1.0,626.0,13.0,8.0,6.0,0.0,27.0,2425.0,74.6
Gardner Newman,Troup,2876.0,236.0,746.0,208.0,5.0,1195.0,184.0,485.0,216.0,1.0,886.0,10.0,12.0,4.0,0.0,26.0,2107.0,73.3
Gray Hill,Troup,1878.0,458.0,432.0,94.0,7.0,991.0,112.0,138.0,107.0,0.0,357.0,11.0,4.0,4.0,0.0,19.0,1367.0,72.8
Highland,Troup,1686.0,119.0,304.0,88.0,0.0,511.0,110.0,317.0,176.0,2.0,605.0,2.0,4.0,1.0,0.0,7.0,1123.0,66.6
Northside,Troup,2600.0,197.0,654.0,187.0,4.0,1042.0,194.0,374.0,221.0,2.0,791.0,7.0,7.0,1.0,0.0,15.0,1848.0,71.1
Riceboro Youth Center,Liberty,1083.0,31.0,110.0,20.0,0.0,161.0,101.0,323.0,205.0,0.0,629.0,2.0,2.0,3.0,0.0,7.0,797.0,73.6
Lyman Hall School,Liberty,4542.0,135.0,355.0,121.0,1.0,612.0,283.0,933.0,604.0,0.0,1820.0,15.0,18.0,9.0,0.0,42.0,2474.0,54.5
Lewis Frasier School,Liberty,4317.0,152.0,676.0,206.0,0.0,1034.0,201.0,1009.0,608.0,0.0,1818.0,14.0,20.0,13.0,0.0,47.0,2899.0,67.2
Memorial Dr East,Liberty,1976.0,51.0,126.0,41.0,1.0,219.0,105.0,427.0,296.0,2.0,830.0,9.0,6.0,11.0,0.0,26.0,1075.0,54.4
Button Gwinnett,Liberty,2304.0,83.0,93.0,45.0,0.0,221.0,73.0,136.0,108.0,0.0,317.0,3.0,9.0,9.0,0.0,21.0,559.0,24.3
Town of Allenhurst,Liberty,2398.0,92.0,225.0,78.0,0.0,395.0,154.0,714.0,350.0,0.0,1218.0,7.0,7.0,8.0,0.0,22.0,1635.0,68.2
Hinesville,Liberty,1984.0,81.0,337.0,103.0,0.0,521.0,88.0,343.0,222.0,0.0,653.0,5.0,4.0,5.0,0.0,14.0,1188.0,59.9
Liberty County Complex,Liberty,4379.0,219.0,994.0,175.0,0.0,1388.0,123.0,944.0,545.0,0.0,1612.0,12.0,20.0,6.0,0.0,38.0,3038.0,69.4
Walthourville,Liberty,3016.0,96.0,261.0,79.0,0.0,436.0,153.0,807.0,360.0,0.0,1320.0,10.0,10.0,11.0,0.0,31.0,1787.0,59.3
Fleming West,Liberty,505.0,29.0,47.0,18.0,0.0,94.0,36.0,126.0,93.0,0.0,255.0,3.0,2.0,0.0,0.0,5.0,354.0,70.1
Fleming East,Liberty,3239.0,359.0,976.0,200.0,1.0,1536.0,86.0,323.0,224.0,0.0,633.0,4.0,12.0,8.0,0.0,24.0,2193.0,67.7
Gum Branch,Liberty,3193.0,272.0,506.0,124.0,0.0,902.0,102.0,462.0,319.0,1.0,884.0,8.0,12.0,2.0,0.0,22.0,1808.0,56.6
Hinesville Lodge 271,Liberty,2646.0,104.0,235.0,101.0,0.0,440.0,161.0,582.0,367.0,0.0,1110.0,10.0,14.0,8.0,0.0,32.0,1582.0,59.8
Colquitt-Miller,Miller,3912.0,530.0,1269.0,264.0,3.0,2066.0,174.0,354.0,221.0,0.0,749.0,7.0,11.0,2.0,0.0,20.0,2835.0,72.5
East,Ben Hill,3956.0,156.0,936.0,156.0,1.0,1249.0,160.0,656.0,366.0,0.0,1182.0,5.0,12.0,3.0,0.0,20.0,2451.0,62.0
West,Ben Hill,5898.0,285.0,2204.0,372.0,0.0,2861.0,176.0,686.0,348.0,0.0,1210.0,13.0,20.0,5.0,0.0,38.0,4109.0,69.7
Bold Springs,Walton,4653.0,686.0,1766.0,515.0,2.0,2969.0,117.0,325.0,296.0,0.0,738.0,18.0,10.0,12.0,0.0,40.0,3747.0,80.5
Whatley,Walton,1254.0,240.0,501.0,133.0,0.0,874.0,26.0,55.0,51.0,0.0,132.0,6.0,1.0,0.0,0.0,7.0,1013.0,80.8
Walker Park,Walton,3858.0,516.0,1440.0,392.0,0.0,2348.0,97.0,211.0,191.0,0.0,499.0,12.0,9.0,5.0,0.0,26.0,2873.0,74.5
Gratis,Walton,1243.0,328.0,433.0,135.0,0.0,896.0,23.0,44.0,64.0,0.0,131.0,4.0,5.0,2.0,0.0,11.0,1038.0,83.5
Between,Walton,4925.0,535.0,2089.0,488.0,1.0,3113.0,111.0,385.0,267.0,0.0,763.0,15.0,23.0,6.0,0.0,44.0,3920.0,79.6
Walnut Grove,Walton,2661.0,501.0,925.0,203.0,0.0,1629.0,39.0,149.0,107.0,0.0,295.0,5.0,10.0,3.0,0.0,18.0,1942.0,73.0
Loganville North,Walton,5225.0,495.0,1584.0,476.0,4.0,2559.0,150.0,518.0,325.0,0.0,993.0,14.0,21.0,15.0,0.0,50.0,3602.0,68.9
Social Circle,Walton,4604.0,722.0,1295.0,327.0,3.0,2347.0,213.0,391.0,323.0,1.0,928.0,21.0,10.0,9.0,0.0,40.0,3315.0,72.0
South Monroe,Walton,3910.0,265.0,1191.0,323.0,0.0,1779.0,104.0,427.0,224.0,0.0,755.0,11.0,20.0,5.0,0.0,36.0,2570.0,65.7
North Monroe,Walton,4818.0,298.0,776.0,236.0,1.0,1311.0,294.0,703.0,512.0,3.0,1512.0,8.0,18.0,5.0,0.0,31.0,2854.0,59.2
Loganville South,Walton,3768.0,326.0,1096.0,375.0,0.0,1797.0,163.0,395.0,272.0,0.0,830.0,11.0,19.0,8.0,0.0,38.0,2665.0,70.7
West Walton,Walton,4219.0,551.0,1584.0,429.0,0.0,2564.0,103.0,376.0,224.0,0.0,703.0,13.0,15.0,6.0,0.0,34.0,3301.0,78.2
Broken Arrow,Walton,4380.0,571.0,1660.0,385.0,0.0,2616.0,63.0,303.0,239.0,0.0,605.0,21.0,12.0,6.0,0.0,39.0,3260.0,74.4
Bay Creek,Walton,3401.0,339.0,1392.0,332.0,1.0,2064.0,62.0,243.0,193.0,0.0,498.0,10.0,19.0,8.0,0.0,37.0,2599.0,76.4
E Monroe,Walton,4119.0,347.0,819.0,221.0,1.0,1388.0,212.0,458.0,248.0,4.0,922.0,9.0,10.0,5.0,0.0,24.0,2334.0,56.7
W Monroe,Walton,2027.0,233.0,839.0,204.0,0.0,1276.0,45.0,168.0,100.0,0.0,313.0,10.0,3.0,1.0,0.0,14.0,1603.0,79.1
Tara,Walton,4050.0,278.0,1066.0,288.0,1.0,1633.0,167.0,831.0,382.0,2.0,1382.0,9.0,12.0,6.0,0.0,27.0,3042.0,75.1
Mountain,Walton,1657.0,277.0,594.0,155.0,0.0,1026.0,42.0,81.0,59.0,0.0,182.0,4.0,2.0,4.0,0.0,10.0,1218.0,73.5
Jersey,Walton,1970.0,659.0,589.0,163.0,1.0,1412.0,33.0,68.0,54.0,0.0,155.0,13.0,8.0,3.0,0.0,24.0,1591.0,80.8
Blasingame,Walton,1115.0,404.0,315.0,97.0,0.0,816.0,29.0,38.0,39.0,1.0,107.0,3.0,2.0,1.0,0.0,6.0,929.0,83.3
Good Hope,Walton,2149.0,631.0,640.0,154.0,0.0,1425.0,52.0,103.0,84.0,0.0,239.0,8.0,6.0,1.0,0.0,15.0,1679.0,78.1
Leary,Calhoun,721.0,77.0,116.0,34.0,0.0,227.0,90.0,91.0,110.0,0.0,291.0,5.0,0.0,0.0,0.0,5.0,523.0,72.5
Morgan,Calhoun,662.0,87.0,201.0,62.0,0.0,350.0,22.0,60.0,62.0,0.0,144.0,0.0,2.0,0.0,0.0,2.0,496.0,74.9
Edison,Calhoun,523.0,23.0,30.0,11.0,0.0,64.0,76.0,104.0,63.0,0.0,243.0,0.0,0.0,1.0,0.0,1.0,308.0,58.9
Edison-Arlington,Calhoun,594.0,57.0,77.0,27.0,0.0,161.0,67.0,102.0,65.0,0.0,234.0,0.0,0.0,1.0,0.0,1.0,396.0,66.7
Arlington,Calhoun,684.0,35.0,70.0,16.0,0.0,121.0,106.0,106.0,136.0,0.0,348.0,1.0,0.0,1.0,0.0,2.0,471.0,68.9
Chauncey,Dodge,412.0,147.0,73.0,28.0,0.0,248.0,34.0,16.0,8.0,0.0,58.0,1.0,1.0,0.0,0.0,2.0,308.0,74.8
Clark,Dodge,111.0,46.0,19.0,5.0,0.0,70.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,73.0,65.8
Eddin,Dodge,1037.0,197.0,292.0,51.0,0.0,540.0,54.0,108.0,73.0,0.0,235.0,1.0,0.0,0.0,0.0,1.0,776.0,74.8
Empire,Dodge,456.0,153.0,109.0,27.0,0.0,289.0,9.0,12.0,8.0,0.0,29.0,2.0,3.0,0.0,0.0,5.0,323.0,70.8
Jaybird,Dodge,212.0,68.0,24.0,9.0,1.0,102.0,18.0,18.0,10.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,148.0,69.8
Jones,Dodge,436.0,133.0,117.0,25.0,0.0,275.0,14.0,22.0,9.0,0.0,45.0,2.0,0.0,1.0,0.0,3.0,323.0,74.1
Lee,Dodge,4816.0,362.0,1285.0,312.0,3.0,1962.0,235.0,663.0,295.0,1.0,1194.0,11.0,7.0,7.0,0.0,25.0,3181.0,66.1
McCranie,Dodge,293.0,106.0,67.0,17.0,0.0,190.0,10.0,18.0,11.0,0.0,39.0,1.0,0.0,0.0,0.0,1.0,230.0,78.5
Milan,Dodge,332.0,110.0,63.0,16.0,0.0,189.0,19.0,10.0,12.0,0.0,41.0,1.0,0.0,0.0,0.0,1.0,231.0,69.6
Mitchell,Dodge,333.0,115.0,90.0,15.0,0.0,220.0,16.0,22.0,17.0,0.0,55.0,2.0,0.0,0.0,1.0,3.0,278.0,83.5
Mullis,Dodge,505.0,180.0,60.0,50.0,0.0,290.0,42.0,19.0,14.0,0.0,75.0,2.0,0.0,0.0,0.0,2.0,367.0,72.7
Plainfield,Dodge,454.0,152.0,124.0,23.0,0.0,299.0,8.0,15.0,15.0,0.0,38.0,2.0,0.0,0.0,0.0,2.0,339.0,74.7
Pondtown,Dodge,689.0,200.0,139.0,59.0,0.0,398.0,42.0,30.0,44.0,0.0,116.0,2.0,0.0,0.0,0.0,2.0,516.0,74.9
Rawlins,Dodge,923.0,171.0,257.0,52.0,0.0,480.0,33.0,78.0,52.0,0.0,163.0,4.0,0.0,2.0,0.0,6.0,649.0,70.3
Vilula,Dodge,170.0,90.0,35.0,8.0,0.0,133.0,1.0,3.0,6.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,144.0,84.7
Yonker,Dodge,260.0,105.0,39.0,14.0,0.0,158.0,12.0,6.0,6.0,0.0,24.0,2.0,0.0,0.0,0.0,2.0,184.0,70.8
Jack Strickland Comm Center,Candler,6300.0,431.0,2327.0,375.0,0.0,3133.0,193.0,699.0,376.0,1.0,1269.0,14.0,11.0,4.0,0.0,29.0,4431.0,70.3
Sylvania,Screven,0.0,74.0,266.0,93.0,0.0,433.0,62.0,190.0,120.0,1.0,373.0,4.0,3.0,4.0,0.0,11.0,817.0,
Hunters,Screven,0.0,89.0,101.0,30.0,8.0,228.0,26.0,52.0,49.0,1.0,128.0,0.0,2.0,0.0,0.0,2.0,358.0,
Newington,Screven,0.0,230.0,227.0,49.0,0.0,506.0,74.0,114.0,65.0,0.0,253.0,2.0,0.0,0.0,0.0,2.0,761.0,
Jenk Hill Fire Sta,Screven,0.0,95.0,235.0,55.0,1.0,386.0,81.0,214.0,107.0,0.0,402.0,4.0,4.0,0.0,0.0,8.0,796.0,
Rocky Ford,Screven,0.0,112.0,138.0,43.0,0.0,293.0,20.0,36.0,30.0,0.0,86.0,2.0,1.0,0.0,0.0,3.0,382.0,
Bay Branch,Screven,0.0,199.0,345.0,61.0,1.0,606.0,15.0,60.0,27.0,0.0,102.0,2.0,2.0,0.0,0.0,4.0,712.0,
Hiltonia,Screven,0.0,90.0,211.0,26.0,0.0,327.0,85.0,120.0,81.0,0.0,286.0,2.0,2.0,0.0,0.0,4.0,617.0,
Screven Rec Dept,Screven,0.0,35.0,78.0,15.0,0.0,128.0,37.0,63.0,51.0,3.0,154.0,3.0,1.0,0.0,0.0,4.0,286.0,
Greenhill Church,Screven,0.0,166.0,262.0,51.0,0.0,479.0,36.0,62.0,48.0,0.0,146.0,2.0,3.0,0.0,0.0,5.0,630.0,
Sr Citizens Center,Screven,0.0,47.0,167.0,50.0,0.0,264.0,127.0,263.0,129.0,0.0,519.0,2.0,4.0,0.0,0.0,6.0,789.0,
Jackson Fire Station,Screven,0.0,105.0,81.0,23.0,0.0,209.0,20.0,25.0,39.0,0.0,84.0,1.0,0.0,0.0,0.0,1.0,294.0,
Cooperville Fire Station,Screven,0.0,18.0,29.0,9.0,1.0,57.0,18.0,65.0,43.0,2.0,128.0,0.0,0.0,1.0,0.0,1.0,186.0,
1A,Clarke,3017.0,294.0,237.0,183.0,0.0,714.0,267.0,470.0,462.0,3.0,1202.0,10.0,6.0,12.0,0.0,28.0,1944.0,64.4
1B,Clarke,3645.0,146.0,408.0,252.0,1.0,807.0,197.0,735.0,756.0,1.0,1689.0,10.0,15.0,11.0,2.0,38.0,2534.0,69.5
1C,Clarke,2242.0,155.0,259.0,147.0,0.0,561.0,138.0,521.0,585.0,0.0,1244.0,4.0,20.0,8.0,0.0,32.0,1837.0,81.9
1D,Clarke,2830.0,183.0,357.0,270.0,1.0,811.0,144.0,579.0,740.0,1.0,1464.0,14.0,8.0,11.0,0.0,33.0,2308.0,81.6
2A,Clarke,4341.0,154.0,175.0,131.0,0.0,460.0,450.0,741.0,673.0,0.0,1864.0,10.0,8.0,12.0,1.0,31.0,2355.0,54.3
2B,Clarke,5136.0,117.0,154.0,56.0,0.0,327.0,420.0,1151.0,756.0,7.0,2334.0,15.0,12.0,9.0,0.0,36.0,2697.0,52.5
3A,Clarke,2938.0,43.0,97.0,37.0,1.0,178.0,262.0,588.0,455.0,4.0,1309.0,9.0,7.0,7.0,0.0,23.0,1510.0,51.4
3B,Clarke,4122.0,128.0,229.0,71.0,2.0,430.0,257.0,999.0,584.0,2.0,1842.0,14.0,17.0,5.0,0.0,36.0,2308.0,56.0
4A,Clarke,2072.0,76.0,178.0,65.0,0.0,319.0,176.0,454.0,336.0,1.0,967.0,5.0,16.0,8.0,0.0,29.0,1315.0,63.5
4B,Clarke,4096.0,203.0,407.0,123.0,2.0,735.0,266.0,1042.0,663.0,1.0,1972.0,21.0,24.0,15.0,0.0,60.0,2767.0,67.6
5A,Clarke,3007.0,101.0,371.0,192.0,1.0,665.0,189.0,847.0,618.0,0.0,1654.0,12.0,10.0,11.0,0.0,33.0,2352.0,78.2
5B,Clarke,3030.0,139.0,265.0,195.0,1.0,600.0,240.0,657.0,641.0,0.0,1538.0,5.0,9.0,11.0,0.0,25.0,2163.0,71.4
5C,Clarke,2053.0,47.0,73.0,37.0,0.0,157.0,131.0,795.0,495.0,1.0,1422.0,11.0,5.0,3.0,0.0,19.0,1598.0,77.8
5D,Clarke,3087.0,100.0,217.0,112.0,1.0,430.0,311.0,647.0,465.0,4.0,1427.0,15.0,11.0,10.0,0.0,36.0,1893.0,61.3
6A,Clarke,3780.0,211.0,640.0,358.0,2.0,1211.0,196.0,625.0,629.0,3.0,1453.0,12.0,15.0,13.0,0.0,40.0,2704.0,71.5
6B,Clarke,3865.0,173.0,446.0,302.0,0.0,921.0,228.0,735.0,796.0,1.0,1760.0,13.0,17.0,17.0,0.0,47.0,2728.0,70.6
6C,Clarke,3129.0,191.0,438.0,253.0,0.0,882.0,170.0,578.0,619.0,0.0,1367.0,12.0,18.0,13.0,0.0,43.0,2292.0,73.3
6D,Clarke,1701.0,92.0,150.0,69.0,0.0,311.0,128.0,457.0,394.0,0.0,979.0,9.0,7.0,3.0,0.0,19.0,1309.0,77.0
7A,Clarke,2968.0,160.0,375.0,246.0,1.0,782.0,189.0,599.0,585.0,1.0,1374.0,8.0,11.0,10.0,0.0,29.0,2185.0,73.6
7B,Clarke,3166.0,118.0,428.0,227.0,0.0,773.0,155.0,622.0,618.0,2.0,1397.0,17.0,19.0,11.0,0.0,47.0,2217.0,70.0
7C,Clarke,2733.0,165.0,324.0,175.0,1.0,665.0,171.0,621.0,551.0,1.0,1344.0,12.0,20.0,10.0,0.0,42.0,2051.0,75.0
8A,Clarke,3319.0,128.0,259.0,214.0,0.0,601.0,195.0,650.0,695.0,3.0,1543.0,13.0,18.0,12.0,0.0,43.0,2187.0,65.9
8B,Clarke,2317.0,116.0,167.0,148.0,0.0,431.0,173.0,442.0,483.0,0.0,1098.0,6.0,7.0,7.0,0.0,20.0,1549.0,66.9
8C,Clarke,3910.0,169.0,320.0,185.0,1.0,675.0,270.0,802.0,730.0,3.0,1805.0,11.0,25.0,14.0,0.0,50.0,2530.0,64.7
Palmyra Methodist,Dougherty,2761.0,321.0,295.0,182.0,6.0,804.0,220.0,301.0,249.0,6.0,776.0,7.0,6.0,5.0,0.0,18.0,1598.0,57.9
Sherwood Elementary,Dougherty,3205.0,263.0,267.0,192.0,0.0,722.0,379.0,528.0,301.0,0.0,1208.0,13.0,4.0,5.0,1.0,23.0,1953.0,60.9
Covenant Church,Dougherty,2334.0,318.0,209.0,128.0,0.0,655.0,252.0,288.0,217.0,2.0,759.0,7.0,7.0,3.0,1.0,18.0,1432.0,61.4
Greenbriar Church,Dougherty,3885.0,399.0,666.0,324.0,5.0,1394.0,264.0,678.0,585.0,4.0,1531.0,5.0,8.0,5.0,0.0,18.0,2943.0,75.8
Westover High School,Dougherty,3394.0,323.0,432.0,265.0,0.0,1020.0,314.0,692.0,427.0,0.0,1433.0,11.0,4.0,8.0,0.0,23.0,2476.0,73.0
Merry Acres Middle,Dougherty,2432.0,318.0,329.0,167.0,2.0,816.0,211.0,310.0,245.0,9.0,775.0,7.0,5.0,9.0,0.0,21.0,1612.0,66.3
Darton College,Dougherty,4289.0,128.0,246.0,125.0,3.0,502.0,479.0,941.0,617.0,6.0,2043.0,6.0,7.0,5.0,0.0,18.0,2563.0,59.8
Westtown Elementary,Dougherty,3265.0,39.0,31.0,33.0,0.0,103.0,499.0,632.0,673.0,1.0,1805.0,4.0,5.0,0.0,0.0,9.0,1917.0,58.7
2nd Mt Zion Church,Dougherty,1465.0,271.0,167.0,110.0,1.0,549.0,129.0,150.0,169.0,2.0,450.0,3.0,3.0,2.0,0.0,8.0,1007.0,68.7
Mt Zion Center,Dougherty,3638.0,22.0,13.0,14.0,0.0,49.0,557.0,569.0,634.0,2.0,1762.0,6.0,2.0,4.0,0.0,12.0,1823.0,50.1
Alice Coachman Elementary,Dougherty,750.0,10.0,1.0,5.0,0.0,16.0,123.0,162.0,209.0,0.0,494.0,0.0,4.0,0.0,0.0,4.0,514.0,68.5
Carver Teen Center,Dougherty,1667.0,9.0,4.0,8.0,0.0,21.0,229.0,155.0,236.0,3.0,623.0,4.0,0.0,0.0,0.0,4.0,648.0,38.9
Shiloh Baptist Church,Dougherty,1510.0,12.0,20.0,10.0,0.0,42.0,264.0,172.0,227.0,0.0,663.0,5.0,2.0,0.0,0.0,7.0,712.0,47.2
Litman Cathedral,Dougherty,1486.0,11.0,12.0,7.0,2.0,32.0,236.0,192.0,208.0,20.0,656.0,7.0,0.0,1.0,1.0,9.0,697.0,46.9
Phoebe Healthworks,Dougherty,1574.0,65.0,33.0,27.0,0.0,125.0,173.0,154.0,184.0,1.0,512.0,4.0,2.0,2.0,0.0,8.0,645.0,41.0
Turner Elementary,Dougherty,1205.0,10.0,3.0,3.0,0.0,16.0,108.0,76.0,67.0,6.0,257.0,1.0,0.0,0.0,0.0,1.0,274.0,22.7
Jackson Heights Elementary,Dougherty,2549.0,16.0,6.0,10.0,0.0,32.0,398.0,328.0,374.0,1.0,1101.0,6.0,1.0,1.0,0.0,8.0,1141.0,44.8
Bill Miller Center,Dougherty,2404.0,48.0,38.0,30.0,1.0,117.0,329.0,374.0,282.0,4.0,989.0,5.0,1.0,1.0,0.0,7.0,1113.0,46.3
Radium Middle School,Dougherty,693.0,62.0,26.0,31.0,0.0,119.0,94.0,119.0,77.0,0.0,290.0,2.0,2.0,1.0,0.0,5.0,414.0,59.7
Putney 1st Baptist Church,Dougherty,2819.0,503.0,223.0,129.0,1.0,856.0,264.0,331.0,314.0,0.0,909.0,6.0,1.0,6.0,0.0,13.0,1778.0,63.1
International Studies,Dougherty,1042.0,84.0,65.0,36.0,0.0,185.0,109.0,187.0,188.0,1.0,485.0,1.0,0.0,1.0,0.0,2.0,672.0,64.5
Phoebe East,Dougherty,2965.0,86.0,48.0,48.0,1.0,183.0,462.0,389.0,369.0,3.0,1223.0,3.0,2.0,2.0,0.0,7.0,1413.0,47.7
Pine Bluff Baptist Church,Dougherty,2221.0,217.0,128.0,112.0,0.0,457.0,265.0,309.0,304.0,0.0,878.0,4.0,1.0,3.0,0.0,8.0,1343.0,60.5
Albany Middle School,Dougherty,1963.0,23.0,22.0,18.0,0.0,63.0,344.0,271.0,252.0,4.0,871.0,2.0,2.0,0.0,0.0,4.0,938.0,47.8
Christ Church,Dougherty,1879.0,445.0,291.0,178.0,0.0,914.0,104.0,264.0,214.0,1.0,583.0,3.0,2.0,1.0,0.0,6.0,1503.0,80.0
Lamar Reese Elementary,Dougherty,1098.0,21.0,14.0,9.0,0.0,44.0,170.0,199.0,262.0,6.0,637.0,4.0,0.0,3.0,0.0,7.0,688.0,62.7
1st Christian Church,Dougherty,1505.0,226.0,227.0,153.0,0.0,606.0,148.0,188.0,135.0,1.0,472.0,6.0,3.0,1.0,0.0,10.0,1088.0,72.3
Lovett Hall,Dougherty,1174.0,9.0,2.0,1.0,0.0,12.0,193.0,165.0,33.0,1.0,392.0,1.0,0.0,1.0,0.0,2.0,406.0,34.6
Statenville,Echols,2156.0,226.0,909.0,121.0,0.0,1256.0,33.0,102.0,32.0,0.0,167.0,4.0,11.0,3.0,0.0,18.0,1441.0,66.8
Precinct 1,Seminole,1292.0,224.0,365.0,70.0,0.0,659.0,45.0,120.0,50.0,0.0,215.0,3.0,2.0,0.0,0.0,5.0,879.0,68.0
Precinct 2,Seminole,1122.0,101.0,336.0,55.0,0.0,492.0,44.0,156.0,57.0,0.0,257.0,1.0,0.0,1.0,0.0,2.0,751.0,66.9
Precinct 3,Seminole,1174.0,34.0,50.0,5.0,0.0,89.0,132.0,297.0,101.0,0.0,530.0,5.0,0.0,0.0,0.0,5.0,624.0,53.2
Precinct 4,Seminole,1121.0,248.0,311.0,60.0,0.0,619.0,47.0,83.0,25.0,0.0,155.0,3.0,0.0,0.0,0.0,3.0,777.0,69.3
Precinct 5,Seminole,1227.0,337.0,328.0,87.0,0.0,752.0,26.0,35.0,36.0,0.0,97.0,3.0,1.0,0.0,0.0,4.0,853.0,69.5
South Dade,Dade,969.0,191.0,290.0,52.0,0.0,533.0,23.0,65.0,33.0,0.0,121.0,5.0,3.0,0.0,0.0,8.0,662.0,68.3
New Salem,Dade,1255.0,278.0,351.0,99.0,1.0,729.0,42.0,89.0,67.0,0.0,198.0,7.0,2.0,2.0,0.0,11.0,938.0,74.7
Davis,Dade,2012.0,430.0,701.0,84.0,1.0,1216.0,32.0,48.0,28.0,0.0,108.0,7.0,7.0,1.0,0.0,15.0,1339.0,66.6
New Home,Dade,711.0,213.0,151.0,50.0,0.0,414.0,21.0,20.0,18.0,1.0,60.0,4.0,0.0,2.0,0.0,6.0,480.0,67.5
West Brow,Dade,1237.0,278.0,269.0,82.0,0.0,629.0,49.0,79.0,63.0,0.0,191.0,12.0,7.0,1.0,0.0,20.0,840.0,67.9
Trenton,Dade,3573.0,336.0,1090.0,170.0,3.0,1599.0,39.0,182.0,79.0,0.0,300.0,8.0,18.0,3.0,0.0,29.0,1928.0,54.0
