Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation
Columbia Elem,DeKalb,1794.0,3.0,18.0,7.0,0.0,28.0,148.0,325.0,244.0,13.0,730.0,1.0,5.0,1.0,0.0,7.0,765.0,42.6
Cedar Grove Elem,DeKalb,4097.0,31.0,43.0,20.0,2.0,96.0,275.0,1471.0,777.0,9.0,2532.0,9.0,16.0,9.0,0.0,34.0,2662.0,65.0
Chamblee,DeKalb,2231.0,109.0,310.0,75.0,1.0,495.0,112.0,604.0,406.0,2.0,1124.0,12.0,15.0,6.0,0.0,33.0,1652.0,74.0
Candler-Murphey Candler Elem,DeKalb,3712.0,35.0,90.0,56.0,0.0,181.0,269.0,1408.0,636.0,7.0,2320.0,9.0,6.0,2.0,0.0,17.0,2518.0,67.8
Chapel Hill Elem,DeKalb,3349.0,22.0,34.0,22.0,1.0,79.0,245.0,1206.0,703.0,7.0,2161.0,5.0,8.0,7.0,0.0,20.0,2260.0,67.5
Chesnut Elem,DeKalb,2363.0,107.0,236.0,75.0,2.0,420.0,178.0,711.0,373.0,0.0,1262.0,5.0,7.0,4.0,0.0,16.0,1698.0,71.9
Clairemont West,DeKalb,3264.0,69.0,156.0,138.0,0.0,363.0,121.0,1178.0,1101.0,4.0,2404.0,7.0,11.0,10.0,0.0,28.0,2795.0,85.6
Clairmont Road,DeKalb,3223.0,93.0,184.0,178.0,0.0,455.0,150.0,837.0,924.0,7.0,1918.0,6.0,8.0,6.0,0.0,20.0,2393.0,74.2
Clarkston,DeKalb,3878.0,56.0,89.0,50.0,0.0,195.0,365.0,944.0,427.0,14.0,1750.0,10.0,11.0,4.0,0.0,25.0,1970.0,50.8
Clifton,DeKalb,1731.0,8.0,26.0,13.0,1.0,48.0,129.0,525.0,341.0,5.0,1000.0,1.0,3.0,3.0,0.0,7.0,1055.0,60.9
Columbia Middle,DeKalb,2178.0,21.0,30.0,6.0,0.0,57.0,143.0,599.0,353.0,7.0,1102.0,0.0,4.0,1.0,0.0,5.0,1164.0,53.4
Coan Recreation Center,DeKalb,4230.0,34.0,134.0,67.0,1.0,236.0,189.0,1566.0,923.0,2.0,2680.0,5.0,25.0,17.0,0.0,47.0,2963.0,70.0
Cross Keys High,DeKalb,2260.0,96.0,260.0,123.0,0.0,479.0,106.0,507.0,490.0,4.0,1107.0,12.0,10.0,19.0,0.0,41.0,1627.0,72.0
