Precinct,County,Registered Voters,Sherry Boston (I) (Dem)_Election Day Votes,Sherry Boston (I) (Dem)_Advanced Voting Votes,Sherry Boston (I) (Dem)_Absentee by Mail Votes,Sherry Boston (I) (Dem)_Provisional Votes,Sherry Boston (I) (Dem)_Choice Total,Total,calc_participation
Stone Mountain Elem,DeKalb,2338.0,162.0,525.0,579.0,3.0,1269.0,1269.0,54.3
Silver Lake,DeKalb,4979.0,239.0,1543.0,934.0,2.0,2718.0,2718.0,54.6
Skyland,DeKalb,2100.0,174.0,679.0,380.0,6.0,1239.0,1239.0,59.0
Snapfinger Elem,DeKalb,1894.0,163.0,605.0,502.0,0.0,1270.0,1270.0,67.1
Smoke Rise,DeKalb,2108.0,144.0,668.0,501.0,1.0,1314.0,1314.0,62.3
Stone Mtn Middle,DeKalb,3247.0,296.0,619.0,322.0,15.0,1252.0,1252.0,38.6
Stone Mill Elem,DeKalb,3714.0,342.0,681.0,458.0,15.0,1496.0,1496.0,40.3
Shadow Rock Elem,DeKalb,4347.0,292.0,1568.0,1014.0,12.0,2886.0,2886.0,66.4
Stoneview Elem,DeKalb,1988.0,169.0,493.0,246.0,10.0,918.0,918.0,46.2
Salem Middle,DeKalb,3519.0,223.0,1396.0,836.0,7.0,2462.0,2462.0,70.0
Shamrock,DeKalb,1600.0,138.0,470.0,474.0,4.0,1086.0,1086.0,67.9
South Deshon,DeKalb,3470.0,261.0,1281.0,631.0,12.0,2185.0,2185.0,63.0
Stone Mtn Champion,DeKalb,3098.0,304.0,781.0,472.0,10.0,1567.0,1567.0,50.6
Stone Mtn,DeKalb,1711.0,185.0,371.0,310.0,2.0,868.0,868.0,50.7
Snapfinger Road N,DeKalb,2705.0,240.0,688.0,467.0,5.0,1400.0,1400.0,51.8
Snapfinger Road S,DeKalb,1960.0,155.0,722.0,428.0,3.0,1308.0,1308.0,66.7
Stephenson Middle,DeKalb,3822.0,303.0,1402.0,786.0,2.0,2493.0,2493.0,65.2
South Hairston,DeKalb,3814.0,358.0,1097.0,637.0,12.0,2104.0,2104.0,55.2
Stephenson High,DeKalb,3555.0,266.0,1202.0,798.0,7.0,2273.0,2273.0,63.9
Stonecrest Library,DeKalb,3720.0,220.0,1536.0,539.0,12.0,2307.0,2307.0,62.0
Snapfinger Road,DeKalb,4872.0,221.0,2210.0,1060.0,10.0,3501.0,3501.0,71.9
Terry Mill,DeKalb,2808.0,229.0,969.0,589.0,5.0,1792.0,1792.0,63.8
Toney Elem,DeKalb,1729.0,155.0,456.0,345.0,6.0,962.0,962.0,55.6
Tucker Library,DeKalb,3506.0,142.0,1228.0,726.0,4.0,2100.0,2100.0,59.9
Tilly Mill Road,DeKalb,1552.0,115.0,491.0,284.0,0.0,890.0,890.0,57.3
Tucker,DeKalb,2932.0,135.0,971.0,612.0,7.0,1725.0,1725.0,58.8
Valley Brook,DeKalb,1037.0,123.0,305.0,250.0,5.0,683.0,683.0,65.9
Wadsworth,DeKalb,3159.0,276.0,868.0,639.0,11.0,1794.0,1794.0,56.8
Wesley Chapel Library,DeKalb,2922.0,198.0,1112.0,710.0,7.0,2027.0,2027.0,69.4
Woodrow Road,DeKalb,3493.0,252.0,1103.0,488.0,10.0,1853.0,1853.0,53.0
Winnona Park,DeKalb,2020.0,53.0,884.0,568.0,2.0,1507.0,1507.0,74.6
Woodridge Elem,DeKalb,3851.0,328.0,1030.0,750.0,12.0,2120.0,2120.0,55.1
Warren Tech,DeKalb,1364.0,168.0,362.0,220.0,4.0,754.0,754.0,55.3
Woodward,DeKalb,3193.0,175.0,992.0,796.0,2.0,1965.0,1965.0,61.5
White Oak,DeKalb,2951.0,314.0,732.0,421.0,7.0,1474.0,1474.0,49.9
Winters Chapel,DeKalb,1434.0,104.0,448.0,322.0,2.0,876.0,876.0,61.1
Wynbrooke Elem,DeKalb,3496.0,290.0,1328.0,823.0,12.0,2453.0,2453.0,70.2
Young Road,DeKalb,1951.0,108.0,771.0,429.0,8.0,1316.0,1316.0,67.5
