Precinct,County,Registered Voters,Dell F. McGregor_Election Day Votes,Dell F. McGregor_Advanced Voting Votes,Dell F. McGregor_Absentee by Mail Votes,Dell F. McGregor_Provisional Votes,Dell F. McGregor_Choice Total,Total,calc_participation
Lavista Road,DeKalb,2223.0,142.0,542.0,583.0,4.0,1271.0,1271.0,57.2
Lavista,DeKalb,3223.0,207.0,819.0,591.0,8.0,1625.0,1625.0,50.4
Lithonia,DeKalb,1730.0,217.0,366.0,193.0,1.0,777.0,777.0,44.9
Lin-Mary Lin Elem,DeKalb,3009.0,141.0,979.0,786.0,8.0,1914.0,1914.0,63.6
Lithonia High,DeKalb,3610.0,316.0,956.0,477.0,11.0,1760.0,1760.0,48.8
Livsey Elem,DeKalb,1350.0,94.0,463.0,285.0,0.0,842.0,842.0,62.4
Miller-Eldridge L Miller Elem,DeKalb,3455.0,279.0,868.0,642.0,6.0,1795.0,1795.0,52.0
McNair High,DeKalb,4160.0,254.0,1276.0,833.0,5.0,2368.0,2368.0,56.9
Marbut Elem,DeKalb,4234.0,291.0,1255.0,556.0,17.0,2119.0,2119.0,50.0
McNair,DeKalb,2794.0,171.0,750.0,530.0,4.0,1455.0,1455.0,52.1
McLendon,DeKalb,3607.0,184.0,957.0,801.0,7.0,1949.0,1949.0,54.0
McWilliams,DeKalb,2517.0,131.0,867.0,503.0,3.0,1504.0,1504.0,59.8
Medlock,DeKalb,2208.0,131.0,654.0,595.0,2.0,1382.0,1382.0,62.6
Midvale Elem,DeKalb,2747.0,184.0,867.0,637.0,3.0,1691.0,1691.0,61.6
Miller Grove,DeKalb,4747.0,318.0,1264.0,598.0,12.0,2192.0,2192.0,46.2
Montclair Elem,DeKalb,2194.0,213.0,616.0,216.0,5.0,1050.0,1050.0,47.9
Montreal,DeKalb,2586.0,195.0,762.0,462.0,2.0,1421.0,1421.0,54.9
Meadowview,DeKalb,3511.0,219.0,883.0,682.0,11.0,1795.0,1795.0,51.1
Memorial South,DeKalb,3138.0,227.0,601.0,328.0,13.0,1169.0,1169.0,37.3
Midway,DeKalb,3139.0,173.0,691.0,559.0,6.0,1429.0,1429.0,45.5
McNair Academy,DeKalb,1900.0,125.0,557.0,389.0,4.0,1075.0,1075.0,56.6
Mount Vernon East,DeKalb,2651.0,194.0,935.0,458.0,2.0,1589.0,1589.0,59.9
Mathis-Bob Mathis Elem,DeKalb,2789.0,203.0,857.0,614.0,5.0,1679.0,1679.0,60.2
Mount Vernon West,DeKalb,2303.0,120.0,861.0,395.0,9.0,1385.0,1385.0,60.1
Metropolitan,DeKalb,3405.0,161.0,1218.0,654.0,9.0,2042.0,2042.0,60.0
Montgomery Elem,DeKalb,2446.0,180.0,801.0,497.0,5.0,1483.0,1483.0,60.6
Miller Grove Road,DeKalb,2151.0,171.0,660.0,438.0,4.0,1273.0,1273.0,59.2
Midvale Road,DeKalb,1832.0,155.0,605.0,305.0,2.0,1067.0,1067.0,58.2
Miller Grove High,DeKalb,3470.0,258.0,879.0,409.0,7.0,1553.0,1553.0,44.8
North Decatur,DeKalb,2166.0,122.0,585.0,459.0,9.0,1175.0,1175.0,54.2
North Hairston,DeKalb,2329.0,205.0,560.0,375.0,6.0,1146.0,1146.0,49.2
Northlake,DeKalb,1509.0,130.0,420.0,376.0,0.0,926.0,926.0,61.4
North Peachtree,DeKalb,1916.0,166.0,516.0,279.0,3.0,964.0,964.0,50.3
Oak Grove Elem,DeKalb,2253.0,177.0,651.0,554.0,0.0,1382.0,1382.0,61.3
Oakcliff Elem,DeKalb,2125.0,259.0,443.0,288.0,9.0,999.0,999.0,47.0
Oakhurst,DeKalb,2398.0,105.0,916.0,607.0,1.0,1629.0,1629.0,67.9
Oak View Elem,DeKalb,5011.0,324.0,1543.0,674.0,18.0,2559.0,2559.0,51.1
Peachcrest,DeKalb,2458.0,160.0,578.0,397.0,4.0,1139.0,1139.0,46.3
Peachtree Middle,DeKalb,3502.0,252.0,1143.0,556.0,4.0,1955.0,1955.0,55.8
Princeton Elem,DeKalb,2376.0,159.0,782.0,411.0,5.0,1357.0,1357.0,57.1
Pine Lake,DeKalb,632.0,225.0,120.0,58.0,0.0,403.0,403.0,63.8
Pleasantdale Road,DeKalb,4538.0,410.0,1113.0,545.0,8.0,2076.0,2076.0,45.7
Ponce de Leon,DeKalb,3766.0,112.0,810.0,721.0,11.0,1654.0,1654.0,43.9
Panola,DeKalb,1586.0,117.0,429.0,294.0,2.0,842.0,842.0,53.1
