Precinct,County,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Collins,Tattnall,1482.0,193.0,488.0,97.0,0.0,778.0,29.0,106.0,60.0,0.0,195.0,973.0,65.7,778.0,195.0
Manassas,Tattnall,265.0,71.0,60.0,10.0,0.0,141.0,19.0,17.0,10.0,0.0,46.0,187.0,70.6,141.0,46.0
District II,Tattnall,2500.0,201.0,734.0,129.0,0.0,1064.0,85.0,300.0,100.0,0.0,485.0,1549.0,62.0,1064.0,485.0
East Glennville,Tattnall,2506.0,285.0,870.0,246.0,0.0,1401.0,66.0,177.0,108.0,0.0,351.0,1752.0,69.9,1401.0,351.0
District IV,Tattnall,2497.0,269.0,784.0,163.0,0.0,1216.0,104.0,224.0,138.0,0.0,466.0,1682.0,67.4,1216.0,466.0
District V,Tattnall,1062.0,209.0,326.0,74.0,0.0,609.0,15.0,50.0,20.0,0.0,85.0,694.0,65.3,609.0,85.0
Lockhart,Bulloch,720.0,238.0,104.0,32.0,1.0,375.0,47.0,50.0,55.0,0.0,152.0,527.0,73.2,375.0,152.0
Emit,Bulloch,3360.0,550.0,861.0,254.0,0.0,1665.0,143.0,344.0,227.0,1.0,715.0,2380.0,70.8,1665.0,715.0
Statesboro,Bulloch,6312.0,406.0,1179.0,389.0,3.0,1977.0,401.0,940.0,619.0,10.0,1970.0,3947.0,62.5,1977.0,1970.0
Portal,Bulloch,1735.0,434.0,283.0,120.0,0.0,837.0,90.0,96.0,110.0,0.0,296.0,1133.0,65.3,837.0,296.0
Fair,Bulloch,6335.0,511.0,1672.0,494.0,6.0,2683.0,247.0,855.0,492.0,5.0,1599.0,4282.0,67.6,2683.0,1599.0
Church,Bulloch,5793.0,394.0,1027.0,403.0,1.0,1825.0,370.0,860.0,657.0,7.0,1894.0,3719.0,64.2,1825.0,1894.0
Pittman Park,Bulloch,5279.0,319.0,565.0,178.0,0.0,1062.0,431.0,902.0,340.0,3.0,1676.0,2738.0,51.9,1062.0,1676.0
Leefield,Bulloch,1000.0,359.0,203.0,69.0,1.0,632.0,35.0,38.0,32.0,1.0,106.0,738.0,73.8,632.0,106.0
Blitch,Bulloch,1947.0,443.0,516.0,178.0,2.0,1139.0,62.0,173.0,139.0,1.0,375.0,1514.0,77.8,1139.0,375.0
Hagin,Bulloch,2403.0,443.0,476.0,154.0,3.0,1076.0,136.0,214.0,203.0,1.0,554.0,1630.0,67.8,1076.0,554.0
Brooklet,Bulloch,3351.0,688.0,962.0,254.0,2.0,1906.0,114.0,262.0,154.0,2.0,532.0,2438.0,72.8,1906.0,532.0
Stilson,Bulloch,2137.0,617.0,429.0,144.0,1.0,1191.0,56.0,78.0,79.0,0.0,213.0,1404.0,65.7,1191.0,213.0
Bay,Bulloch,1610.0,522.0,341.0,112.0,0.0,975.0,65.0,67.0,63.0,0.0,195.0,1170.0,72.7,975.0,195.0
Nevils,Bulloch,1299.0,380.0,258.0,106.0,1.0,745.0,48.0,55.0,50.0,0.0,153.0,898.0,69.1,745.0,153.0
Sinkhole,Bulloch,488.0,188.0,67.0,47.0,0.0,302.0,20.0,12.0,20.0,0.0,52.0,354.0,72.5,302.0,52.0
Register,Bulloch,969.0,217.0,146.0,58.0,2.0,423.0,72.0,72.0,63.0,0.0,207.0,630.0,65.0,423.0,207.0
Douglas,Coffee,17243.0,1022.0,4717.0,631.0,3.0,6373.0,710.0,1848.0,740.0,0.0,3298.0,9671.0,56.1,6373.0,3298.0
Ambrose,Coffee,2053.0,348.0,632.0,96.0,0.0,1076.0,73.0,125.0,40.0,3.0,241.0,1317.0,64.2,1076.0,241.0
Bridgetown,Coffee,344.0,113.0,61.0,7.0,0.0,181.0,33.0,14.0,9.0,0.0,56.0,237.0,68.9,181.0,56.0
Broxton,Coffee,2398.0,333.0,762.0,67.0,2.0,1164.0,126.0,137.0,77.0,0.0,340.0,1504.0,62.7,1164.0,340.0
Nicholls,Coffee,2115.0,370.0,493.0,64.0,2.0,929.0,93.0,114.0,65.0,1.0,273.0,1202.0,56.8,929.0,273.0
West Green,Coffee,961.0,297.0,244.0,51.0,0.0,592.0,19.0,9.0,7.0,0.0,35.0,627.0,65.2,592.0,35.0
Primary School,Jenkins,974.0,49.0,149.0,49.0,0.0,247.0,89.0,151.0,119.0,0.0,359.0,606.0,62.2,247.0,359.0
Court House,Jenkins,1039.0,44.0,200.0,60.0,0.0,304.0,82.0,154.0,111.0,0.0,347.0,651.0,62.7,304.0,347.0
Perkins,Jenkins,1021.0,131.0,321.0,86.0,3.0,541.0,31.0,63.0,56.0,0.0,150.0,691.0,67.7,541.0,150.0
Senior Citizens Center,Jenkins,974.0,145.0,355.0,93.0,0.0,593.0,18.0,49.0,34.0,0.0,101.0,694.0,71.3,593.0,101.0
Four Points,Jenkins,1058.0,207.0,212.0,70.0,0.0,489.0,62.0,95.0,66.0,1.0,224.0,713.0,67.4,489.0,224.0
Alexander,Burke,389.0,85.0,61.0,14.0,0.0,160.0,23.0,16.0,66.0,0.0,105.0,265.0,68.1,160.0,105.0
Four Points,Burke,2558.0,449.0,501.0,147.0,0.0,1097.0,125.0,218.0,148.0,0.0,491.0,1588.0,62.1,1097.0,491.0
Girard,Burke,733.0,106.0,77.0,40.0,0.0,223.0,93.0,57.0,83.0,0.0,233.0,456.0,62.2,223.0,233.0
Gough,Burke,434.0,41.0,60.0,18.0,0.0,119.0,49.0,39.0,96.0,0.0,184.0,303.0,69.8,119.0,184.0
Greenscut,Burke,1036.0,144.0,221.0,43.0,0.0,408.0,80.0,94.0,87.0,0.0,261.0,669.0,64.6,408.0,261.0
Keysville,Burke,476.0,63.0,44.0,15.0,0.0,122.0,95.0,8.0,32.0,0.0,135.0,257.0,54.0,122.0,135.0
Midville,Burke,492.0,92.0,20.0,12.0,0.0,124.0,83.0,25.0,63.0,0.0,171.0,295.0,60.0,124.0,171.0
Munnerlyn,Burke,299.0,62.0,48.0,3.0,0.0,113.0,23.0,25.0,29.0,0.0,77.0,190.0,63.5,113.0,77.0
Sardis,Burke,1049.0,213.0,121.0,57.0,0.0,391.0,123.0,76.0,51.0,0.0,250.0,641.0,61.1,391.0,250.0
Scotts Crossroads,Burke,294.0,39.0,20.0,5.0,0.0,64.0,37.0,37.0,44.0,0.0,118.0,182.0,61.9,64.0,118.0
Telfair,Burke,1121.0,158.0,170.0,56.0,0.0,384.0,64.0,124.0,116.0,0.0,304.0,688.0,61.4,384.0,304.0
St Clair,Burke,442.0,68.0,84.0,25.0,0.0,177.0,38.0,35.0,57.0,0.0,130.0,307.0,69.5,177.0,130.0
Vidette,Burke,313.0,75.0,23.0,11.0,0.0,109.0,37.0,15.0,43.0,0.0,95.0,204.0,65.2,109.0,95.0
North Waynesboro,Burke,2949.0,88.0,344.0,73.0,0.0,505.0,257.0,470.0,493.0,0.0,1220.0,1725.0,58.5,505.0,1220.0
South Waynesboro,Burke,3290.0,233.0,920.0,162.0,0.0,1315.0,206.0,434.0,315.0,0.0,955.0,2270.0,69.0,1315.0,955.0
Blakeney,Burke,681.0,35.0,117.0,10.0,0.0,162.0,69.0,91.0,70.0,0.0,230.0,392.0,57.6,162.0,230.0
15361 Lyons,Toombs,0.0,306.0,1080.0,266.0,0.0,1652.0,122.0,247.0,167.0,0.0,536.0,2188.0,,1652.0,536.0
39 Newbranch,Toombs,0.0,324.0,501.0,109.0,0.0,934.0,11.0,30.0,67.0,0.0,108.0,1042.0,,934.0,108.0
43 Cedar Crossing,Toombs,0.0,346.0,448.0,108.0,0.0,902.0,23.0,21.0,23.0,1.0,68.0,970.0,,902.0,68.0
513 VPD,Toombs,0.0,484.0,1761.0,489.0,4.0,2738.0,225.0,521.0,435.0,1.0,1182.0,3920.0,,2738.0,1182.0
514 STIALC,Toombs,0.0,326.0,1048.0,274.0,2.0,1650.0,174.0,364.0,305.0,1.0,844.0,2494.0,,1650.0,844.0
Annex,Treutlen,0.0,243.0,858.0,160.0,0.0,1261.0,10.0,78.0,38.0,0.0,126.0,1387.0,,1261.0,126.0
Soperton,Treutlen,0.0,162.0,525.0,119.0,0.0,806.0,101.0,398.0,238.0,0.0,737.0,1543.0,,806.0,737.0
Veterans Community Center,Evans,6135.0,474.0,1917.0,508.0,0.0,2899.0,217.0,688.0,312.0,0.0,1217.0,4116.0,67.1,2899.0,1217.0
