Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
BAYCREEK K,Gwinnett,3824.0,254.0,1270.0,636.0,1.0,2161.0,65.0,348.0,196.0,0.0,609.0,2770.0,72.4
CATES K,Gwinnett,2810.0,296.0,785.0,484.0,2.0,1567.0,112.0,257.0,123.0,1.0,493.0,2060.0,73.3
BAYCREEK C,Gwinnett,6499.0,500.0,2171.0,941.0,3.0,3615.0,171.0,614.0,265.0,0.0,1050.0,4665.0,71.8
CATES L,Gwinnett,4185.0,378.0,1162.0,611.0,3.0,2154.0,112.0,384.0,218.0,0.0,714.0,2868.0,68.5
DULUTH E,Gwinnett,4814.0,504.0,1313.0,774.0,9.0,2600.0,113.0,355.0,158.0,1.0,627.0,3227.0,67.0
GOODWINS D,Gwinnett,4406.0,531.0,1028.0,610.0,5.0,2174.0,188.0,351.0,219.0,0.0,758.0,2932.0,66.5
LAWRENCEVILLE G,Gwinnett,3046.0,299.0,812.0,405.0,1.0,1517.0,61.0,238.0,119.0,0.0,418.0,1935.0,63.5
LAWRENCEVILLE H,Gwinnett,4296.0,393.0,1174.0,685.0,3.0,2255.0,135.0,418.0,206.0,2.0,761.0,3016.0,70.2
MARTINS F,Gwinnett,2570.0,311.0,529.0,322.0,6.0,1168.0,65.0,93.0,85.0,0.0,243.0,1411.0,54.9
PINCKNEYVILLE S,Gwinnett,3374.0,421.0,711.0,478.0,6.0,1616.0,100.0,214.0,151.0,0.0,465.0,2081.0,61.7
ROCKBRIDGE E,Gwinnett,4638.0,423.0,1178.0,664.0,3.0,2268.0,110.0,316.0,159.0,1.0,586.0,2854.0,61.5
SUGAR HILL E,Gwinnett,3589.0,370.0,1078.0,506.0,4.0,1958.0,110.0,340.0,161.0,2.0,613.0,2571.0,71.6
LAWRENCEVILLE I,Gwinnett,3312.0,376.0,812.0,472.0,2.0,1662.0,109.0,209.0,112.0,1.0,431.0,2093.0,63.2
BAYCREEK D,Gwinnett,4609.0,382.0,1446.0,710.0,0.0,2538.0,131.0,436.0,207.0,0.0,774.0,3312.0,71.9
BERKSHIRE J,Gwinnett,2731.0,195.0,840.0,536.0,2.0,1573.0,80.0,283.0,151.0,1.0,515.0,2088.0,76.5
CATES M,Gwinnett,3988.0,347.0,1297.0,769.0,3.0,2416.0,94.0,377.0,214.0,0.0,685.0,3101.0,77.8
CATES N,Gwinnett,2567.0,278.0,689.0,433.0,0.0,1400.0,88.0,256.0,183.0,1.0,528.0,1928.0,75.1
DULUTH F,Gwinnett,6161.0,526.0,1457.0,887.0,16.0,2886.0,123.0,318.0,211.0,3.0,655.0,3541.0,57.5
DULUTH G,Gwinnett,3067.0,287.0,752.0,558.0,2.0,1599.0,151.0,249.0,181.0,1.0,582.0,2181.0,71.1
GOODWINS E,Gwinnett,5491.0,552.0,1445.0,923.0,1.0,2921.0,185.0,432.0,230.0,1.0,848.0,3769.0,68.6
GOODWINS F,Gwinnett,3212.0,288.0,798.0,550.0,0.0,1636.0,88.0,257.0,149.0,0.0,494.0,2130.0,66.3
PINCKNEYVILLE T,Gwinnett,3201.0,342.0,684.0,489.0,4.0,1519.0,93.0,212.0,143.0,1.0,449.0,1968.0,61.5
SUWANEE B,Gwinnett,4656.0,293.0,1553.0,758.0,0.0,2604.0,80.0,518.0,253.0,0.0,851.0,3455.0,74.2
PINCKNEYVILLE U,Gwinnett,2090.0,331.0,477.0,319.0,3.0,1130.0,88.0,129.0,88.0,2.0,307.0,1437.0,68.8
PUCKETTS B,Gwinnett,3096.0,303.0,971.0,386.0,1.0,1661.0,105.0,376.0,135.0,0.0,616.0,2277.0,73.5
