,Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,calc_participation
1045,Riverdale 10,Clayton,3176.0,16.0,23.0,9.0,0.0,48.0,311.0,657.0,285.0,10.0,1263.0,23.0,24.0,5.0,0.0,52.0,1363.0,42.9
1046,Riverdale 11,Clayton,1881.0,18.0,32.0,20.0,0.0,70.0,150.0,604.0,311.0,1.0,1066.0,12.0,7.0,3.0,0.0,22.0,1158.0,61.6
1033,Oak 5,Clayton,1795.0,13.0,20.0,8.0,0.0,41.0,168.0,379.0,77.0,6.0,630.0,8.0,11.0,2.0,0.0,21.0,692.0,38.6
1017,Lovejoy 7,Clayton,2779.0,57.0,144.0,28.0,2.0,231.0,214.0,732.0,209.0,6.0,1161.0,13.0,16.0,4.0,0.0,33.0,1425.0,51.3
1001,Jonesboro 11,Clayton,3863.0,66.0,258.0,143.0,2.0,469.0,237.0,1072.0,692.0,3.0,2004.0,26.0,34.0,17.0,0.0,77.0,2550.0,66.0
1015,Lovejoy 5,Clayton,3451.0,32.0,90.0,49.0,0.0,171.0,273.0,982.0,475.0,16.0,1746.0,15.0,24.0,6.0,0.0,45.0,1962.0,56.9
985,Forest Park 1,Clayton,3566.0,68.0,130.0,77.0,0.0,275.0,368.0,459.0,333.0,11.0,1171.0,21.0,23.0,18.0,1.0,63.0,1509.0,42.3
986,Forest Park 2,Clayton,2821.0,73.0,89.0,76.0,2.0,240.0,274.0,523.0,332.0,10.0,1139.0,14.0,14.0,20.0,1.0,49.0,1428.0,50.6
987,Forest Park 3,Clayton,2845.0,68.0,109.0,56.0,3.0,236.0,224.0,440.0,336.0,19.0,1019.0,16.0,15.0,12.0,0.0,43.0,1298.0,45.6
988,Forest Park 4,Clayton,1783.0,65.0,161.0,65.0,2.0,293.0,150.0,331.0,159.0,0.0,640.0,8.0,13.0,8.0,0.0,29.0,962.0,54.0
989,Forest Park 5,Clayton,3924.0,71.0,163.0,92.0,0.0,326.0,376.0,698.0,353.0,18.0,1445.0,20.0,25.0,11.0,0.0,56.0,1827.0,46.6
990,Forest Park 6,Clayton,1463.0,34.0,150.0,73.0,1.0,258.0,109.0,289.0,105.0,4.0,507.0,7.0,12.0,8.0,0.0,27.0,792.0,54.1
991,Jonesboro 1,Clayton,3244.0,28.0,68.0,53.0,1.0,150.0,265.0,909.0,569.0,5.0,1748.0,13.0,24.0,12.0,0.0,49.0,1947.0,60.0
992,Jonesboro 2,Clayton,4345.0,41.0,61.0,36.0,3.0,141.0,352.0,1240.0,722.0,9.0,2323.0,17.0,23.0,10.0,0.0,50.0,2514.0,57.9
993,Jonesboro 3,Clayton,4107.0,67.0,222.0,111.0,1.0,401.0,257.0,1119.0,738.0,7.0,2121.0,16.0,23.0,21.0,1.0,61.0,2583.0,62.9
994,Jonesboro 4,Clayton,2574.0,43.0,83.0,59.0,1.0,186.0,197.0,484.0,246.0,5.0,932.0,13.0,16.0,7.0,0.0,36.0,1154.0,44.8
995,Jonesboro 5,Clayton,2064.0,72.0,140.0,60.0,0.0,272.0,213.0,482.0,295.0,0.0,990.0,9.0,15.0,5.0,0.0,29.0,1291.0,62.5
996,Jonesboro 6,Clayton,2574.0,118.0,488.0,263.0,0.0,869.0,96.0,472.0,445.0,3.0,1016.0,8.0,19.0,14.0,0.0,41.0,1926.0,74.8
997,Jonesboro 7,Clayton,3174.0,46.0,198.0,113.0,0.0,357.0,263.0,845.0,455.0,5.0,1568.0,7.0,23.0,14.0,1.0,45.0,1970.0,62.1
998,Jonesboro 8,Clayton,3947.0,43.0,82.0,29.0,0.0,154.0,391.0,966.0,351.0,4.0,1712.0,19.0,17.0,18.0,0.0,54.0,1920.0,48.6
999,Jonesboro 9,Clayton,1759.0,38.0,43.0,47.0,0.0,128.0,125.0,301.0,168.0,3.0,597.0,10.0,10.0,8.0,1.0,29.0,754.0,42.9
1000,Jonesboro 10,Clayton,3398.0,44.0,71.0,47.0,1.0,163.0,311.0,649.0,388.0,4.0,1352.0,16.0,20.0,11.0,0.0,47.0,1562.0,46.0
1047,Riverdale 12,Clayton,3065.0,40.0,41.0,48.0,0.0,129.0,275.0,887.0,510.0,4.0,1676.0,15.0,15.0,8.0,0.0,38.0,1843.0,60.1
1002,Jonesboro 12,Clayton,3067.0,31.0,58.0,33.0,0.0,122.0,289.0,811.0,417.0,17.0,1534.0,14.0,14.0,6.0,0.0,34.0,1690.0,55.1
1003,Jonesboro 13,Clayton,2140.0,70.0,89.0,32.0,0.0,191.0,207.0,641.0,345.0,4.0,1197.0,7.0,11.0,13.0,0.0,31.0,1419.0,66.3
1004,Jonesboro 14,Clayton,4116.0,97.0,403.0,290.0,0.0,790.0,231.0,1138.0,689.0,4.0,2062.0,18.0,34.0,13.0,0.0,65.0,2917.0,70.9
1005,Jonesboro 15,Clayton,2872.0,20.0,71.0,52.0,1.0,144.0,236.0,631.0,231.0,8.0,1106.0,6.0,20.0,5.0,0.0,31.0,1281.0,44.6
1006,Jonesboro 16,Clayton,2560.0,57.0,64.0,60.0,0.0,181.0,265.0,519.0,313.0,5.0,1102.0,20.0,19.0,6.0,0.0,45.0,1328.0,51.9
1007,Jonesboro 17,Clayton,3359.0,29.0,55.0,38.0,0.0,122.0,284.0,750.0,467.0,11.0,1512.0,15.0,19.0,11.0,0.0,45.0,1679.0,50.0
1008,Jonesboro 18,Clayton,3301.0,34.0,121.0,66.0,0.0,221.0,311.0,856.0,407.0,6.0,1580.0,17.0,17.0,5.0,0.0,39.0,1840.0,55.7
1009,Jonesboro 19,Clayton,3299.0,37.0,76.0,45.0,0.0,158.0,279.0,851.0,493.0,12.0,1635.0,7.0,31.0,11.0,0.0,49.0,1842.0,55.8
1011,Lovejoy 1,Clayton,4061.0,61.0,181.0,69.0,0.0,311.0,288.0,1293.0,603.0,2.0,2186.0,23.0,33.0,15.0,0.0,71.0,2568.0,63.2
1012,Lovejoy 2,Clayton,3611.0,40.0,127.0,55.0,2.0,224.0,219.0,1036.0,452.0,6.0,1713.0,18.0,46.0,7.0,1.0,72.0,2009.0,55.6
1013,Lovejoy 3,Clayton,1666.0,17.0,95.0,72.0,0.0,184.0,108.0,580.0,337.0,3.0,1028.0,11.0,12.0,8.0,0.0,31.0,1243.0,74.6
1014,Lovejoy 4,Clayton,4149.0,40.0,143.0,59.0,0.0,242.0,267.0,1487.0,613.0,4.0,2371.0,8.0,24.0,10.0,0.0,42.0,2655.0,64.0
1016,Lovejoy 6,Clayton,3708.0,38.0,123.0,71.0,1.0,233.0,266.0,1197.0,575.0,7.0,2045.0,10.0,17.0,12.0,2.0,41.0,2319.0,62.5
984,Ellenwood 2,Clayton,3273.0,22.0,78.0,49.0,0.0,149.0,228.0,1268.0,575.0,3.0,2074.0,15.0,36.0,13.0,1.0,65.0,2288.0,69.9
983,Ellenwood 1,Clayton,3020.0,21.0,59.0,30.0,0.0,110.0,212.0,1142.0,648.0,5.0,2007.0,10.0,17.0,5.0,0.0,32.0,2149.0,71.2
1123,Fargo,Clinch,270.0,131.0,15.0,9.0,0.0,155.0,10.0,7.0,2.0,0.0,19.0,1.0,0.0,0.0,0.0,1.0,175.0,64.8
1122,Dupont,Clinch,338.0,97.0,60.0,9.0,1.0,167.0,22.0,13.0,12.0,0.0,47.0,2.0,2.0,1.0,0.0,5.0,219.0,64.8
1121,Argyle,Clinch,367.0,87.0,93.0,16.0,0.0,196.0,16.0,12.0,6.0,0.0,34.0,3.0,2.0,0.0,0.0,5.0,235.0,64.0
1120,Arabia,Clinch,108.0,56.0,8.0,1.0,0.0,65.0,3.0,2.0,3.0,0.0,8.0,1.0,2.0,0.0,0.0,3.0,76.0,70.4
1124,Homerville,Clinch,3262.0,204.0,1002.0,166.0,0.0,1372.0,127.0,269.0,108.0,0.0,504.0,14.0,20.0,7.0,0.0,41.0,1917.0,58.8
2504,Murdock 01,Cobb,4059.0,430.0,669.0,721.0,0.0,1820.0,130.0,453.0,736.0,0.0,1319.0,36.0,49.0,65.0,0.0,150.0,3289.0,81.0
2525,Mt Bethel 04,Cobb,2981.0,256.0,580.0,581.0,0.0,1417.0,65.0,277.0,558.0,0.0,900.0,28.0,24.0,34.0,0.0,86.0,2403.0,80.6
2526,North Cobb 01,Cobb,2317.0,199.0,364.0,197.0,0.0,760.0,101.0,392.0,319.0,1.0,813.0,28.0,34.0,17.0,0.0,79.0,1652.0,71.3
2527,Nickajack 01,Cobb,4889.0,150.0,403.0,269.0,1.0,823.0,295.0,1334.0,900.0,3.0,2532.0,27.0,50.0,31.0,0.0,108.0,3463.0,70.8
2528,Norton Park 01,Cobb,4922.0,211.0,472.0,449.0,2.0,1134.0,341.0,721.0,756.0,7.0,1825.0,50.0,47.0,66.0,0.0,163.0,3122.0,63.4
2529,Nicholson 01,Cobb,2455.0,287.0,382.0,290.0,1.0,960.0,108.0,297.0,355.0,0.0,760.0,35.0,36.0,25.0,0.0,96.0,1816.0,74.0
2530,Oakdale 01,Cobb,3944.0,255.0,516.0,459.0,0.0,1230.0,155.0,733.0,802.0,1.0,1691.0,21.0,26.0,38.0,1.0,86.0,3007.0,76.2
2524,Mt Bethel 03,Cobb,3294.0,217.0,698.0,522.0,0.0,1437.0,70.0,402.0,624.0,1.0,1097.0,20.0,25.0,33.0,0.0,78.0,2612.0,79.3
2531,Oregon 01,Cobb,1614.0,167.0,395.0,208.0,1.0,771.0,70.0,219.0,217.0,0.0,506.0,23.0,20.0,14.0,1.0,58.0,1335.0,82.7
2533,Oregon 03,Cobb,5713.0,190.0,325.0,284.0,2.0,801.0,420.0,946.0,754.0,6.0,2126.0,50.0,54.0,50.0,1.0,155.0,3082.0,53.9
2534,Oregon 04,Cobb,4673.0,170.0,387.0,284.0,1.0,842.0,317.0,946.0,948.0,4.0,2215.0,27.0,46.0,27.0,0.0,100.0,3157.0,67.6
2535,Oregon 05,Cobb,3846.0,293.0,605.0,340.0,1.0,1239.0,164.0,877.0,659.0,0.0,1700.0,20.0,30.0,32.0,0.0,82.0,3021.0,78.5
2502,Mabry 01,Cobb,1656.0,236.0,367.0,263.0,3.0,869.0,51.0,172.0,235.0,1.0,459.0,13.0,16.0,17.0,1.0,47.0,1375.0,83.0
2501,Mableton 04,Cobb,1581.0,136.0,219.0,216.0,0.0,571.0,62.0,271.0,299.0,0.0,632.0,9.0,22.0,10.0,0.0,41.0,1244.0,78.7
2500,Mableton 03,Cobb,3010.0,171.0,381.0,316.0,1.0,869.0,172.0,514.0,475.0,2.0,1163.0,26.0,29.0,32.0,0.0,87.0,2119.0,70.4
2532,Oregon 02,Cobb,5671.0,205.0,375.0,371.0,1.0,952.0,398.0,1227.0,1065.0,2.0,2692.0,35.0,47.0,40.0,0.0,122.0,3766.0,66.4
2523,Mt Bethel 01,Cobb,4125.0,395.0,779.0,765.0,3.0,1942.0,87.0,404.0,814.0,2.0,1307.0,39.0,28.0,59.0,1.0,127.0,3376.0,81.8
2522,Mars Hill 02,Cobb,2916.0,281.0,569.0,246.0,0.0,1096.0,110.0,384.0,369.0,0.0,863.0,38.0,47.0,24.0,0.0,109.0,2068.0,70.9
2521,Mars Hill 01,Cobb,3633.0,417.0,1091.0,468.0,2.0,1978.0,92.0,266.0,298.0,0.0,656.0,21.0,36.0,22.0,0.0,79.0,2713.0,74.7
2505,McEachern 01,Cobb,3549.0,149.0,524.0,357.0,1.0,1031.0,127.0,783.0,645.0,0.0,1555.0,18.0,33.0,11.0,0.0,62.0,2648.0,74.6
2506,McCleskey 01,Cobb,1736.0,235.0,347.0,230.0,0.0,812.0,68.0,184.0,296.0,1.0,549.0,23.0,12.0,16.0,0.0,51.0,1412.0,81.3
2507,McClure 01,Cobb,3290.0,368.0,845.0,386.0,2.0,1601.0,103.0,369.0,393.0,1.0,866.0,31.0,36.0,32.0,0.0,99.0,2566.0,78.0
2508,Marietta 1A,Cobb,4468.0,178.0,317.0,208.0,1.0,704.0,304.0,672.0,515.0,6.0,1497.0,52.0,42.0,35.0,0.0,129.0,2330.0,52.1
2509,Marietta 2A,Cobb,2059.0,271.0,362.0,355.0,0.0,988.0,95.0,268.0,274.0,0.0,637.0,31.0,32.0,23.0,0.0,86.0,1711.0,83.1
2510,Marietta 2B,Cobb,4447.0,247.0,508.0,429.0,2.0,1186.0,306.0,807.0,628.0,0.0,1741.0,39.0,57.0,34.0,1.0,131.0,3058.0,68.8
2511,Marietta 3A,Cobb,4388.0,305.0,647.0,538.0,1.0,1491.0,180.0,662.0,675.0,2.0,1519.0,51.0,54.0,45.0,0.0,150.0,3160.0,72.0
2512,Marietta 3B,Cobb,2218.0,50.0,103.0,83.0,0.0,236.0,167.0,478.0,417.0,1.0,1063.0,11.0,15.0,15.0,0.0,41.0,1340.0,60.4
2513,Marietta 4A,Cobb,1956.0,417.0,377.0,378.0,0.0,1172.0,64.0,153.0,215.0,1.0,433.0,16.0,17.0,16.0,0.0,49.0,1654.0,84.6
2515,Marietta 4C,Cobb,2781.0,285.0,681.0,392.0,0.0,1358.0,78.0,319.0,411.0,0.0,808.0,22.0,23.0,31.0,0.0,76.0,2242.0,80.6
2516,Marietta 5A,Cobb,3324.0,150.0,248.0,189.0,0.0,587.0,258.0,551.0,531.0,6.0,1346.0,39.0,24.0,22.0,0.0,85.0,2018.0,60.7
2517,Marietta 5B,Cobb,3084.0,122.0,138.0,100.0,0.0,360.0,261.0,525.0,408.0,3.0,1197.0,26.0,23.0,16.0,0.0,65.0,1622.0,52.6
2518,Marietta 6A,Cobb,2647.0,99.0,166.0,94.0,2.0,361.0,245.0,499.0,353.0,3.0,1100.0,25.0,30.0,12.0,0.0,67.0,1528.0,57.7
2519,Marietta 6B,Cobb,2910.0,236.0,436.0,338.0,0.0,1010.0,130.0,462.0,554.0,0.0,1146.0,31.0,29.0,31.0,0.0,91.0,2247.0,77.2
2536,Pebblebrook 01,Cobb,5218.0,107.0,262.0,214.0,2.0,585.0,421.0,1269.0,875.0,5.0,2570.0,22.0,43.0,34.0,0.0,99.0,3254.0,62.4
2503,Macland 01,Cobb,4213.0,135.0,390.0,194.0,0.0,719.0,255.0,1047.0,789.0,2.0,2093.0,30.0,42.0,30.0,0.0,102.0,2914.0,69.2
2520,Marietta 7A,Cobb,3745.0,97.0,141.0,90.0,0.0,328.0,255.0,734.0,403.0,4.0,1396.0,26.0,29.0,21.0,0.0,76.0,1800.0,48.1
2559,Smyrna 3B,Cobb,2496.0,151.0,371.0,256.0,1.0,779.0,117.0,455.0,461.0,2.0,1035.0,26.0,37.0,26.0,0.0,89.0,1903.0,76.2
2537,Powers Ferry 01,Cobb,3504.0,327.0,479.0,384.0,0.0,1190.0,175.0,459.0,540.0,4.0,1178.0,42.0,37.0,43.0,0.0,122.0,2490.0,71.1
2557,Smyrna 2A,Cobb,5539.0,160.0,425.0,305.0,1.0,891.0,367.0,1257.0,961.0,0.0,2585.0,58.0,55.0,47.0,1.0,161.0,3637.0,65.7
2558,Smyrna 3A,Cobb,4573.0,217.0,497.0,308.0,0.0,1022.0,220.0,943.0,810.0,3.0,1976.0,26.0,58.0,60.0,1.0,145.0,3143.0,68.7
2560,Smyrna 4A,Cobb,5842.0,331.0,837.0,830.0,1.0,1999.0,203.0,996.0,1257.0,5.0,2461.0,45.0,67.0,87.0,0.0,199.0,4659.0,79.8
2561,Smyrna 5A,Cobb,4319.0,224.0,369.0,275.0,1.0,869.0,291.0,774.0,742.0,8.0,1815.0,41.0,42.0,41.0,0.0,124.0,2808.0,65.0
2562,Smyrna 6A,Cobb,5936.0,341.0,803.0,710.0,0.0,1854.0,244.0,1098.0,1145.0,8.0,2495.0,47.0,67.0,59.0,0.0,173.0,4522.0,76.2
2563,Smyrna 7A,Cobb,6378.0,223.0,720.0,571.0,0.0,1514.0,199.0,1675.0,1568.0,1.0,3443.0,34.0,62.0,72.0,0.0,168.0,5125.0,80.4
2564,Sope Creek 01,Cobb,2163.0,276.0,375.0,386.0,1.0,1038.0,88.0,216.0,405.0,0.0,709.0,16.0,21.0,27.0,0.0,64.0,1811.0,83.7
2565,Sope Creek 02,Cobb,4729.0,358.0,774.0,688.0,3.0,1823.0,170.0,661.0,817.0,1.0,1649.0,35.0,45.0,45.0,0.0,125.0,3597.0,76.1
2566,Sope Creek 03,Cobb,2886.0,338.0,530.0,446.0,0.0,1314.0,97.0,341.0,443.0,0.0,881.0,16.0,18.0,27.0,0.0,61.0,2256.0,78.2
2567,Sweetwater 01,Cobb,3235.0,182.0,424.0,237.0,0.0,843.0,193.0,692.0,479.0,1.0,1365.0,19.0,31.0,19.0,0.0,69.0,2277.0,70.4
2568,Sweetwater 02,Cobb,3367.0,83.0,161.0,175.0,3.0,422.0,255.0,603.0,576.0,16.0,1450.0,16.0,19.0,22.0,2.0,59.0,1931.0,57.4
2569,Terrell Mill 01,Cobb,5816.0,235.0,435.0,368.0,1.0,1039.0,431.0,1014.0,839.0,10.0,2294.0,43.0,65.0,54.0,0.0,162.0,3495.0,60.1
2570,Timber Ridge 01,Cobb,2448.0,264.0,458.0,404.0,0.0,1126.0,65.0,265.0,493.0,1.0,824.0,17.0,25.0,29.0,0.0,71.0,2021.0,82.6
2571,Vaughan 01,Cobb,3146.0,344.0,937.0,345.0,0.0,1626.0,85.0,369.0,317.0,0.0,771.0,33.0,45.0,30.0,0.0,108.0,2505.0,79.6
2572,Vinings 01,Cobb,3260.0,187.0,281.0,284.0,1.0,753.0,182.0,711.0,554.0,2.0,1449.0,28.0,38.0,25.0,0.0,91.0,2293.0,70.3
2556,Smyrna 1A,Cobb,4152.0,159.0,212.0,193.0,1.0,565.0,373.0,800.0,633.0,3.0,1809.0,33.0,31.0,24.0,0.0,88.0,2462.0,59.3
2499,Mableton 02,Cobb,3330.0,126.0,199.0,171.0,0.0,496.0,236.0,596.0,526.0,0.0,1358.0,16.0,25.0,19.0,0.0,60.0,1914.0,57.5
2555,Sewell Mill 03,Cobb,4759.0,336.0,443.0,475.0,3.0,1257.0,313.0,717.0,669.0,4.0,1703.0,48.0,47.0,39.0,0.0,134.0,3094.0,65.0
2553,Simpson 01,Cobb,1868.0,183.0,373.0,244.0,1.0,801.0,51.0,271.0,290.0,0.0,612.0,15.0,26.0,16.0,0.0,57.0,1470.0,78.7
2538,Pine Mountain 01,Cobb,3491.0,338.0,956.0,507.0,1.0,1802.0,115.0,387.0,402.0,5.0,909.0,28.0,42.0,22.0,0.0,92.0,2803.0,80.3
2539,Pine Mountain 02,Cobb,3127.0,398.0,855.0,572.0,0.0,1825.0,76.0,285.0,325.0,1.0,687.0,21.0,29.0,23.0,1.0,74.0,2586.0,82.7
2540,Post Oak 01,Cobb,3660.0,376.0,808.0,554.0,4.0,1742.0,104.0,392.0,552.0,0.0,1048.0,30.0,41.0,44.0,0.0,115.0,2905.0,79.4
2541,Pope 01,Cobb,3153.0,247.0,637.0,489.0,0.0,1373.0,102.0,365.0,547.0,0.0,1014.0,33.0,44.0,42.0,0.0,119.0,2506.0,79.5
2542,Palmer 01,Cobb,2760.0,284.0,468.0,355.0,0.0,1107.0,132.0,319.0,349.0,0.0,800.0,25.0,35.0,28.0,0.0,88.0,1995.0,72.3
2543,Powders Springs 1A,Cobb,4755.0,136.0,530.0,316.0,1.0,983.0,176.0,1277.0,1015.0,5.0,2473.0,28.0,53.0,30.0,0.0,111.0,3567.0,75.0
2544,Powders Springs 2A,Cobb,3536.0,84.0,223.0,144.0,0.0,451.0,200.0,911.0,596.0,3.0,1710.0,21.0,39.0,19.0,0.0,79.0,2240.0,63.3
2545,Powders Springs 3A,Cobb,3991.0,109.0,373.0,205.0,0.0,687.0,241.0,1061.0,601.0,1.0,1904.0,28.0,30.0,23.0,0.0,81.0,2672.0,67.0
2546,Pitner 01,Cobb,2814.0,326.0,511.0,283.0,1.0,1121.0,162.0,351.0,344.0,1.0,858.0,37.0,38.0,24.0,0.0,99.0,2078.0,73.8
2547,Rocky Mount 01,Cobb,3390.0,452.0,621.0,391.0,1.0,1465.0,128.0,365.0,562.0,2.0,1057.0,37.0,34.0,34.0,0.0,105.0,2627.0,77.5
2548,Riverside 01,Cobb,2133.0,36.0,39.0,22.0,0.0,97.0,203.0,475.0,306.0,1.0,985.0,14.0,9.0,5.0,0.0,28.0,1110.0,52.0
2549,Roswell 01,Cobb,5374.0,488.0,1050.0,978.0,1.0,2517.0,132.0,556.0,1117.0,0.0,1805.0,50.0,36.0,61.0,0.0,147.0,4469.0,83.2
2550,Roswell 02,Cobb,3701.0,389.0,665.0,643.0,3.0,1700.0,110.0,371.0,754.0,0.0,1235.0,28.0,25.0,41.0,0.0,94.0,3029.0,81.8
2551,Sandy Plains 01,Cobb,2933.0,298.0,444.0,373.0,0.0,1115.0,129.0,402.0,543.0,2.0,1076.0,46.0,49.0,25.0,0.0,120.0,2311.0,78.8
2552,Shallowford Falls 01,Cobb,3387.0,388.0,645.0,558.0,0.0,1591.0,109.0,371.0,617.0,1.0,1098.0,36.0,32.0,34.0,0.0,102.0,2791.0,82.4
2554,Sewell Mill 01,Cobb,3493.0,330.0,578.0,489.0,0.0,1397.0,139.0,453.0,684.0,0.0,1276.0,34.0,31.0,41.0,0.0,106.0,2779.0,79.6
2498,Mableton 01,Cobb,5127.0,129.0,456.0,394.0,4.0,983.0,270.0,1117.0,993.0,0.0,2380.0,16.0,64.0,48.0,0.0,128.0,3491.0,68.1
2514,Marietta 4B,Cobb,2056.0,186.0,284.0,250.0,0.0,720.0,94.0,303.0,316.0,1.0,714.0,22.0,23.0,27.0,0.0,72.0,1506.0,73.2
2496,Lost Mountain 03,Cobb,5387.0,278.0,1663.0,725.0,1.0,2667.0,110.0,761.0,614.0,1.0,1486.0,28.0,90.0,43.0,0.0,161.0,4314.0,80.1
2576,Wade Green 02,Cobb,4718.0,400.0,728.0,454.0,1.0,1583.0,229.0,765.0,711.0,0.0,1705.0,57.0,63.0,45.0,0.0,165.0,3453.0,73.2
2577,Willeo 01,Cobb,2836.0,338.0,528.0,473.0,1.0,1340.0,104.0,295.0,504.0,0.0,903.0,32.0,26.0,37.0,0.0,95.0,2338.0,82.4
2450,Cheatham Hill 02,Cobb,3085.0,296.0,697.0,452.0,0.0,1445.0,103.0,358.0,457.0,1.0,919.0,37.0,40.0,24.0,0.0,101.0,2465.0,79.9
2451,Cheatham Hill 03,Cobb,4029.0,317.0,817.0,529.0,1.0,1664.0,127.0,677.0,656.0,0.0,1460.0,26.0,54.0,33.0,0.0,113.0,3237.0,80.3
2452,Chalker 01,Cobb,6065.0,300.0,615.0,406.0,1.0,1322.0,452.0,1100.0,762.0,3.0,2317.0,60.0,59.0,38.0,0.0,157.0,3796.0,62.6
2453,Clarkdale 01,Cobb,1937.0,115.0,190.0,140.0,1.0,446.0,114.0,329.0,296.0,1.0,740.0,11.0,16.0,13.0,1.0,41.0,1227.0,63.3
2575,Vinings 04,Cobb,3405.0,419.0,463.0,523.0,2.0,1407.0,175.0,487.0,477.0,0.0,1139.0,21.0,18.0,23.0,0.0,62.0,2608.0,76.6
2454,Clarkdale 02,Cobb,5372.0,242.0,457.0,275.0,1.0,975.0,422.0,1241.0,826.0,5.0,2494.0,37.0,40.0,23.0,0.0,100.0,3569.0,66.4
2456,Chestnut Ridge 01,Cobb,3162.0,327.0,617.0,601.0,0.0,1545.0,100.0,322.0,572.0,0.0,994.0,24.0,35.0,34.0,0.0,93.0,2632.0,83.2
2457,Dickerson 01,Cobb,2828.0,262.0,561.0,451.0,4.0,1278.0,74.0,321.0,559.0,1.0,955.0,20.0,28.0,47.0,0.0,95.0,2328.0,82.3
2458,Dobbins 01,Cobb,3024.0,98.0,132.0,105.0,5.0,340.0,229.0,407.0,336.0,6.0,978.0,32.0,19.0,16.0,3.0,70.0,1388.0,45.9
2459,Dobbins 02,Cobb,3984.0,186.0,308.0,142.0,1.0,637.0,335.0,821.0,507.0,5.0,1668.0,35.0,34.0,15.0,1.0,85.0,2390.0,60.0
2460,Dowell 01,Cobb,3197.0,242.0,550.0,328.0,0.0,1120.0,154.0,542.0,547.0,4.0,1247.0,32.0,41.0,26.0,0.0,99.0,2466.0,77.1
2461,Dodgen 01,Cobb,2100.0,246.0,383.0,357.0,2.0,988.0,74.0,235.0,368.0,1.0,678.0,23.0,19.0,26.0,0.0,68.0,1734.0,82.6
2455,Cooper 01,Cobb,5252.0,122.0,290.0,229.0,0.0,641.0,401.0,1216.0,898.0,4.0,2519.0,20.0,35.0,20.0,0.0,75.0,3235.0,61.6
2497,Lost Mountain 04,Cobb,2629.0,241.0,719.0,332.0,1.0,1293.0,52.0,337.0,324.0,0.0,713.0,28.0,35.0,23.0,0.0,86.0,2092.0,79.6
2574,Vinings 03,Cobb,4407.0,165.0,534.0,448.0,3.0,1150.0,222.0,945.0,810.0,2.0,1979.0,20.0,44.0,23.0,0.0,87.0,3216.0,73.0
2573,Vinings 02,Cobb,6400.0,299.0,643.0,597.0,2.0,1541.0,365.0,1246.0,1072.0,4.0,2687.0,42.0,49.0,58.0,0.0,149.0,4377.0,68.4
2447,Bryant 02,Cobb,6209.0,57.0,98.0,58.0,0.0,213.0,509.0,1451.0,750.0,5.0,2715.0,29.0,35.0,27.0,0.0,91.0,3019.0,48.6
2446,Bryant 01,Cobb,2142.0,24.0,38.0,25.0,0.0,87.0,186.0,683.0,459.0,1.0,1329.0,5.0,25.0,9.0,1.0,40.0,1456.0,68.0
2445,Birney 02,Cobb,3894.0,169.0,398.0,354.0,0.0,921.0,191.0,833.0,805.0,4.0,1833.0,23.0,44.0,39.0,0.0,106.0,2860.0,73.4
2444,Birney 01,Cobb,2727.0,119.0,220.0,254.0,6.0,599.0,213.0,460.0,402.0,6.0,1081.0,16.0,29.0,30.0,0.0,75.0,1755.0,64.4
2443,Baker 01,Cobb,4773.0,325.0,669.0,291.0,3.0,1288.0,282.0,939.0,623.0,7.0,1851.0,52.0,60.0,38.0,0.0,150.0,3289.0,68.9
2442,Big Shanty 02,Cobb,3236.0,294.0,579.0,376.0,2.0,1251.0,170.0,424.0,494.0,1.0,1089.0,24.0,33.0,31.0,1.0,89.0,2429.0,75.1
2441,Big Shanty 01,Cobb,2385.0,216.0,352.0,264.0,4.0,836.0,128.0,286.0,252.0,1.0,667.0,27.0,25.0,20.0,0.0,72.0,1575.0,66.0
2440,Bells Ferry 04,Cobb,3646.0,453.0,598.0,387.0,1.0,1439.0,166.0,441.0,449.0,2.0,1058.0,47.0,46.0,47.0,1.0,141.0,2638.0,72.4
2439,Bells Ferry 03,Cobb,2436.0,248.0,305.0,174.0,2.0,729.0,170.0,298.0,339.0,1.0,808.0,46.0,33.0,22.0,0.0,101.0,1638.0,67.2
2438,Bells Ferry 02,Cobb,3127.0,299.0,495.0,330.0,1.0,1125.0,145.0,393.0,468.0,0.0,1006.0,39.0,37.0,33.0,0.0,109.0,2240.0,71.6
2437,Austell 1A,Cobb,5329.0,147.0,245.0,176.0,0.0,568.0,364.0,1266.0,945.0,10.0,2585.0,29.0,38.0,25.0,3.0,95.0,3248.0,60.9
