,Precinct,County,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,calc_participation
103,Geneva,Talbot,482.0,41.0,71.0,25.0,1.0,138.0,49.0,53.0,125.0,0.0,227.0,365.0,75.7
104,Talbotton,Talbot,884.0,25.0,57.0,26.0,0.0,108.0,110.0,171.0,240.0,0.0,521.0,629.0,71.2
105,Box Springs,Talbot,469.0,113.0,53.0,18.0,0.0,184.0,49.0,34.0,70.0,0.0,153.0,337.0,71.9
100,ONeal,Talbot,555.0,62.0,95.0,22.0,0.0,179.0,61.0,99.0,100.0,0.0,260.0,439.0,79.1
197,Precinct 1,Taylor,1108.0,16.0,82.0,9.0,1.0,108.0,121.0,277.0,151.0,1.0,550.0,658.0,59.4
198,Precinct 5,Taylor,2219.0,159.0,961.0,140.0,8.0,1268.0,60.0,176.0,84.0,1.0,321.0,1589.0,71.6
199,Precinct 6,Taylor,2073.0,152.0,614.0,116.0,3.0,885.0,103.0,235.0,274.0,1.0,613.0,1498.0,72.3
188,Graves,Terrell,598.0,103.0,121.0,31.0,0.0,255.0,37.0,68.0,74.0,1.0,180.0,435.0,72.7
187,Parrott,Terrell,412.0,102.0,64.0,16.0,0.0,182.0,69.0,30.0,38.0,0.0,137.0,319.0,77.4
186,Bronwood,Terrell,885.0,115.0,136.0,34.0,0.0,285.0,73.0,117.0,116.0,0.0,306.0,591.0,66.8
185,Sasser,Terrell,1355.0,162.0,363.0,62.0,0.0,587.0,96.0,166.0,91.0,0.0,353.0,940.0,69.4
184,Dawson,Terrell,3043.0,63.0,228.0,73.0,0.0,364.0,330.0,657.0,524.0,0.0,1511.0,1875.0,61.6
189,Herod-Dover,Terrell,301.0,44.0,48.0,13.0,0.0,105.0,43.0,29.0,32.0,0.0,104.0,209.0,69.4
5,Preston 1,Webster,1705.0,112.0,461.0,103.0,0.0,676.0,164.0,291.0,244.0,0.0,699.0,1375.0,80.6
