,Precinct,County,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total,calc_participation
38,DUNCANS D,Gwinnett,7153.0,620.0,2139.0,797.0,3.0,3559.0,276.0,918.0,645.0,0.0,1839.0,5398.0,75.5
39,PINCKNEYVILLE H,Gwinnett,4536.0,351.0,767.0,513.0,0.0,1631.0,219.0,847.0,733.0,3.0,1802.0,3433.0,75.7
60,LAWRENCEVILLE E,Gwinnett,2355.0,161.0,397.0,283.0,1.0,842.0,149.0,380.0,277.0,2.0,808.0,1650.0,70.1
61,PINCKNEYVILLE L,Gwinnett,2330.0,309.0,473.0,529.0,1.0,1312.0,91.0,236.0,352.0,0.0,679.0,1991.0,85.5
62,PINCKNEYVILLE M,Gwinnett,2673.0,354.0,670.0,495.0,0.0,1519.0,75.0,288.0,331.0,0.0,694.0,2213.0,82.8
63,GARNERS D,Gwinnett,3490.0,93.0,284.0,234.0,0.0,611.0,237.0,909.0,573.0,0.0,1719.0,2330.0,66.8
64,BERKSHIRE H,Gwinnett,1987.0,104.0,178.0,157.0,3.0,442.0,154.0,340.0,240.0,2.0,736.0,1178.0,59.3
65,PINCKNEYVILLE O,Gwinnett,3359.0,108.0,257.0,131.0,1.0,497.0,285.0,776.0,331.0,5.0,1397.0,1894.0,56.4
66,PUCKETTS E,Gwinnett,5660.0,285.0,1079.0,445.0,1.0,1810.0,248.0,1111.0,648.0,3.0,2010.0,3820.0,67.5
59,LAWRENCEVILLE D,Gwinnett,5012.0,164.0,279.0,204.0,5.0,652.0,429.0,1071.0,526.0,8.0,2034.0,2686.0,53.6
67,CATES I,Gwinnett,3537.0,272.0,631.0,359.0,1.0,1263.0,180.0,779.0,502.0,1.0,1462.0,2725.0,77.0
69,GOODWINS B,Gwinnett,3960.0,325.0,916.0,396.0,1.0,1638.0,190.0,604.0,473.0,0.0,1267.0,2905.0,73.4
70,LAWRENCEVILLE F,Gwinnett,4061.0,181.0,352.0,177.0,1.0,711.0,285.0,1135.0,593.0,3.0,2016.0,2727.0,67.2
71,MARTINS E,Gwinnett,6193.0,151.0,246.0,114.0,0.0,511.0,601.0,1399.0,681.0,7.0,2688.0,3199.0,51.7
72,PINCKNEYVILLE P,Gwinnett,2185.0,174.0,270.0,276.0,0.0,720.0,183.0,379.0,331.0,2.0,895.0,1615.0,73.9
73,PINCKNEYVILLE Q,Gwinnett,1915.0,76.0,72.0,42.0,1.0,191.0,273.0,426.0,220.0,2.0,921.0,1112.0,58.1
74,ROCKBRIDGE C,Gwinnett,5125.0,138.0,351.0,222.0,2.0,713.0,286.0,1720.0,960.0,5.0,2971.0,3684.0,71.9
75,ROCKBRIDGE D,Gwinnett,3642.0,76.0,389.0,209.0,1.0,675.0,195.0,1151.0,623.0,6.0,1975.0,2650.0,72.8
68,CATES J,Gwinnett,3478.0,237.0,460.0,330.0,3.0,1030.0,192.0,785.0,503.0,1.0,1481.0,2511.0,72.2
154,SUWANEE G,Gwinnett,3904.0,304.0,760.0,300.0,0.0,1364.0,208.0,787.0,531.0,1.0,1527.0,2891.0,74.1
58,PINCKNEYVILLE N,Gwinnett,3819.0,121.0,198.0,83.0,1.0,403.0,460.0,941.0,472.0,5.0,1878.0,2281.0,59.7
56,DULUTH D,Gwinnett,5077.0,244.0,675.0,326.0,7.0,1252.0,294.0,1014.0,643.0,11.0,1962.0,3214.0,63.3
40,BAYCREEK B,Gwinnett,5969.0,270.0,665.0,310.0,3.0,1248.0,422.0,1707.0,773.0,7.0,2909.0,4157.0,69.6
41,LAWRENCEVILLE C,Gwinnett,3037.0,298.0,626.0,290.0,0.0,1214.0,133.0,474.0,325.0,1.0,933.0,2147.0,70.7
42,MARTINS D,Gwinnett,2402.0,96.0,129.0,102.0,3.0,330.0,266.0,447.0,286.0,1.0,1000.0,1330.0,55.4
43,ROCKBRIDGE B,Gwinnett,4177.0,141.0,346.0,199.0,0.0,686.0,296.0,1144.0,570.0,1.0,2011.0,2697.0,64.6
44,GARNERS B,Gwinnett,3178.0,122.0,406.0,251.0,4.0,783.0,181.0,840.0,449.0,2.0,1472.0,2255.0,71.0
45,CATES F,Gwinnett,1787.0,214.0,333.0,257.0,0.0,804.0,103.0,279.0,204.0,2.0,588.0,1392.0,77.9
46,CATES G,Gwinnett,2875.0,209.0,698.0,429.0,0.0,1336.0,115.0,504.0,370.0,0.0,989.0,2325.0,80.9
57,PINCKNEYVILLE K,Gwinnett,3754.0,135.0,223.0,138.0,2.0,498.0,379.0,811.0,438.0,10.0,1638.0,2136.0,56.9
47,DULUTH B,Gwinnett,3551.0,263.0,558.0,398.0,3.0,1222.0,179.0,506.0,511.0,1.0,1197.0,2419.0,68.1
49,PINCKNEYVILLE I,Gwinnett,2635.0,110.0,204.0,135.0,0.0,449.0,246.0,557.0,303.0,2.0,1108.0,1557.0,59.1
50,PINCKNEYVILLE J,Gwinnett,2613.0,77.0,136.0,70.0,1.0,284.0,261.0,620.0,267.0,3.0,1151.0,1435.0,54.9
51,BERKSHIRE G,Gwinnett,2419.0,168.0,536.0,266.0,0.0,970.0,107.0,514.0,281.0,0.0,902.0,1872.0,77.4
52,CATES H,Gwinnett,3924.0,111.0,398.0,207.0,0.0,716.0,303.0,935.0,483.0,2.0,1723.0,2439.0,62.2
53,SUGAR HILL C,Gwinnett,5085.0,601.0,1259.0,476.0,1.0,2337.0,226.0,752.0,503.0,0.0,1481.0,3818.0,75.1
54,SUGAR HILL D,Gwinnett,4624.0,314.0,1205.0,353.0,5.0,1877.0,197.0,724.0,433.0,3.0,1357.0,3234.0,69.9
55,DULUTH C,Gwinnett,2229.0,197.0,331.0,232.0,3.0,763.0,142.0,359.0,298.0,1.0,800.0,1563.0,70.1
48,GARNERS C,Gwinnett,2030.0,133.0,304.0,163.0,1.0,601.0,122.0,438.0,243.0,1.0,804.0,1405.0,69.2
155,BAYCREEK J,Gwinnett,4567.0,198.0,543.0,274.0,0.0,1015.0,306.0,1264.0,617.0,5.0,2192.0,3207.0,70.2
