,Precinct,County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,calc_participation
1,DACULA,Gwinnett,4777.0,250.0,938.0,252.0,0.0,1440.0,236.0,1079.0,602.0,0.0,1917.0,3357.0,70.3
10,ROCKYCREEK C,Gwinnett,4806.0,337.0,1212.0,372.0,0.0,1921.0,231.0,937.0,532.0,2.0,1702.0,3623.0,75.4
9,HARBINS C,Gwinnett,2850.0,380.0,616.0,186.0,2.0,1184.0,166.0,601.0,261.0,1.0,1029.0,2213.0,77.6
8,HARBINS B,Gwinnett,4845.0,338.0,1269.0,324.0,0.0,1931.0,194.0,861.0,430.0,2.0,1487.0,3418.0,70.5
7,DUNCANS B,Gwinnett,5387.0,571.0,1656.0,507.0,1.0,2735.0,214.0,755.0,477.0,2.0,1448.0,4183.0,77.6
6,BAYCREEK C,Gwinnett,6499.0,325.0,1043.0,377.0,1.0,1746.0,356.0,1750.0,889.0,0.0,2995.0,4741.0,72.9
5,DUNCANS D,Gwinnett,7153.0,613.0,2105.0,729.0,1.0,3448.0,284.0,958.0,696.0,0.0,1938.0,5386.0,75.3
4,ROCKYCREEK A,Gwinnett,5939.0,467.0,1489.0,415.0,0.0,2371.0,273.0,1118.0,634.0,2.0,2027.0,4398.0,74.1
2,DUNCANS A,Gwinnett,4729.0,359.0,1558.0,495.0,2.0,2414.0,120.0,716.0,468.0,0.0,1304.0,3718.0,78.6
167,Second Darrien,Hancock,364.0,40.0,30.0,23.0,0.0,93.0,43.0,48.0,95.0,0.0,186.0,279.0,76.6
165,Warren Chapel,Hancock,268.0,27.0,70.0,35.0,0.0,132.0,2.0,30.0,48.0,0.0,80.0,212.0,79.1
164,Power of God,Hancock,731.0,14.0,56.0,26.0,0.0,96.0,97.0,136.0,128.0,1.0,362.0,458.0,62.7
168,Sparta 4C,Hancock,148.0,15.0,5.0,5.0,0.0,25.0,10.0,18.0,51.0,0.0,79.0,104.0,70.3
162,Second Beulah,Hancock,472.0,12.0,22.0,12.0,0.0,46.0,54.0,117.0,130.0,0.0,301.0,347.0,73.5
163,Mayfield Community Center,Hancock,356.0,17.0,14.0,8.0,0.0,39.0,51.0,45.0,85.0,0.0,181.0,220.0,61.8
159,Devereux Fire Station,Hancock,1006.0,86.0,232.0,88.0,0.0,406.0,72.0,132.0,159.0,1.0,364.0,770.0,76.5
166,Youth Center,Hancock,975.0,24.0,64.0,27.0,0.0,115.0,92.0,204.0,222.0,0.0,518.0,633.0,64.9
161,Courthouse,Hancock,931.0,25.0,96.0,24.0,0.0,145.0,90.0,198.0,160.0,1.0,449.0,594.0,63.8
160,St Mark,Hancock,576.0,11.0,45.0,9.0,0.0,65.0,80.0,131.0,84.0,0.0,295.0,360.0,62.5
83,Tussahaw,Henry,3409.0,555.0,1290.0,257.0,0.0,2102.0,68.0,201.0,148.0,0.0,417.0,2519.0,73.9
84,Sandy Ridge,Henry,4875.0,627.0,1782.0,273.0,1.0,2683.0,133.0,495.0,261.0,0.0,889.0,3572.0,73.3
85,McDonough,Henry,2838.0,92.0,322.0,104.0,0.0,518.0,176.0,841.0,418.0,0.0,1435.0,1953.0,68.8
93,Timberridge,Henry,2096.0,248.0,587.0,150.0,2.0,987.0,74.0,394.0,184.0,0.0,652.0,1639.0,78.2
87,East Lake,Henry,3389.0,249.0,1304.0,329.0,0.0,1882.0,89.0,471.0,239.0,0.0,799.0,2681.0,79.1
88,Unity Grove,Henry,4850.0,249.0,1013.0,135.0,0.0,1397.0,29.0,151.0,84.0,0.0,264.0,1661.0,34.2
89,Shiloh,Henry,4077.0,112.0,469.0,127.0,0.0,708.0,307.0,1053.0,500.0,1.0,1861.0,2569.0,63.0
90,Lake Dow,Henry,5049.0,402.0,1430.0,423.0,0.0,2255.0,166.0,877.0,469.0,0.0,1512.0,3767.0,74.6
91,Kelleytown,Henry,3452.0,337.0,1085.0,229.0,0.0,1651.0,117.0,677.0,295.0,0.0,1089.0,2740.0,79.4
92,Mt Bethel,Henry,3535.0,643.0,1074.0,165.0,0.0,1882.0,147.0,385.0,210.0,0.0,742.0,2624.0,74.2
86,McMullen,Henry,3719.0,484.0,1225.0,241.0,0.0,1950.0,120.0,526.0,274.0,0.0,920.0,2870.0,77.2
199,Martin-Burney,Jasper,3976.0,812.0,1425.0,343.0,1.0,2581.0,48.0,128.0,115.0,0.0,291.0,2872.0,72.2
197,Wyatt,Jasper,1940.0,444.0,482.0,136.0,1.0,1063.0,79.0,76.0,109.0,1.0,265.0,1328.0,68.5
198,Monticello,Jasper,4516.0,268.0,1531.0,363.0,9.0,2171.0,160.0,524.0,405.0,1.0,1090.0,3261.0,72.2
47,Stapleton Crossroads,Jefferson,441.0,68.0,100.0,18.0,1.0,187.0,31.0,35.0,49.0,1.0,116.0,303.0,68.7
48,Matthews,Jefferson,621.0,180.0,90.0,40.0,1.0,311.0,38.0,56.0,37.0,0.0,131.0,442.0,71.2
50,Louisville,Jefferson,3899.0,114.0,798.0,153.0,1.0,1066.0,257.0,752.0,430.0,4.0,1443.0,2509.0,64.3
51,Wadley,Jefferson,1906.0,78.0,235.0,48.0,0.0,361.0,237.0,277.0,299.0,0.0,813.0,1174.0,61.6
52,Bartow,Jefferson,531.0,73.0,86.0,22.0,0.0,181.0,55.0,65.0,36.0,0.0,156.0,337.0,63.5
53,Stapleton,Jefferson,678.0,154.0,87.0,33.0,0.0,274.0,74.0,54.0,38.0,0.0,166.0,440.0,64.9
54,Avera,Jefferson,388.0,150.0,56.0,23.0,1.0,230.0,19.0,10.0,11.0,0.0,40.0,270.0,69.6
49,Wrens,Jefferson,2870.0,256.0,498.0,117.0,0.0,871.0,297.0,365.0,304.0,3.0,969.0,1840.0,64.1
