,Precinct,County,Registered Voters,Fani Willis (Dem)_Election Day Votes,Fani Willis (Dem)_Advanced Voting Votes,Fani Willis (Dem)_Absentee by Mail Votes,Fani Willis (Dem)_Provisional Votes,Fani Willis (Dem)_Choice Total,Total,calc_participation
150,11P,Fulton,2095.0,131.0,543.0,383.0,13.0,1070.0,1070.0,51.1
149,11N,Fulton,2431.0,194.0,802.0,439.0,2.0,1437.0,1437.0,59.1
148,11M1,Fulton,2190.0,136.0,526.0,53.0,26.0,741.0,741.0,33.8
147,11M,Fulton,1380.0,101.0,565.0,345.0,7.0,1018.0,1018.0,73.8
146,11K,Fulton,2045.0,146.0,614.0,371.0,13.0,1144.0,1144.0,55.9
155,12E1,Fulton,1906.0,119.0,297.0,231.0,3.0,650.0,650.0,34.1
145,11J,Fulton,2092.0,182.0,504.0,316.0,21.0,1023.0,1023.0,48.9
167,AP01A,Fulton,5236.0,216.0,1822.0,921.0,3.0,2962.0,2962.0,56.6
169,AP01C,Fulton,2409.0,99.0,862.0,391.0,7.0,1359.0,1359.0,56.4
189,CH02,Fulton,338.0,31.0,77.0,45.0,0.0,153.0,153.0,45.3
188,CH01,Fulton,376.0,13.0,114.0,46.0,4.0,177.0,177.0,47.1
187,AP14,Fulton,3232.0,121.0,1178.0,638.0,4.0,1941.0,1941.0,60.1
186,AP12C,Fulton,2367.0,110.0,742.0,267.0,12.0,1131.0,1131.0,47.8
185,AP12B,Fulton,947.0,67.0,258.0,139.0,4.0,468.0,468.0,49.4
184,AP12A,Fulton,746.0,58.0,235.0,98.0,17.0,408.0,408.0,54.7
183,AP10,Fulton,992.0,44.0,331.0,136.0,28.0,539.0,539.0,54.3
182,AP09B,Fulton,925.0,44.0,318.0,184.0,2.0,548.0,548.0,59.2
181,AP09A,Fulton,4437.0,244.0,1493.0,752.0,6.0,2495.0,2495.0,56.2
168,AP01B,Fulton,1281.0,69.0,397.0,184.0,6.0,656.0,656.0,51.2
180,AP07B,Fulton,1882.0,82.0,661.0,292.0,10.0,1045.0,1045.0,55.5
178,AP06,Fulton,1967.0,90.0,675.0,291.0,10.0,1066.0,1066.0,54.2
177,AP05,Fulton,4776.0,215.0,1566.0,819.0,9.0,2609.0,2609.0,54.6
176,AP04B,Fulton,473.0,31.0,188.0,60.0,4.0,283.0,283.0,59.8
175,AP04A,Fulton,1760.0,89.0,584.0,307.0,8.0,988.0,988.0,56.1
174,AP03,Fulton,775.0,88.0,213.0,65.0,5.0,371.0,371.0,47.9
173,AP02B,Fulton,677.0,23.0,157.0,148.0,5.0,333.0,333.0,49.2
172,AP022,Fulton,2507.0,136.0,717.0,440.0,0.0,1293.0,1293.0,51.6
171,AP021,Fulton,3408.0,205.0,1175.0,419.0,3.0,1802.0,1802.0,52.9
170,AP01D,Fulton,1015.0,50.0,300.0,160.0,0.0,510.0,510.0,50.2
179,AP07A,Fulton,3910.0,208.0,1199.0,569.0,21.0,1997.0,1997.0,51.1
144,11H,Fulton,753.0,50.0,183.0,133.0,4.0,370.0,370.0,49.1
143,11G,Fulton,2556.0,118.0,481.0,311.0,27.0,937.0,937.0,36.7
142,11E3,Fulton,3605.0,270.0,1364.0,338.0,15.0,1987.0,1987.0,55.1
116,09G,Fulton,3943.0,232.0,1528.0,630.0,9.0,2399.0,2399.0,60.8
115,09F,Fulton,3917.0,169.0,1532.0,678.0,4.0,2383.0,2383.0,60.8
114,09E,Fulton,3261.0,266.0,950.0,321.0,2.0,1539.0,1539.0,47.2
113,09D,Fulton,2299.0,220.0,437.0,294.0,9.0,960.0,960.0,41.8
112,09C,Fulton,3353.0,257.0,859.0,459.0,22.0,1597.0,1597.0,47.6
111,09B,Fulton,464.0,28.0,80.0,66.0,0.0,174.0,174.0,37.5
110,09A,Fulton,3856.0,195.0,1562.0,579.0,9.0,2345.0,2345.0,60.8
109,08P,Fulton,1887.0,117.0,645.0,223.0,6.0,991.0,991.0,52.5
108,08N2,Fulton,1616.0,66.0,531.0,331.0,2.0,930.0,930.0,57.5
117,09H,Fulton,1185.0,79.0,417.0,152.0,1.0,649.0,649.0,54.8
107,08N1,Fulton,824.0,27.0,292.0,142.0,2.0,463.0,463.0,56.2
105,08L,Fulton,4505.0,223.0,1615.0,806.0,20.0,2664.0,2664.0,59.1
104,08K,Fulton,1049.0,75.0,398.0,211.0,0.0,684.0,684.0,65.2
103,08J,Fulton,3344.0,156.0,1370.0,468.0,6.0,2000.0,2000.0,59.8
102,08H,Fulton,2556.0,88.0,880.0,532.0,3.0,1503.0,1503.0,58.8
101,08G,Fulton,3086.0,150.0,784.0,567.0,5.0,1506.0,1506.0,48.8
100,08F1,Fulton,2187.0,88.0,859.0,382.0,4.0,1333.0,1333.0,61.0
99,08E,Fulton,2568.0,99.0,921.0,524.0,0.0,1544.0,1544.0,60.1
98,08D,Fulton,1073.0,27.0,391.0,191.0,13.0,622.0,622.0,58.0
97,08C,Fulton,1500.0,63.0,543.0,269.0,0.0,875.0,875.0,58.3
106,08M,Fulton,2295.0,135.0,798.0,335.0,5.0,1273.0,1273.0,55.5
118,09I,Fulton,1397.0,138.0,257.0,173.0,2.0,570.0,570.0,40.8
119,09K,Fulton,4002.0,265.0,865.0,456.0,11.0,1597.0,1597.0,39.9
120,09K1,Fulton,1518.0,111.0,318.0,38.0,1.0,468.0,468.0,30.8
141,11E2,Fulton,1003.0,78.0,341.0,160.0,4.0,583.0,583.0,58.1
140,11E1,Fulton,1340.0,120.0,390.0,163.0,16.0,689.0,689.0,51.4
139,11C,Fulton,3149.0,162.0,1340.0,568.0,11.0,2081.0,2081.0,66.1
138,11B1,Fulton,894.0,75.0,283.0,28.0,5.0,391.0,391.0,43.7
137,11B,Fulton,4395.0,340.0,1325.0,813.0,33.0,2511.0,2511.0,57.1
136,10R,Fulton,928.0,96.0,198.0,84.0,14.0,392.0,392.0,42.2
135,10P,Fulton,1607.0,149.0,338.0,228.0,3.0,718.0,718.0,44.7
134,10M,Fulton,2880.0,247.0,864.0,409.0,14.0,1534.0,1534.0,53.3
133,10K,Fulton,1614.0,110.0,549.0,299.0,4.0,962.0,962.0,59.6
132,10J,Fulton,1238.0,148.0,182.0,130.0,14.0,474.0,474.0,38.3
131,10I,Fulton,331.0,12.0,157.0,90.0,0.0,259.0,259.0,78.2
130,10H2,Fulton,2623.0,173.0,549.0,341.0,11.0,1074.0,1074.0,40.9
129,10H1,Fulton,439.0,30.0,147.0,74.0,13.0,264.0,264.0,60.1
128,10G,Fulton,1332.0,99.0,508.0,232.0,2.0,841.0,841.0,63.1
127,10F,Fulton,1208.0,117.0,296.0,198.0,12.0,623.0,623.0,51.6
126,10E,Fulton,1084.0,96.0,301.0,185.0,3.0,585.0,585.0,54.0
125,10D,Fulton,4968.0,311.0,1120.0,539.0,142.0,2112.0,2112.0,42.5
124,10C,Fulton,2598.0,139.0,692.0,315.0,14.0,1160.0,1160.0,44.6
123,10B,Fulton,3965.0,235.0,1474.0,846.0,11.0,2566.0,2566.0,64.7
122,10A,Fulton,3186.0,239.0,933.0,526.0,14.0,1712.0,1712.0,53.7
121,09M,Fulton,2578.0,102.0,1229.0,346.0,0.0,1677.0,1677.0,65.1
382,UC031,Fulton,2745.0,159.0,666.0,443.0,26.0,1294.0,1294.0,47.1
383,UC032,Fulton,393.0,20.0,139.0,75.0,1.0,235.0,235.0,59.8
