Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
BAYCREEK K,Gwinnett,3824,159,670,351,0,1180,137,925,508,1,1571,22,42,26,0,90,2841,
CATES K,Gwinnett,2810,243,490,242,2,977,141,524,358,0,1023,29,48,22,1,100,2100,
BAYCREEK C,Gwinnett,6499,310,1025,358,2,1695,337,1698,864,0,2899,40,75,33,0,148,4742,
CATES L,Gwinnett,4185,214,582,324,0,1120,250,925,532,4,1711,25,55,38,0,118,2949,
DULUTH E,Gwinnett,4814,205,508,249,1,963,371,1110,706,7,2194,48,64,33,1,146,3303,
GOODWINS D,Gwinnett,4406,380,632,314,1,1327,300,689,537,1,1527,43,66,32,1,142,2996,
LAWRENCEVILLE G,Gwinnett,3046,104,292,136,0,532,234,729,405,2,1370,21,40,18,0,79,1981,
LAWRENCEVILLE H,Gwinnett,4296,277,749,358,4,1388,211,790,547,2,1550,40,70,38,0,148,3086,
MARTINS F,Gwinnett,2570,131,140,97,2,370,223,467,331,3,1024,22,29,17,1,69,1463,
PINCKNEYVILLE S,Gwinnett,3374,158,320,222,3,703,308,575,414,3,1300,44,41,33,1,119,2122,
ROCKBRIDGE E,Gwinnett,4638,140,326,131,1,598,365,1116,720,2,2203,35,57,42,1,135,2936,
SUGAR HILL E,Gwinnett,3589,319,735,307,4,1365,132,609,365,2,1108,34,68,30,1,133,2606,
LAWRENCEVILLE I,Gwinnett,3312,197,368,194,0,759,247,613,407,2,1269,34,47,29,0,110,2138,
BAYCREEK D,Gwinnett,4609,303,831,356,0,1490,177,994,592,0,1763,35,65,25,0,125,3378,
BERKSHIRE J,Gwinnett,2731,158,578,294,0,1030,102,516,393,2,1013,16,44,27,1,88,2131,
CATES M,Gwinnett,3988,264,870,468,1,1603,147,746,547,2,1442,32,64,36,0,132,3177,
CATES N,Gwinnett,2567,229,556,357,1,1143,105,363,276,0,744,30,30,23,0,83,1970,
DULUTH F,Gwinnett,6161,167,388,253,5,813,444,1341,886,15,2686,50,66,48,1,165,3664,
DULUTH G,Gwinnett,3067,267,530,327,2,1126,144,439,422,1,1006,41,50,36,0,127,2259,
GOODWINS E,Gwinnett,5491,396,851,435,1,1683,297,972,713,1,1983,54,70,39,0,163,3829,
GOODWINS F,Gwinnett,3212,183,432,249,0,864,170,574,459,0,1203,29,52,23,0,104,2171,
PINCKNEYVILLE T,Gwinnett,3201,198,300,241,4,743,203,562,398,1,1164,36,45,41,0,122,2029,
SUWANEE B,Gwinnett,4656,246,1083,435,0,1764,104,927,550,0,1581,24,75,50,0,149,3494,
PINCKNEYVILLE U,Gwinnett,2090,187,203,136,0,526,211,398,282,5,896,22,11,14,0,47,1469,
PUCKETTS B,Gwinnett,3096,276,859,263,1,1399,103,456,272,0,831,27,42,13,0,82,2312,
BERKSHIRE L,Gwinnett,3265,151,244,151,0,546,323,663,422,1,1409,24,46,25,0,95,2050,
ROCKBRIDGE F,Gwinnett,5795,73,432,218,2,725,295,2088,829,4,3216,21,74,37,0,132,4073,
SUGAR HILL F,Gwinnett,4112,360,842,333,4,1539,183,568,443,1,1195,57,65,45,3,170,2904,
SUWANEE C,Gwinnett,5675,329,1057,507,6,1899,198,925,794,2,1919,32,76,53,0,161,3979,
CATES O,Gwinnett,1434,160,228,139,3,530,82,246,196,2,526,17,17,12,0,46,1102,
BAYCREEK E,Gwinnett,3265,182,433,189,2,806,204,716,413,2,1335,27,42,12,1,82,2223,
BERKSHIRE M,Gwinnett,1864,160,337,195,2,694,98,300,235,1,634,15,29,19,0,63,1391,
