Precinct,County,Registered Voters,Harold Dennis (Rep)_Election Day Votes,Harold Dennis (Rep)_Advanced Voting Votes,Harold Dennis (Rep)_Absentee by Mail Votes,Harold Dennis (Rep)_Provisional Votes,Harold Dennis (Rep)_Choice Total,Melody M. Maddox (I) (Dem)_Election Day Votes,Melody M. Maddox (I) (Dem)_Advanced Voting Votes,Melody M. Maddox (I) (Dem)_Absentee by Mail Votes,Melody M. Maddox (I) (Dem)_Provisional Votes,Melody M. Maddox (I) (Dem)_Choice Total,Total,
Silver Lake,DeKalb,4979,187,986,355,1,1529,149,1103,802,3,2057,3586,
Skyland,DeKalb,2100,145,385,150,2,682,99,497,312,5,913,1595,
Snapfinger Elem,DeKalb,1894,21,22,11,1,55,151,602,509,0,1262,1317,
Smoke Rise,DeKalb,2108,131,298,208,1,638,88,541,440,0,1069,1707,
Stone Mtn Middle,DeKalb,3247,30,43,45,1,119,279,591,305,14,1189,1308,
Stone Mill Elem,DeKalb,3714,31,47,34,0,112,322,652,442,15,1431,1543,
Shadow Rock Elem,DeKalb,4347,29,52,46,0,127,275,1549,1010,12,2846,2973,
Stoneview Elem,DeKalb,1988,8,32,16,0,56,164,479,246,10,899,955,
Salem Middle,DeKalb,3519,21,49,17,2,89,205,1372,830,5,2412,2501,
Shamrock,DeKalb,1600,79,127,87,0,293,106,419,465,4,994,1287,
South Deshon,DeKalb,3470,25,44,27,0,96,244,1253,624,11,2132,2228,
Stone Mtn Champion,DeKalb,3098,68,58,50,1,177,270,749,451,9,1479,1656,
Stone Mtn,DeKalb,1711,53,93,39,1,186,154,333,299,2,788,974,
Snapfinger Road N,DeKalb,2705,13,40,29,0,82,228,666,461,6,1361,1443,
Snapfinger Road S,DeKalb,1960,21,23,9,0,53,147,712,439,3,1301,1354,
Stephenson Middle,DeKalb,3822,48,63,33,0,144,269,1374,781,2,2426,2570,
South Hairston,DeKalb,3814,31,44,25,3,103,343,1070,628,11,2052,2155,
Stephenson High,DeKalb,3555,23,80,34,1,138,248,1157,794,6,2205,2343,
Stonecrest Library,DeKalb,3720,18,60,19,2,99,208,1505,538,12,2263,2362,
Snapfinger Road,DeKalb,4872,11,70,25,0,106,211,2177,1078,11,3477,3583,
Terry Mill,DeKalb,2808,22,62,25,1,110,215,939,587,5,1746,1856,
Toney Elem,DeKalb,1729,13,20,18,1,52,150,454,343,5,952,1004,
Tucker Library,DeKalb,3506,122,561,254,2,939,92,1003,656,3,1754,2693,
Tilly Mill Road,DeKalb,1552,121,349,130,1,601,55,345,251,0,651,1252,
Tucker,DeKalb,2932,65,335,186,0,586,96,836,554,8,1494,2080,
Valley Brook,DeKalb,1037,41,51,41,2,135,110,282,240,4,636,771,
Wadsworth,DeKalb,3159,19,29,23,0,71,264,860,649,12,1785,1856,
Wesley Chapel Library,DeKalb,2922,9,33,19,1,62,195,1102,710,6,2013,2075,
Woodrow Road,DeKalb,3493,10,58,35,0,103,249,1072,478,12,1811,1914,
Winnona Park,DeKalb,2020,25,97,59,0,181,42,850,573,2,1467,1648,
Woodridge Elem,DeKalb,3851,23,61,40,0,124,309,1005,752,11,2077,2201,
Warren Tech,DeKalb,1364,78,113,63,2,256,131,313,199,2,645,901,
Woodward,DeKalb,3193,75,281,175,1,532,130,877,751,2,1760,2292,
White Oak,DeKalb,2951,21,19,13,2,55,302,717,429,5,1453,1508,
Winters Chapel,DeKalb,1434,117,282,137,0,536,60,318,258,2,638,1174,
Wynbrooke Elem,DeKalb,3496,35,74,46,0,155,266,1287,794,13,2360,2515,
Young Road,DeKalb,1951,9,34,11,2,56,100,758,433,6,1297,1353,
