,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
1224,Edgehill,Glascock,136.0,27.0,33.0,2.0,0.0,62.0,20.0,15.0,7.0,0.0,42.0,104.0,76.5
1226,Mill,Glascock,778.0,94.0,208.0,51.0,0.0,353.0,36.0,90.0,21.0,0.0,147.0,500.0,64.3
1227,Mitchell,Glascock,448.0,73.0,89.0,40.0,0.0,202.0,26.0,39.0,19.0,0.0,84.0,286.0,63.8
422,Urbana-Perry Parks,Glynn,3638.0,275.0,567.0,386.0,1.0,1229.0,71.0,220.0,123.0,2.0,416.0,1645.0,45.2
421,Howard Coffin Park,Glynn,3320.0,226.0,597.0,311.0,2.0,1136.0,105.0,299.0,180.0,0.0,584.0,1720.0,51.8
404,Sterling Elementary,Glynn,4578.0,355.0,1197.0,366.0,2.0,1920.0,140.0,578.0,221.0,1.0,940.0,2860.0,62.5
405,Brookman,Glynn,3460.0,330.0,931.0,258.0,2.0,1521.0,142.0,461.0,147.0,2.0,752.0,2273.0,65.7
406,Satilla Marshes,Glynn,2824.0,272.0,777.0,279.0,0.0,1328.0,120.0,393.0,140.0,0.0,653.0,1981.0,70.1
407,Blythe Island Baptist,Glynn,2529.0,214.0,715.0,193.0,1.0,1123.0,98.0,380.0,116.0,1.0,595.0,1718.0,67.9
423,Selden Park,Glynn,1439.0,91.0,207.0,140.0,2.0,440.0,31.0,102.0,39.0,1.0,173.0,613.0,42.6
409,Hampton River,Glynn,2823.0,163.0,1002.0,406.0,1.0,1572.0,75.0,412.0,179.0,0.0,666.0,2238.0,79.3
410,St William Catholic Church,Glynn,4333.0,225.0,1542.0,537.0,2.0,2306.0,96.0,682.0,246.0,0.0,1024.0,3330.0,76.9
411,First Baptist,Glynn,4316.0,235.0,1449.0,528.0,1.0,2213.0,112.0,626.0,258.0,1.0,997.0,3210.0,74.4
408,Christian Renewal,Glynn,3699.0,216.0,1277.0,526.0,3.0,2022.0,94.0,530.0,224.0,0.0,848.0,2870.0,77.6
413,Sterling Church of God,Glynn,3925.0,346.0,1011.0,316.0,1.0,1674.0,131.0,453.0,140.0,3.0,727.0,2401.0,61.2
