,Precinct,County,Registered Voters,Travys Harper_Election Day Votes,Travys Harper_Advanced Voting Votes,Travys Harper_Absentee by Mail Votes,Travys Harper_Provisional Votes,Travys Harper_Choice Total,Ellis R. Lamme (I)_Election Day Votes,Ellis R. Lamme (I)_Advanced Voting Votes,Ellis R. Lamme (I)_Absentee by Mail Votes,Ellis R. Lamme (I)_Provisional Votes,Ellis R. Lamme (I)_Choice Total,Matthew R. Retter (I)_Election Day Votes,Matthew R. Retter (I)_Advanced Voting Votes,Matthew R. Retter (I)_Absentee by Mail Votes,Matthew R. Retter (I)_Provisional Votes,Matthew R. Retter (I)_Choice Total,Total,calc_participation
41,LAWRENCEVILLE C,Gwinnett,3037.0,113.0,349.0,196.0,1.0,659.0,302.0,722.0,408.0,0.0,1432.0,268.0,634.0,384.0,0.0,1286.0,3377.0,111.2
42,MARTINS D,Gwinnett,2402.0,166.0,257.0,169.0,3.0,595.0,214.0,361.0,204.0,0.0,779.0,180.0,265.0,170.0,1.0,616.0,1990.0,82.8
43,ROCKBRIDGE B,Gwinnett,4177.0,181.0,560.0,322.0,1.0,1064.0,264.0,950.0,416.0,1.0,1631.0,232.0,772.0,392.0,0.0,1396.0,4091.0,97.9
44,GARNERS B,Gwinnett,3178.0,104.0,424.0,262.0,2.0,792.0,188.0,809.0,403.0,3.0,1403.0,146.0,620.0,366.0,1.0,1133.0,3328.0,104.7
45,CATES F,Gwinnett,1787.0,85.0,179.0,134.0,2.0,400.0,207.0,415.0,287.0,0.0,909.0,182.0,343.0,265.0,1.0,791.0,2100.0,117.5
46,CATES G,Gwinnett,2875.0,81.0,318.0,256.0,0.0,655.0,239.0,865.0,546.0,0.0,1650.0,199.0,773.0,482.0,0.0,1454.0,3759.0,130.7
57,PINCKNEYVILLE K,Gwinnett,3754.0,220.0,484.0,280.0,7.0,991.0,345.0,664.0,305.0,5.0,1319.0,240.0,522.0,253.0,3.0,1018.0,3328.0,88.7
47,DULUTH B,Gwinnett,3551.0,138.0,355.0,355.0,2.0,850.0,303.0,704.0,551.0,2.0,1560.0,266.0,613.0,496.0,0.0,1375.0,3785.0,106.6
49,PINCKNEYVILLE I,Gwinnett,2635.0,161.0,298.0,209.0,1.0,669.0,216.0,516.0,239.0,1.0,972.0,194.0,367.0,209.0,1.0,771.0,2412.0,91.5
50,PINCKNEYVILLE J,Gwinnett,2613.0,161.0,334.0,161.0,2.0,658.0,231.0,508.0,178.0,2.0,919.0,161.0,387.0,153.0,0.0,701.0,2278.0,87.2
51,BERKSHIRE G,Gwinnett,2419.0,62.0,335.0,177.0,0.0,574.0,175.0,701.0,350.0,0.0,1226.0,154.0,613.0,308.0,0.0,1075.0,2875.0,118.9
52,CATES H,Gwinnett,3924.0,190.0,496.0,290.0,0.0,976.0,247.0,846.0,366.0,1.0,1460.0,189.0,663.0,341.0,0.0,1193.0,3629.0,92.5
53,SUGAR HILL C,Gwinnett,5085.0,225.0,575.0,343.0,0.0,1143.0,571.0,1376.0,597.0,0.0,2544.0,538.0,1276.0,565.0,0.0,2379.0,6066.0,119.3
54,SUGAR HILL D,Gwinnett,4624.0,178.0,591.0,292.0,2.0,1063.0,341.0,1351.0,470.0,3.0,2165.0,315.0,1159.0,444.0,6.0,1924.0,5152.0,111.4
55,DULUTH C,Gwinnett,2229.0,105.0,233.0,201.0,1.0,540.0,239.0,463.0,294.0,2.0,998.0,208.0,414.0,293.0,0.0,915.0,2453.0,110.0
48,GARNERS C,Gwinnett,2030.0,84.0,230.0,171.0,1.0,486.0,148.0,469.0,241.0,0.0,858.0,132.0,407.0,215.0,0.0,754.0,2098.0,103.3
155,BAYCREEK J,Gwinnett,4567.0,211.0,716.0,337.0,3.0,1267.0,335.0,1172.0,482.0,2.0,1991.0,285.0,925.0,461.0,2.0,1673.0,4931.0,108.0
