,Precinct,County,Registered Voters,Khadijah Abdur-Rahman (Dem)_Election Day Votes,Khadijah Abdur-Rahman (Dem)_Advanced Voting Votes,Khadijah Abdur-Rahman (Dem)_Absentee by Mail Votes,Khadijah Abdur-Rahman (Dem)_Provisional Votes,Khadijah Abdur-Rahman (Dem)_Choice Total,Total,Johnny Hardin (I) (Rep)_Election Day Votes,Johnny Hardin (I) (Rep)_Advanced Voting Votes,Johnny Hardin (I) (Rep)_Absentee by Mail Votes,Johnny Hardin (I) (Rep)_Provisional Votes,Johnny Hardin (I) (Rep)_Choice Total,Eddie J. Walden (I) (Dem)_Election Day Votes,Eddie J. Walden (I) (Dem)_Advanced Voting Votes,Eddie J. Walden (I) (Dem)_Absentee by Mail Votes,Eddie J. Walden (I) (Dem)_Provisional Votes,Eddie J. Walden (I) (Dem)_Choice Total,Kirklyn L. Dixon (I) (Rep)_Election Day Votes,Kirklyn L. Dixon (I) (Rep)_Advanced Voting Votes,Kirklyn L. Dixon (I) (Rep)_Absentee by Mail Votes,Kirklyn L. Dixon (I) (Rep)_Provisional Votes,Kirklyn L. Dixon (I) (Rep)_Choice Total,Lidia Garrett (Dem)_Election Day Votes,Lidia Garrett (Dem)_Advanced Voting Votes,Lidia Garrett (Dem)_Absentee by Mail Votes,Lidia Garrett (Dem)_Provisional Votes,Lidia Garrett (Dem)_Choice Total,Allison Powell Willis (Rep)_Election Day Votes,Allison Powell Willis (Rep)_Advanced Voting Votes,Allison Powell Willis (Rep)_Absentee by Mail Votes,Allison Powell Willis (Rep)_Provisional Votes,Allison Powell Willis (Rep)_Choice Total,Michael McBride (I) (Dem)_Election Day Votes,Michael McBride (I) (Dem)_Advanced Voting Votes,Michael McBride (I) (Dem)_Absentee by Mail Votes,Michael McBride (I) (Dem)_Provisional Votes,Michael McBride (I) (Dem)_Choice Total,William C. Dyal (Rep)_Election Day Votes,William C. Dyal (Rep)_Advanced Voting Votes,William C. Dyal (Rep)_Absentee by Mail Votes,William C. Dyal (Rep)_Provisional Votes,William C. Dyal (Rep)_Choice Total,"Aaron """"Adot"""" Whitely (Dem)_Election Day Votes","Aaron """"Adot"""" Whitely (Dem)_Advanced Voting Votes","Aaron """"Adot"""" Whitely (Dem)_Absentee by Mail Votes","Aaron """"Adot"""" Whitely (Dem)_Provisional Votes","Aaron """"Adot"""" Whitely (Dem)_Choice Total",Wiley E. Grady (I) (Rep)_Election Day Votes,Wiley E. Grady (I) (Rep)_Advanced Voting Votes,Wiley E. Grady (I) (Rep)_Absentee by Mail Votes,Wiley E. Grady (I) (Rep)_Provisional Votes,Wiley E. Grady (I) (Rep)_Choice Total,"Edward """"Ted"""" Terry (Dem)_Election Day Votes","Edward """"Ted"""" Terry (Dem)_Advanced Voting Votes","Edward """"Ted"""" Terry (Dem)_Absentee by Mail Votes","Edward """"Ted"""" Terry (Dem)_Provisional Votes","Edward """"Ted"""" Terry (Dem)_Choice Total",Michael Wayne Kubeck (Rep)_Election Day Votes,Michael Wayne Kubeck (Rep)_Advanced Voting Votes,Michael Wayne Kubeck (Rep)_Absentee by Mail Votes,Michael Wayne Kubeck (Rep)_Provisional Votes,Michael Wayne Kubeck (Rep)_Choice Total,Irene Y. Burney (I) (Dem)_Election Day Votes,Irene Y. Burney (I) (Dem)_Advanced Voting Votes,Irene Y. Burney (I) (Dem)_Absentee by Mail Votes,Irene Y. Burney (I) (Dem)_Provisional Votes,Irene Y. Burney (I) (Dem)_Choice Total,calc_participation
165,Hambrick Elem,DeKalb,3776.0,,,,,,2058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,1109.0,631.0,8.0,2058.0,,,,,,,,,,,54.5
166,Hawthorne Elem,DeKalb,3884.0,,,,,,2196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.0,1216.0,682.0,5.0,2196.0,,,,,,,,,,,56.5
155,Dunwoody Library,DeKalb,2570.0,,,,,,1464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,900.0,472.0,2.0,1464.0,,,,,,,,,,,57.0
167,Huntley Hills Elem,DeKalb,3508.0,,,,,,2040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.0,1189.0,528.0,4.0,2040.0,,,,,,,,,,,58.2
169,Harris-Margaret Harris ED,DeKalb,1462.0,,,,,,933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,493.0,308.0,4.0,933.0,,,,,,,,,,,63.8
170,Indian Creek,DeKalb,2318.0,,,,,,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,506.0,362.0,10.0,1051.0,,,,,,,,,,,45.3
171,Johnson Estates,DeKalb,1600.0,,,,,,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,519.0,536.0,0.0,1104.0,,,,,,,,,,,69.0
172,Jolly Elem,DeKalb,3679.0,,,,,,1777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,896.0,610.0,11.0,1777.0,,,,,,,,,,,48.3
173,Kelley Lake Elem,DeKalb,3015.0,,,,,,1597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,758.0,568.0,2.0,1597.0,,,,,,,,,,,53.0
174,Kingsley Elem,DeKalb,2490.0,,,,,,1416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,682.0,556.0,9.0,1416.0,,,,,,,,,,,56.9
175,Kittredge Elem,DeKalb,2161.0,,,,,,1340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,739.0,471.0,4.0,1340.0,,,,,,,,,,,62.0
176,Lakeside High,DeKalb,3216.0,,,,,,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,344.0,193.0,0.0,624.0,,,,,,,,,,,19.4
177,Lavista Road,DeKalb,2223.0,,,,,,1349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,582.0,625.0,3.0,1349.0,,,,,,,,,,,60.7
178,Lavista,DeKalb,3223.0,,,,,,1731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,879.0,638.0,8.0,1731.0,,,,,,,,,,,53.7
168,Harris-Narvie J Harris Elem,DeKalb,4031.0,,,,,,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,550.0,267.0,2.0,870.0,,,,,,,,,,,21.6
158,Emory Road,DeKalb,2290.0,,,,,,1197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,640.0,427.0,6.0,1197.0,,,,,,,,,,,52.3
213,Veterans Community Center,Evans,6135.0,,,,,,475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,105.0,36.0,0.0,183.0,52.0,167.0,73.0,0.0,292.0,7.7
51,SC07D,Fulton,2038.0,136.0,860.0,89.0,3.0,1088.0,1088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4
27,CP083,Fulton,240.0,11.0,19.0,3.0,0.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
28,CP084,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
29,CP08A,Fulton,756.0,64.0,86.0,26.0,0.0,176.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3
30,EP02A,Fulton,2407.0,161.0,543.0,304.0,21.0,1029.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8
31,EP02C,Fulton,522.0,17.0,190.0,64.0,0.0,271.0,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9
32,FA01A,Fulton,4032.0,240.0,1446.0,596.0,15.0,2297.0,2297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0
33,FA01B,Fulton,5860.0,29.0,2291.0,847.0,8.0,3175.0,3175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2
34,FA01C,Fulton,769.0,62.0,289.0,106.0,1.0,458.0,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6
35,FA01D,Fulton,321.0,19.0,121.0,8.0,15.0,163.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8
36,FC01,Fulton,325.0,21.0,129.0,25.0,2.0,177.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5
26,CP081,Fulton,373.0,34.0,54.0,15.0,5.0,108.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
37,FC02,Fulton,585.0,14.0,28.0,8.0,2.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
39,HP01,Fulton,3824.0,325.0,978.0,452.0,5.0,1760.0,1760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
40,PA01,Fulton,3006.0,205.0,924.0,361.0,14.0,1504.0,1504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
41,SC01A,Fulton,41.0,2.0,38.0,7.0,0.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.6
42,SC01B,Fulton,2088.0,124.0,1125.0,294.0,10.0,1553.0,1553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4
43,SC01C,Fulton,2249.0,85.0,1040.0,448.0,1.0,1574.0,1574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
44,SC02,Fulton,1426.0,42.0,718.0,251.0,2.0,1013.0,1013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
45,SC04,Fulton,1080.0,79.0,344.0,152.0,2.0,577.0,577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4
46,SC05A,Fulton,721.0,58.0,322.0,85.0,4.0,469.0,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
47,SC05D,Fulton,2808.0,184.0,1298.0,348.0,2.0,1832.0,1832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2
48,SC05E,Fulton,688.0,45.0,253.0,126.0,3.0,427.0,427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1
38,FC03,Fulton,17.0,1.0,8.0,0.0,7.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1
49,SC07A,Fulton,4506.0,244.0,1869.0,1013.0,10.0,3136.0,3136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6
25,CP07F,Fulton,266.0,22.0,35.0,6.0,0.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7
23,CP07B,Fulton,7.0,2.0,2.0,0.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1
1,10B,Fulton,3965.0,235.0,1477.0,833.0,9.0,2554.0,2554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4
2,10C,Fulton,2598.0,137.0,682.0,315.0,3.0,1137.0,1137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8
3,10G,Fulton,1332.0,98.0,497.0,224.0,1.0,820.0,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6
4,10H1,Fulton,439.0,30.0,149.0,73.0,13.0,265.0,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4
5,10H2,Fulton,2623.0,173.0,540.0,325.0,7.0,1045.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
6,10I,Fulton,331.0,12.0,156.0,89.0,0.0,257.0,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6
7,10R,Fulton,928.0,96.0,196.0,82.0,9.0,383.0,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3
8,11C,Fulton,3149.0,159.0,1340.0,555.0,3.0,2057.0,2057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3
9,CH01,Fulton,376.0,13.0,116.0,41.0,4.0,174.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3
10,CH02,Fulton,338.0,33.0,74.0,43.0,0.0,150.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4
24,CP07D,Fulton,790.0,65.0,126.0,37.0,0.0,228.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9
11,CH03,Fulton,410.0,25.0,90.0,33.0,0.0,148.0,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1
13,CH05,Fulton,429.0,26.0,75.0,43.0,0.0,144.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6
14,CP011,Fulton,1353.0,93.0,398.0,157.0,5.0,653.0,653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3
15,CP012,Fulton,1469.0,83.0,524.0,206.0,5.0,818.0,818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7
16,CP01B,Fulton,422.0,19.0,137.0,48.0,0.0,204.0,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3
17,CP02,Fulton,1208.0,74.0,356.0,163.0,1.0,594.0,594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2
18,CP04A,Fulton,13.0,0.0,3.0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1
19,CP04B,Fulton,38.0,1.0,4.0,8.0,0.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2
20,CP051,Fulton,1756.0,147.0,533.0,241.0,0.0,921.0,921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4
21,CP05B,Fulton,153.0,20.0,38.0,9.0,4.0,71.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4
22,CP06A,Fulton,732.0,49.0,126.0,38.0,0.0,213.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1
12,CH04A,Fulton,825.0,36.0,265.0,100.0,0.0,401.0,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6
50,SC07C,Fulton,41.0,1.0,9.0,3.0,0.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7
0,10A,Fulton,3186.0,231.0,942.0,522.0,5.0,1700.0,1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4
52,SC08B,Fulton,4096.0,277.0,1540.0,636.0,11.0,2464.0,2464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2
83,UC032,Fulton,393.0,21.0,138.0,76.0,1.0,236.0,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1
82,UC031,Fulton,2745.0,157.0,664.0,438.0,24.0,1283.0,1283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7
81,UC02C,Fulton,3614.0,150.0,1237.0,131.0,14.0,1532.0,1532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4
80,UC02B,Fulton,32.0,2.0,11.0,3.0,0.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
79,UC02A,Fulton,5609.0,328.0,2183.0,1131.0,18.0,3660.0,3660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3
78,UC01B,Fulton,428.0,39.0,142.0,29.0,4.0,214.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
76,SC30B,Fulton,1110.0,61.0,356.0,151.0,0.0,568.0,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2
75,SC30A,Fulton,157.0,5.0,43.0,58.0,5.0,111.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7
74,SC29A,Fulton,3154.0,270.0,950.0,538.0,9.0,1767.0,1767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0
73,SC27,Fulton,2361.0,152.0,722.0,459.0,0.0,1333.0,1333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5
72,SC23C,Fulton,2606.0,208.0,865.0,393.0,2.0,1468.0,1468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.3
71,SC23B,Fulton,557.0,56.0,167.0,110.0,2.0,335.0,335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1
70,SC23A,Fulton,3854.0,341.0,1127.0,630.0,10.0,2108.0,2108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7
69,SC212,Fulton,4244.0,261.0,1728.0,603.0,9.0,2601.0,2601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3
68,SC211,Fulton,1828.0,101.0,834.0,294.0,0.0,1229.0,1229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2
77,UC01A,Fulton,4234.0,335.0,1228.0,335.0,12.0,1910.0,1910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1
66,SC15A,Fulton,2482.0,136.0,1299.0,103.0,0.0,1538.0,1538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0
53,SC08D,Fulton,605.0,40.0,231.0,80.0,0.0,351.0,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0
54,SC08E,Fulton,724.0,59.0,302.0,64.0,3.0,428.0,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1
55,SC08G,Fulton,14.0,0.0,3.0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4
56,SC08H,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
57,SC09A,Fulton,1865.0,179.0,534.0,225.0,4.0,942.0,942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5
58,SC09B,Fulton,1920.0,128.0,720.0,355.0,2.0,1205.0,1205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8
67,SC16A,Fulton,5175.0,290.0,2453.0,849.0,0.0,3592.0,3592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4
60,SC10,Fulton,1912.0,156.0,420.0,186.0,5.0,767.0,767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1
61,SC11A,Fulton,1656.0,148.0,532.0,261.0,22.0,963.0,963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2
62,SC11B,Fulton,1691.0,114.0,546.0,309.0,0.0,969.0,969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3
63,SC13,Fulton,2895.0,167.0,1343.0,414.0,1.0,1925.0,1925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5
64,SC14A,Fulton,1030.0,67.0,323.0,97.0,0.0,487.0,487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3
65,SC15,Fulton,4522.0,279.0,1997.0,805.0,6.0,3087.0,3087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3
59,SC09C,Fulton,1852.0,182.0,530.0,290.0,0.0,1002.0,1002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1
91,Hinesville,Liberty,1984.0,,,,,,960.0,,,,,,132.0,559.0,269.0,0.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4
92,Hinesville Lodge 271,Liberty,2646.0,,,,,,429.0,,,,,,99.0,226.0,104.0,0.0,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2
90,Button Gwinnett,Liberty,2304.0,,,,,,156.0,,,,,,41.0,69.0,46.0,0.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
88,Lewis Frasier School,Liberty,4317.0,,,,,,151.0,,,,,,19.0,88.0,44.0,0.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
89,Memorial Dr East,Liberty,1976.0,,,,,,11.0,,,,,,0.0,9.0,2.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
101,Rocky Ford,Screven,0.0,,,,,,368.0,,,,,,,,,,,,,,,,,,,,,92.0,90.0,34.0,0.0,216.0,37.0,78.0,37.0,0.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Bay Branch,Screven,0.0,,,,,,694.0,,,,,,,,,,,,,,,,,,,,,144.0,224.0,51.0,1.0,420.0,64.0,175.0,35.0,0.0,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Scott,Thomas,2491.0,,,,,,1246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,919.0,199.0,0.0,1246.0,,,,,,,,,,,,,,,,50.0
114,Remington Esc,Thomas,2190.0,,,,,,985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,635.0,187.0,0.0,985.0,,,,,,,,,,,,,,,,45.0
113,New Covenant,Thomas,2155.0,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,29.0,7.0,0.0,53.0,,,,,,,,,,,,,,,,2.5
112,Jerger,Thomas,1898.0,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,13.0,0.0,37.0,,,,,,,,,,,,,,,,1.9
111,Central,Thomas,3523.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,6.0,0.0,8.0,,,,,,,,,,,,,,,,0.2
94,Gratis,Walton,1243.0,,,,,,301.0,,,,,,,,,,,75.0,132.0,59.0,0.0,266.0,3.0,17.0,15.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2
