,Precinct,County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,calc_participation
1397,Greenbrier High,Columbia,3369.0,4.0,2.0,2.0,0.0,8.0,3.0,6.0,0.0,0.0,9.0,146.0,412.0,97.0,1.0,656.0,2.0,1.0,3.0,0.0,6.0,8.0,16.0,6.0,0.0,30.0,8.0,3.0,2.0,0.0,13.0,13.0,17.0,5.0,0.0,35.0,8.0,49.0,41.0,1.0,99.0,4.0,13.0,10.0,0.0,27.0,7.0,8.0,2.0,0.0,17.0,4.0,17.0,2.0,0.0,23.0,16.0,37.0,18.0,0.0,71.0,303.0,723.0,112.0,2.0,1140.0,1.0,8.0,6.0,0.0,15.0,7.0,13.0,8.0,0.0,28.0,4.0,2.0,1.0,0.0,7.0,4.0,5.0,11.0,0.0,20.0,6.0,14.0,2.0,0.0,22.0,44.0,222.0,171.0,0.0,437.0,1.0,6.0,2.0,0.0,9.0,2672.0,79.3
1382,New Life Church,Columbia,4438.0,6.0,5.0,2.0,0.0,13.0,7.0,10.0,3.0,0.0,20.0,93.0,357.0,68.0,0.0,518.0,9.0,4.0,3.0,0.0,16.0,10.0,26.0,3.0,0.0,39.0,3.0,6.0,5.0,0.0,14.0,10.0,30.0,4.0,0.0,44.0,39.0,164.0,72.0,0.0,275.0,10.0,55.0,26.0,0.0,91.0,4.0,14.0,0.0,0.0,18.0,24.0,61.0,14.0,0.0,99.0,24.0,78.0,16.0,1.0,119.0,188.0,483.0,92.0,1.0,764.0,8.0,31.0,5.0,0.0,44.0,17.0,15.0,4.0,0.0,36.0,5.0,4.0,0.0,0.0,9.0,8.0,34.0,28.0,0.0,70.0,9.0,17.0,4.0,0.0,30.0,105.0,562.0,243.0,1.0,911.0,2.0,8.0,1.0,1.0,12.0,3142.0,70.8
1384,Harlem Senior Center,Columbia,1819.0,4.0,0.0,3.0,0.0,7.0,0.0,4.0,1.0,0.0,5.0,89.0,143.0,27.0,0.0,259.0,0.0,2.0,0.0,0.0,2.0,10.0,11.0,2.0,0.0,23.0,2.0,2.0,0.0,0.0,4.0,5.0,11.0,2.0,0.0,18.0,17.0,32.0,27.0,0.0,76.0,6.0,10.0,13.0,0.0,29.0,6.0,4.0,3.0,0.0,13.0,7.0,13.0,5.0,0.0,25.0,8.0,14.0,2.0,0.0,24.0,182.0,273.0,33.0,0.0,488.0,3.0,4.0,3.0,0.0,10.0,6.0,6.0,0.0,0.0,12.0,1.0,1.0,2.0,0.0,4.0,2.0,17.0,21.0,0.0,40.0,4.0,8.0,2.0,0.0,14.0,70.0,136.0,99.0,0.0,305.0,1.0,5.0,3.0,0.0,9.0,1367.0,75.2
1383,Harlem Branch Library,Columbia,2642.0,2.0,4.0,1.0,0.0,7.0,1.0,3.0,0.0,0.0,4.0,128.0,345.0,71.0,0.0,544.0,1.0,2.0,1.0,0.0,4.0,13.0,15.0,6.0,0.0,34.0,0.0,3.0,0.0,0.0,3.0,10.0,6.0,4.0,0.0,20.0,15.0,34.0,17.0,0.0,66.0,4.0,12.0,5.0,0.0,21.0,9.0,17.0,1.0,0.0,27.0,4.0,16.0,4.0,0.0,24.0,6.0,14.0,10.0,0.0,30.0,182.0,459.0,92.0,2.0,735.0,3.0,3.0,0.0,0.0,6.0,6.0,9.0,0.0,0.0,15.0,1.0,2.0,2.0,0.0,5.0,3.0,13.0,18.0,0.0,34.0,10.0,13.0,4.0,0.0,27.0,40.0,140.0,73.0,0.0,253.0,1.0,1.0,3.0,0.0,5.0,1864.0,70.6
1381,Patriots Park,Columbia,4046.0,1.0,6.0,2.0,0.0,9.0,1.0,6.0,3.0,0.0,10.0,106.0,480.0,65.0,0.0,651.0,1.0,7.0,2.0,0.0,10.0,10.0,19.0,3.0,0.0,32.0,3.0,4.0,0.0,0.0,7.0,7.0,25.0,6.0,0.0,38.0,29.0,94.0,43.0,0.0,166.0,2.0,24.0,15.0,0.0,41.0,7.0,14.0,1.0,0.0,22.0,3.0,29.0,14.0,0.0,46.0,14.0,43.0,10.0,0.0,67.0,210.0,753.0,112.0,0.0,1075.0,5.0,15.0,4.0,0.0,24.0,13.0,25.0,2.0,0.0,40.0,0.0,5.0,5.0,0.0,10.0,4.0,30.0,25.0,0.0,59.0,9.0,15.0,3.0,0.0,27.0,68.0,404.0,207.0,0.0,679.0,3.0,12.0,5.0,0.0,20.0,3033.0,75.0
1380,Woodlawn Baptist Church,Columbia,1290.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,66.0,160.0,41.0,0.0,267.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,3.0,0.0,12.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,5.0,1.0,18.0,11.0,0.0,30.0,0.0,6.0,4.0,0.0,10.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,6.0,12.0,3.0,0.0,21.0,96.0,279.0,63.0,0.0,438.0,0.0,5.0,1.0,0.0,6.0,3.0,4.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,4.0,3.0,4.0,7.0,0.0,14.0,0.0,3.0,2.0,0.0,5.0,13.0,87.0,62.0,0.0,162.0,1.0,1.0,0.0,0.0,2.0,1001.0,77.6
1379,Lewis Methodist Church,Columbia,3737.0,3.0,6.0,4.0,0.0,13.0,1.0,2.0,1.0,0.0,4.0,125.0,381.0,110.0,1.0,617.0,5.0,4.0,4.0,0.0,13.0,16.0,12.0,6.0,0.0,34.0,1.0,4.0,2.0,0.0,7.0,13.0,12.0,5.0,0.0,30.0,16.0,78.0,49.0,0.0,143.0,10.0,24.0,21.0,0.0,55.0,8.0,21.0,2.0,0.0,31.0,4.0,29.0,11.0,0.0,44.0,15.0,44.0,21.0,0.0,80.0,228.0,633.0,134.0,0.0,995.0,4.0,7.0,5.0,0.0,16.0,14.0,12.0,8.0,0.0,34.0,3.0,2.0,3.0,0.0,8.0,3.0,17.0,30.0,0.0,50.0,9.0,8.0,6.0,0.0,23.0,75.0,342.0,216.0,1.0,634.0,1.0,18.0,5.0,0.0,24.0,2855.0,76.4
1378,Kiokee Baptist Church,Columbia,2541.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,7.0,151.0,466.0,87.0,0.0,704.0,1.0,0.0,3.0,0.0,4.0,10.0,17.0,6.0,0.0,33.0,1.0,2.0,1.0,0.0,4.0,10.0,9.0,3.0,0.0,22.0,6.0,16.0,13.0,0.0,35.0,2.0,4.0,7.0,0.0,13.0,11.0,12.0,1.0,0.0,24.0,2.0,3.0,4.0,0.0,9.0,3.0,15.0,5.0,0.0,23.0,256.0,624.0,88.0,0.0,968.0,1.0,3.0,1.0,0.0,5.0,4.0,7.0,4.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,4.0,1.0,5.0,0.0,10.0,6.0,12.0,0.0,0.0,18.0,22.0,91.0,53.0,0.0,166.0,1.0,2.0,2.0,0.0,5.0,2071.0,81.5
1387,Philadelphia Church,Columbia,2355.0,6.0,2.0,1.0,0.0,9.0,2.0,1.0,1.0,0.0,4.0,66.0,238.0,50.0,0.0,354.0,2.0,3.0,2.0,0.0,7.0,2.0,12.0,1.0,1.0,16.0,4.0,4.0,1.0,0.0,9.0,2.0,14.0,0.0,0.0,16.0,11.0,70.0,29.0,0.0,110.0,11.0,19.0,11.0,0.0,41.0,5.0,9.0,5.0,0.0,19.0,7.0,18.0,14.0,0.0,39.0,9.0,36.0,12.0,0.0,57.0,119.0,321.0,65.0,0.0,505.0,5.0,13.0,1.0,0.0,19.0,6.0,15.0,4.0,0.0,25.0,1.0,3.0,0.0,0.0,4.0,4.0,16.0,10.0,0.0,30.0,6.0,13.0,5.0,0.0,24.0,60.0,238.0,101.0,0.0,399.0,2.0,3.0,2.0,0.0,7.0,1694.0,71.9
1386,Bessie Thomas Center,Columbia,799.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,121.0,22.0,1.0,181.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,5.0,7.0,4.0,2.0,0.0,13.0,1.0,9.0,2.0,0.0,12.0,1.0,2.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,7.0,1.0,4.0,1.0,0.0,6.0,1.0,2.0,3.0,0.0,6.0,64.0,216.0,31.0,1.0,312.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,6.0,1.0,6.0,1.0,0.0,8.0,4.0,24.0,16.0,0.0,44.0,0.0,2.0,0.0,0.0,2.0,620.0,77.6
1385,Second Mt Moriah Baptist Church,Columbia,1027.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,6.0,53.0,125.0,22.0,1.0,201.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,9.0,1.0,1.0,1.0,0.0,3.0,4.0,15.0,2.0,0.0,21.0,2.0,9.0,8.0,0.0,19.0,1.0,5.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,6.0,1.0,4.0,0.0,0.0,5.0,4.0,7.0,0.0,0.0,11.0,94.0,238.0,42.0,0.0,374.0,2.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,5.0,6.0,4.0,0.0,0.0,10.0,11.0,47.0,39.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,788.0,76.7
1390,G A Apostolic Church,Columbia,1701.0,0.0,4.0,2.0,0.0,6.0,2.0,0.0,3.0,0.0,5.0,82.0,159.0,46.0,0.0,287.0,1.0,2.0,0.0,0.0,3.0,3.0,9.0,4.0,0.0,16.0,3.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,9.0,14.0,42.0,20.0,0.0,76.0,7.0,12.0,9.0,0.0,28.0,8.0,6.0,2.0,0.0,16.0,11.0,7.0,5.0,1.0,24.0,7.0,17.0,4.0,0.0,28.0,136.0,187.0,67.0,0.0,390.0,3.0,8.0,3.0,0.0,14.0,2.0,4.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,5.0,3.0,12.0,14.0,0.0,29.0,5.0,3.0,0.0,0.0,8.0,30.0,134.0,84.0,0.0,248.0,2.0,5.0,1.0,0.0,8.0,1210.0,71.1
1389,Grovetown Methodist Church,Columbia,2736.0,3.0,4.0,0.0,1.0,8.0,2.0,2.0,4.0,0.0,8.0,61.0,106.0,42.0,1.0,210.0,3.0,1.0,4.0,0.0,8.0,7.0,7.0,7.0,0.0,21.0,2.0,6.0,0.0,0.0,8.0,12.0,14.0,0.0,0.0,26.0,44.0,98.0,35.0,0.0,177.0,13.0,25.0,9.0,1.0,48.0,3.0,9.0,1.0,0.0,13.0,19.0,28.0,22.0,1.0,70.0,20.0,34.0,15.0,0.0,69.0,105.0,162.0,57.0,0.0,324.0,5.0,17.0,5.0,0.0,27.0,5.0,4.0,3.0,0.0,12.0,0.0,2.0,2.0,0.0,4.0,6.0,27.0,24.0,0.0,57.0,7.0,5.0,1.0,0.0,13.0,126.0,273.0,133.0,3.0,535.0,4.0,3.0,2.0,0.0,9.0,1647.0,60.2
1421,Col Cty Main Library,Columbia,2106.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,3.0,0.0,5.0,63.0,264.0,45.0,0.0,372.0,1.0,2.0,0.0,0.0,3.0,2.0,13.0,1.0,0.0,16.0,2.0,1.0,0.0,0.0,3.0,5.0,8.0,3.0,0.0,16.0,9.0,46.0,20.0,0.0,75.0,1.0,6.0,6.0,0.0,13.0,4.0,7.0,0.0,0.0,11.0,5.0,11.0,6.0,0.0,22.0,9.0,17.0,16.0,0.0,42.0,112.0,383.0,81.0,0.0,576.0,1.0,6.0,1.0,0.0,8.0,3.0,6.0,1.0,0.0,10.0,0.0,1.0,1.0,0.0,2.0,7.0,16.0,15.0,0.0,38.0,2.0,6.0,0.0,0.0,8.0,29.0,172.0,118.0,1.0,320.0,0.0,3.0,1.0,0.0,4.0,1548.0,73.5
1400,Grace Baptist Church,Columbia,3558.0,3.0,5.0,5.0,0.0,13.0,1.0,5.0,4.0,0.0,10.0,125.0,352.0,57.0,0.0,534.0,1.0,5.0,1.0,0.0,7.0,5.0,19.0,1.0,0.0,25.0,2.0,4.0,1.0,0.0,7.0,5.0,14.0,4.0,0.0,23.0,22.0,81.0,45.0,0.0,148.0,6.0,23.0,15.0,0.0,44.0,5.0,14.0,1.0,0.0,20.0,8.0,26.0,9.0,0.0,43.0,8.0,44.0,14.0,0.0,66.0,249.0,573.0,106.0,0.0,928.0,1.0,12.0,3.0,0.0,16.0,7.0,18.0,3.0,0.0,28.0,2.0,1.0,2.0,0.0,5.0,4.0,29.0,21.0,0.0,54.0,11.0,10.0,3.0,0.0,24.0,77.0,404.0,211.0,0.0,692.0,2.0,8.0,8.0,0.0,18.0,2705.0,76.0
1415,Martinez Baptist,Columbia,1962.0,3.0,2.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,4.0,102.0,136.0,34.0,0.0,272.0,0.0,2.0,2.0,0.0,4.0,7.0,8.0,0.0,0.0,15.0,3.0,1.0,0.0,0.0,4.0,9.0,8.0,0.0,0.0,17.0,20.0,30.0,16.0,0.0,66.0,5.0,13.0,6.0,0.0,24.0,11.0,8.0,1.0,0.0,20.0,8.0,11.0,10.0,0.0,29.0,9.0,17.0,8.0,0.0,34.0,175.0,167.0,69.0,0.0,411.0,7.0,3.0,0.0,0.0,10.0,14.0,7.0,1.0,0.0,22.0,1.0,2.0,0.0,0.0,3.0,5.0,13.0,20.0,0.0,38.0,4.0,8.0,3.0,0.0,15.0,93.0,126.0,80.0,0.0,299.0,3.0,1.0,2.0,0.0,6.0,1298.0,66.2
1401,Christ Sanctified,Columbia,2521.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,6.0,95.0,316.0,64.0,0.0,475.0,0.0,2.0,0.0,0.0,2.0,13.0,7.0,1.0,0.0,21.0,2.0,3.0,1.0,0.0,6.0,8.0,7.0,3.0,0.0,18.0,9.0,42.0,21.0,0.0,72.0,4.0,13.0,4.0,0.0,21.0,7.0,11.0,3.0,0.0,21.0,8.0,8.0,7.0,0.0,23.0,11.0,17.0,6.0,0.0,34.0,207.0,409.0,102.0,1.0,719.0,4.0,4.0,3.0,0.0,11.0,7.0,6.0,1.0,0.0,14.0,3.0,0.0,0.0,0.0,3.0,4.0,14.0,19.0,0.0,37.0,8.0,8.0,2.0,0.0,18.0,58.0,170.0,110.0,0.0,338.0,1.0,0.0,5.0,0.0,6.0,1846.0,73.2
1411,Genesis Church,Columbia,1830.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0,84.0,227.0,61.0,0.0,372.0,2.0,2.0,1.0,0.0,5.0,3.0,4.0,5.0,0.0,12.0,7.0,1.0,1.0,0.0,9.0,5.0,5.0,2.0,0.0,12.0,9.0,25.0,14.0,0.0,48.0,0.0,3.0,7.0,0.0,10.0,3.0,4.0,1.0,0.0,8.0,5.0,6.0,10.0,0.0,21.0,7.0,14.0,12.0,0.0,33.0,135.0,280.0,112.0,0.0,527.0,2.0,1.0,1.0,0.0,4.0,8.0,2.0,5.0,0.0,15.0,2.0,0.0,1.0,0.0,3.0,4.0,10.0,11.0,0.0,25.0,3.0,6.0,1.0,0.0,10.0,41.0,133.0,114.0,1.0,289.0,1.0,5.0,3.0,0.0,9.0,1418.0,77.5
1412,Stevens Creek Church,Columbia,2760.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,109.0,341.0,123.0,1.0,574.0,2.0,4.0,3.0,0.0,9.0,4.0,8.0,1.0,0.0,13.0,2.0,0.0,1.0,0.0,3.0,6.0,8.0,2.0,0.0,16.0,16.0,41.0,26.0,0.0,83.0,1.0,7.0,10.0,0.0,18.0,2.0,6.0,2.0,0.0,10.0,0.0,11.0,6.0,0.0,17.0,7.0,19.0,25.0,0.0,51.0,253.0,574.0,144.0,0.0,971.0,1.0,5.0,0.0,0.0,6.0,5.0,7.0,3.0,0.0,15.0,0.0,1.0,1.0,0.0,2.0,5.0,19.0,13.0,0.0,37.0,0.0,7.0,0.0,0.0,7.0,57.0,195.0,181.0,0.0,433.0,0.0,3.0,2.0,0.0,5.0,2275.0,82.4
1413,Mtz Col Fire Hdqtr,Columbia,1291.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,4.0,60.0,77.0,21.0,0.0,158.0,2.0,0.0,0.0,0.0,2.0,6.0,5.0,1.0,0.0,12.0,5.0,0.0,2.0,0.0,7.0,1.0,9.0,0.0,0.0,10.0,15.0,22.0,15.0,0.0,52.0,7.0,3.0,6.0,0.0,16.0,6.0,4.0,0.0,0.0,10.0,5.0,2.0,1.0,1.0,9.0,8.0,8.0,4.0,0.0,20.0,120.0,134.0,52.0,0.0,306.0,4.0,4.0,1.0,0.0,9.0,5.0,6.0,3.0,0.0,14.0,0.0,1.0,2.0,0.0,3.0,4.0,5.0,5.0,0.0,14.0,3.0,2.0,1.0,0.0,6.0,57.0,67.0,52.0,0.0,176.0,2.0,3.0,2.0,0.0,7.0,838.0,64.9
1402,Blanchard Park,Columbia,2026.0,2.0,5.0,3.0,0.0,10.0,0.0,3.0,0.0,0.0,3.0,79.0,147.0,46.0,1.0,273.0,4.0,1.0,0.0,0.0,5.0,13.0,11.0,2.0,0.0,26.0,5.0,2.0,0.0,0.0,7.0,4.0,5.0,3.0,0.0,12.0,16.0,45.0,25.0,0.0,86.0,6.0,15.0,7.0,0.0,28.0,3.0,7.0,2.0,0.0,12.0,3.0,18.0,7.0,0.0,28.0,9.0,23.0,8.0,0.0,40.0,135.0,235.0,82.0,1.0,453.0,7.0,6.0,0.0,0.0,13.0,6.0,4.0,3.0,0.0,13.0,2.0,2.0,1.0,0.0,5.0,10.0,14.0,18.0,0.0,42.0,5.0,6.0,0.0,0.0,11.0,43.0,168.0,112.0,0.0,323.0,3.0,3.0,0.0,0.0,6.0,1396.0,68.9
1424,Christ The King Luth Church,Columbia,2148.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0,1.0,0.0,5.0,65.0,298.0,100.0,0.0,463.0,1.0,2.0,2.0,0.0,5.0,4.0,9.0,2.0,0.0,15.0,0.0,4.0,1.0,0.0,5.0,3.0,10.0,4.0,0.0,17.0,6.0,30.0,29.0,0.0,65.0,3.0,5.0,8.0,0.0,16.0,3.0,2.0,2.0,0.0,7.0,3.0,7.0,13.0,0.0,23.0,6.0,27.0,16.0,0.0,49.0,123.0,430.0,138.0,0.0,691.0,2.0,6.0,3.0,0.0,11.0,2.0,4.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,4.0,14.0,9.0,0.0,27.0,1.0,7.0,2.0,0.0,10.0,21.0,155.0,126.0,1.0,303.0,0.0,2.0,7.0,0.0,9.0,1734.0,80.7
1423,Blue Ridge Elementary,Columbia,2301.0,2.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,5.0,85.0,232.0,63.0,0.0,380.0,3.0,2.0,2.0,0.0,7.0,5.0,16.0,1.0,0.0,22.0,0.0,4.0,0.0,0.0,4.0,6.0,7.0,3.0,0.0,16.0,20.0,44.0,27.0,1.0,92.0,7.0,9.0,4.0,0.0,20.0,3.0,5.0,1.0,0.0,9.0,13.0,11.0,5.0,0.0,29.0,14.0,17.0,10.0,0.0,41.0,157.0,340.0,73.0,0.0,570.0,5.0,4.0,2.0,0.0,11.0,8.0,10.0,5.0,0.0,23.0,2.0,2.0,1.0,0.0,5.0,6.0,24.0,14.0,0.0,44.0,6.0,5.0,2.0,0.0,13.0,67.0,161.0,100.0,0.0,328.0,4.0,3.0,3.0,0.0,10.0,1632.0,70.9
1422,Christ Church Presbyterian,Columbia,2081.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,6.0,81.0,293.0,61.0,0.0,435.0,0.0,2.0,1.0,0.0,3.0,4.0,10.0,2.0,0.0,16.0,1.0,1.0,1.0,0.0,3.0,6.0,13.0,2.0,0.0,21.0,7.0,30.0,19.0,1.0,57.0,1.0,2.0,9.0,0.0,12.0,5.0,4.0,1.0,0.0,10.0,5.0,11.0,4.0,0.0,20.0,14.0,25.0,16.0,0.0,55.0,183.0,408.0,75.0,1.0,667.0,1.0,2.0,0.0,0.0,3.0,3.0,12.0,1.0,0.0,16.0,1.0,0.0,1.0,0.0,2.0,1.0,13.0,10.0,0.0,24.0,2.0,9.0,2.0,0.0,13.0,37.0,145.0,98.0,0.0,280.0,1.0,3.0,4.0,0.0,8.0,1653.0,79.4
1420,Wesley Methodist,Columbia,2434.0,1.0,4.0,2.0,0.0,7.0,2.0,5.0,0.0,0.0,7.0,108.0,340.0,71.0,1.0,520.0,0.0,5.0,1.0,0.0,6.0,5.0,8.0,5.0,0.0,18.0,5.0,2.0,0.0,0.0,7.0,8.0,9.0,5.0,0.0,22.0,7.0,49.0,18.0,0.0,74.0,4.0,14.0,3.0,0.0,21.0,4.0,10.0,0.0,0.0,14.0,1.0,7.0,2.0,0.0,10.0,16.0,31.0,15.0,0.0,62.0,183.0,433.0,106.0,2.0,724.0,4.0,5.0,2.0,0.0,11.0,7.0,4.0,2.0,0.0,13.0,1.0,4.0,0.0,0.0,5.0,4.0,15.0,6.0,0.0,25.0,7.0,5.0,2.0,0.0,14.0,47.0,160.0,115.0,1.0,323.0,2.0,1.0,3.0,0.0,6.0,1889.0,77.6
1419,Journey Comm Church,Columbia,1268.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,63.0,188.0,72.0,1.0,324.0,0.0,2.0,1.0,0.0,3.0,2.0,8.0,2.0,0.0,12.0,1.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,5.0,2.0,13.0,6.0,0.0,21.0,1.0,2.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,4.0,0.0,6.0,6.0,9.0,3.0,0.0,18.0,90.0,295.0,70.0,1.0,456.0,2.0,3.0,0.0,0.0,5.0,3.0,10.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,19.0,2.0,4.0,3.0,0.0,9.0,21.0,62.0,57.0,0.0,140.0,3.0,0.0,0.0,0.0,3.0,1053.0,83.0
