,Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation
1610,7A,Clarke,2968.0,160.0,375.0,246.0,1.0,782.0,189.0,599.0,585.0,1.0,1374.0,8.0,11.0,10.0,0.0,29.0,2185.0,73.6
1608,6C,Clarke,3129.0,191.0,438.0,253.0,0.0,882.0,170.0,578.0,619.0,0.0,1367.0,12.0,18.0,13.0,0.0,43.0,2292.0,73.3
1612,7C,Clarke,2733.0,165.0,324.0,175.0,1.0,665.0,171.0,621.0,551.0,1.0,1344.0,12.0,20.0,10.0,0.0,42.0,2051.0,75.0
1613,8A,Clarke,3319.0,128.0,259.0,214.0,0.0,601.0,195.0,650.0,695.0,3.0,1543.0,13.0,18.0,12.0,0.0,43.0,2187.0,65.9
1614,8B,Clarke,2317.0,116.0,167.0,148.0,0.0,431.0,173.0,442.0,483.0,0.0,1098.0,6.0,7.0,7.0,0.0,20.0,1549.0,66.9
1615,8C,Clarke,3910.0,169.0,320.0,185.0,1.0,675.0,270.0,802.0,730.0,3.0,1805.0,11.0,25.0,14.0,0.0,50.0,2530.0,64.7
1611,7B,Clarke,3166.0,118.0,428.0,227.0,0.0,773.0,155.0,622.0,618.0,2.0,1397.0,17.0,19.0,11.0,0.0,47.0,2217.0,70.0
1722,Days Cross Road,Clay,461.0,37.0,126.0,37.0,0.0,200.0,25.0,60.0,65.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,350.0,75.9
1721,Old Head Start,Clay,453.0,26.0,86.0,18.0,0.0,130.0,35.0,63.0,81.0,0.0,179.0,0.0,0.0,1.0,0.0,1.0,310.0,68.4
1720,Court House,Clay,390.0,10.0,34.0,9.0,0.0,53.0,54.0,86.0,59.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,252.0,64.6
1719,Zetto,Clay,366.0,15.0,55.0,11.0,0.0,81.0,38.0,76.0,57.0,0.0,171.0,2.0,0.0,0.0,0.0,2.0,254.0,69.4
1718,Bluffton,Clay,383.0,43.0,100.0,30.0,0.0,173.0,13.0,44.0,34.0,0.0,91.0,3.0,0.0,1.0,0.0,4.0,268.0,70.0
1030,Oak 2,Clayton,1974.0,22.0,32.0,21.0,3.0,78.0,231.0,420.0,226.0,8.0,885.0,3.0,5.0,1.0,0.0,9.0,972.0,49.2
1029,Oak 1,Clayton,2635.0,33.0,29.0,14.0,0.0,76.0,313.0,732.0,284.0,3.0,1332.0,7.0,3.0,4.0,0.0,14.0,1422.0,54.0
1028,Morrow 11,Clayton,2295.0,39.0,92.0,34.0,2.0,167.0,224.0,669.0,285.0,1.0,1179.0,6.0,3.0,2.0,0.0,11.0,1357.0,59.1
1019,Morrow 2,Clayton,2081.0,77.0,280.0,109.0,2.0,468.0,112.0,449.0,226.0,2.0,789.0,2.0,5.0,3.0,0.0,10.0,1267.0,60.9
1021,Morrow 4,Clayton,2112.0,50.0,138.0,72.0,0.0,260.0,182.0,446.0,261.0,3.0,892.0,4.0,5.0,5.0,0.0,14.0,1166.0,55.2
1027,Morrow 10,Clayton,2342.0,41.0,164.0,42.0,0.0,247.0,147.0,757.0,276.0,3.0,1183.0,1.0,9.0,2.0,0.0,12.0,1442.0,61.6
1022,Morrow 5,Clayton,3056.0,47.0,120.0,74.0,0.0,241.0,256.0,1065.0,582.0,3.0,1906.0,9.0,8.0,6.0,0.0,23.0,2170.0,71.0
1023,Morrow 6,Clayton,3030.0,70.0,159.0,105.0,1.0,335.0,275.0,907.0,410.0,5.0,1597.0,3.0,8.0,4.0,0.0,15.0,1947.0,64.3
1024,Morrow 7,Clayton,2142.0,46.0,122.0,49.0,1.0,218.0,248.0,445.0,229.0,6.0,928.0,7.0,6.0,3.0,0.0,16.0,1162.0,54.2
1025,Morrow 8,Clayton,3185.0,39.0,85.0,48.0,1.0,173.0,260.0,1090.0,528.0,10.0,1888.0,5.0,11.0,8.0,0.0,24.0,2085.0,65.5
1026,Morrow 9,Clayton,1509.0,35.0,72.0,31.0,1.0,139.0,112.0,390.0,216.0,0.0,718.0,5.0,3.0,5.0,0.0,13.0,870.0,57.7
1031,Oak 3,Clayton,2731.0,12.0,35.0,18.0,0.0,65.0,325.0,660.0,373.0,6.0,1364.0,4.0,4.0,4.0,0.0,12.0,1441.0,52.8
1020,Morrow 3,Clayton,2407.0,61.0,219.0,109.0,1.0,390.0,157.0,573.0,330.0,4.0,1064.0,5.0,6.0,4.0,0.0,15.0,1469.0,61.0
1032,Oak 4,Clayton,4233.0,39.0,63.0,35.0,0.0,137.0,426.0,1111.0,485.0,9.0,2031.0,3.0,12.0,1.0,0.0,16.0,2184.0,51.6
1010,Lake City,Clayton,3217.0,43.0,146.0,57.0,2.0,248.0,261.0,795.0,380.0,7.0,1443.0,2.0,5.0,5.0,1.0,13.0,1704.0,53.0
1034,Panhandle 1,Clayton,2895.0,47.0,116.0,64.0,1.0,228.0,226.0,1028.0,562.0,1.0,1817.0,5.0,6.0,6.0,0.0,17.0,2062.0,71.2
1035,Panhandle 2,Clayton,3382.0,98.0,284.0,107.0,1.0,490.0,265.0,1107.0,475.0,5.0,1852.0,3.0,9.0,7.0,0.0,19.0,2361.0,69.8
1036,Riverdale 1,Clayton,2330.0,20.0,61.0,42.0,1.0,124.0,167.0,834.0,431.0,8.0,1440.0,7.0,2.0,0.0,0.0,9.0,1573.0,67.5
1037,Riverdale 2,Clayton,3431.0,37.0,50.0,33.0,4.0,124.0,298.0,900.0,548.0,26.0,1772.0,6.0,7.0,6.0,1.0,20.0,1916.0,55.8
1038,Riverdale 3,Clayton,3650.0,44.0,59.0,42.0,0.0,145.0,325.0,1096.0,605.0,7.0,2033.0,5.0,5.0,9.0,0.0,19.0,2197.0,60.2
1018,Morrow 1,Clayton,3328.0,57.0,87.0,57.0,1.0,202.0,388.0,731.0,357.0,2.0,1478.0,10.0,4.0,3.0,0.0,17.0,1697.0,51.0
1039,Riverdale 4,Clayton,4362.0,42.0,112.0,71.0,0.0,225.0,426.0,975.0,647.0,10.0,2058.0,8.0,6.0,8.0,0.0,22.0,2305.0,52.8
1040,Riverdale 5,Clayton,2970.0,44.0,72.0,46.0,1.0,163.0,309.0,809.0,422.0,12.0,1552.0,4.0,5.0,7.0,0.0,16.0,1731.0,58.3
1041,Riverdale 6,Clayton,3661.0,67.0,97.0,70.0,1.0,235.0,335.0,630.0,381.0,11.0,1357.0,7.0,7.0,8.0,0.0,22.0,1614.0,44.1
1042,Riverdale 7,Clayton,3020.0,53.0,99.0,60.0,1.0,213.0,288.0,505.0,315.0,14.0,1122.0,7.0,5.0,5.0,0.0,17.0,1352.0,44.8
1043,Riverdale 8,Clayton,2895.0,35.0,100.0,70.0,0.0,205.0,236.0,883.0,598.0,5.0,1722.0,6.0,3.0,3.0,0.0,12.0,1939.0,67.0
1044,Riverdale 9,Clayton,2653.0,40.0,84.0,70.0,0.0,194.0,267.0,707.0,374.0,7.0,1355.0,0.0,6.0,1.0,0.0,7.0,1556.0,58.7
1045,Riverdale 10,Clayton,3176.0,19.0,28.0,12.0,0.0,59.0,329.0,686.0,296.0,10.0,1321.0,7.0,5.0,2.0,0.0,14.0,1394.0,43.9
1046,Riverdale 11,Clayton,1881.0,21.0,31.0,19.0,0.0,71.0,157.0,620.0,323.0,1.0,1101.0,4.0,4.0,2.0,0.0,10.0,1182.0,62.8
1033,Oak 5,Clayton,1795.0,17.0,27.0,8.0,1.0,53.0,172.0,395.0,83.0,7.0,657.0,2.0,2.0,1.0,0.0,5.0,715.0,39.8
1017,Lovejoy 7,Clayton,2779.0,62.0,156.0,35.0,2.0,255.0,221.0,756.0,218.0,6.0,1201.0,7.0,3.0,1.0,0.0,11.0,1467.0,52.8
1001,Jonesboro 11,Clayton,3863.0,96.0,275.0,151.0,2.0,524.0,240.0,1113.0,702.0,4.0,2059.0,5.0,6.0,10.0,0.0,21.0,2604.0,67.4
1015,Lovejoy 5,Clayton,3451.0,39.0,88.0,51.0,1.0,179.0,283.0,1013.0,489.0,15.0,1800.0,3.0,5.0,3.0,0.0,11.0,1990.0,57.7
985,Forest Park 1,Clayton,3566.0,85.0,144.0,84.0,1.0,314.0,375.0,489.0,352.0,11.0,1227.0,12.0,7.0,5.0,0.0,24.0,1565.0,43.9
986,Forest Park 2,Clayton,2821.0,87.0,93.0,89.0,2.0,271.0,282.0,548.0,354.0,11.0,1195.0,8.0,6.0,4.0,0.0,18.0,1484.0,52.6
987,Forest Park 3,Clayton,2845.0,79.0,132.0,62.0,2.0,275.0,241.0,455.0,353.0,20.0,1069.0,2.0,7.0,5.0,0.0,14.0,1358.0,47.7
988,Forest Park 4,Clayton,1783.0,83.0,184.0,78.0,2.0,347.0,152.0,341.0,162.0,0.0,655.0,5.0,6.0,5.0,0.0,16.0,1018.0,57.1
989,Forest Park 5,Clayton,3924.0,91.0,191.0,101.0,0.0,383.0,393.0,717.0,377.0,20.0,1507.0,5.0,3.0,5.0,0.0,13.0,1903.0,48.5
990,Forest Park 6,Clayton,1463.0,52.0,175.0,75.0,1.0,303.0,103.0,291.0,121.0,4.0,519.0,4.0,5.0,0.0,0.0,9.0,831.0,56.8
991,Jonesboro 1,Clayton,3244.0,39.0,73.0,57.0,0.0,169.0,263.0,933.0,592.0,5.0,1793.0,8.0,10.0,6.0,0.0,24.0,1986.0,61.2
992,Jonesboro 2,Clayton,4345.0,42.0,67.0,43.0,3.0,155.0,364.0,1276.0,735.0,10.0,2385.0,8.0,7.0,10.0,0.0,25.0,2565.0,59.0
993,Jonesboro 3,Clayton,4107.0,85.0,238.0,135.0,2.0,460.0,264.0,1146.0,761.0,7.0,2178.0,4.0,10.0,2.0,0.0,16.0,2654.0,64.6
994,Jonesboro 4,Clayton,2574.0,47.0,94.0,67.0,0.0,208.0,212.0,499.0,257.0,6.0,974.0,4.0,7.0,4.0,0.0,15.0,1197.0,46.5
995,Jonesboro 5,Clayton,2064.0,83.0,146.0,77.0,0.0,306.0,214.0,511.0,297.0,1.0,1023.0,4.0,6.0,3.0,0.0,13.0,1342.0,65.0
996,Jonesboro 6,Clayton,2574.0,121.0,498.0,254.0,1.0,874.0,105.0,503.0,490.0,3.0,1101.0,3.0,9.0,11.0,0.0,23.0,1998.0,77.6
997,Jonesboro 7,Clayton,3174.0,50.0,206.0,123.0,0.0,379.0,266.0,871.0,475.0,6.0,1618.0,6.0,9.0,2.0,0.0,17.0,2014.0,63.5
998,Jonesboro 8,Clayton,3947.0,48.0,96.0,34.0,0.0,178.0,405.0,981.0,371.0,4.0,1761.0,6.0,5.0,3.0,0.0,14.0,1953.0,49.5
999,Jonesboro 9,Clayton,1759.0,55.0,43.0,56.0,0.0,154.0,128.0,313.0,175.0,6.0,622.0,1.0,4.0,7.0,0.0,12.0,788.0,44.8
1000,Jonesboro 10,Clayton,3398.0,57.0,88.0,63.0,1.0,209.0,321.0,676.0,395.0,5.0,1397.0,11.0,4.0,9.0,0.0,24.0,1630.0,48.0
1047,Riverdale 12,Clayton,3065.0,61.0,58.0,56.0,0.0,175.0,266.0,904.0,520.0,4.0,1694.0,13.0,4.0,4.0,0.0,21.0,1890.0,61.7
1002,Jonesboro 12,Clayton,3067.0,38.0,65.0,39.0,0.0,142.0,294.0,833.0,431.0,17.0,1575.0,8.0,2.0,4.0,0.0,14.0,1731.0,56.4
1003,Jonesboro 13,Clayton,2140.0,80.0,94.0,42.0,0.0,216.0,207.0,651.0,357.0,4.0,1219.0,2.0,3.0,4.0,0.0,9.0,1444.0,67.5
1004,Jonesboro 14,Clayton,4116.0,116.0,424.0,287.0,2.0,829.0,238.0,1179.0,729.0,3.0,2149.0,6.0,12.0,11.0,0.0,29.0,3007.0,73.1
1005,Jonesboro 15,Clayton,2872.0,23.0,75.0,45.0,1.0,144.0,248.0,652.0,246.0,8.0,1154.0,3.0,7.0,5.0,1.0,16.0,1314.0,45.8
1006,Jonesboro 16,Clayton,2560.0,63.0,72.0,68.0,0.0,203.0,271.0,533.0,324.0,5.0,1133.0,12.0,7.0,2.0,0.0,21.0,1357.0,53.0
1007,Jonesboro 17,Clayton,3359.0,46.0,65.0,39.0,0.0,150.0,283.0,776.0,490.0,11.0,1560.0,6.0,3.0,5.0,0.0,14.0,1724.0,51.3
1008,Jonesboro 18,Clayton,3301.0,50.0,129.0,74.0,0.0,253.0,320.0,882.0,413.0,6.0,1621.0,1.0,4.0,7.0,0.0,12.0,1886.0,57.1
1009,Jonesboro 19,Clayton,3299.0,45.0,91.0,45.0,0.0,181.0,273.0,880.0,514.0,11.0,1678.0,4.0,11.0,8.0,0.0,23.0,1882.0,57.0
1011,Lovejoy 1,Clayton,4061.0,77.0,192.0,83.0,0.0,352.0,296.0,1331.0,620.0,2.0,2249.0,9.0,8.0,7.0,0.0,24.0,2625.0,64.6
1012,Lovejoy 2,Clayton,3611.0,48.0,151.0,64.0,3.0,266.0,228.0,1075.0,461.0,7.0,1771.0,5.0,8.0,6.0,0.0,19.0,2056.0,56.9
1013,Lovejoy 3,Clayton,1666.0,21.0,99.0,76.0,0.0,196.0,113.0,600.0,348.0,3.0,1064.0,3.0,1.0,5.0,0.0,9.0,1269.0,76.2
1014,Lovejoy 4,Clayton,4149.0,42.0,147.0,63.0,1.0,253.0,274.0,1518.0,634.0,3.0,2429.0,5.0,14.0,9.0,0.0,28.0,2710.0,65.3
1016,Lovejoy 6,Clayton,3708.0,39.0,130.0,78.0,2.0,249.0,276.0,1218.0,584.0,9.0,2087.0,1.0,10.0,7.0,0.0,18.0,2354.0,63.5
984,Ellenwood 2,Clayton,3273.0,34.0,84.0,49.0,1.0,168.0,227.0,1307.0,599.0,2.0,2135.0,8.0,9.0,4.0,0.0,21.0,2324.0,71.0
983,Ellenwood 1,Clayton,3020.0,24.0,62.0,34.0,0.0,120.0,217.0,1161.0,655.0,5.0,2038.0,4.0,6.0,4.0,0.0,14.0,2172.0,71.9
1123,Fargo,Clinch,270.0,144.0,17.0,8.0,0.0,169.0,12.0,7.0,3.0,0.0,22.0,0.0,0.0,1.0,0.0,1.0,192.0,71.1
1122,Dupont,Clinch,338.0,109.0,65.0,9.0,1.0,184.0,25.0,15.0,14.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,238.0,70.4
1121,Argyle,Clinch,367.0,95.0,108.0,17.0,0.0,220.0,19.0,13.0,7.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,259.0,70.6
1120,Arabia,Clinch,108.0,56.0,12.0,0.0,0.0,68.0,6.0,1.0,5.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,81.0,75.0
1124,Homerville,Clinch,3262.0,214.0,1075.0,175.0,0.0,1464.0,173.0,320.0,127.0,0.0,620.0,2.0,7.0,1.0,0.0,10.0,2094.0,64.2
2504,Murdock 01,Cobb,4059.0,421.0,662.0,639.0,0.0,1722.0,173.0,510.0,915.0,0.0,1598.0,22.0,18.0,22.0,0.0,62.0,3382.0,83.3
2525,Mt Bethel 04,Cobb,2981.0,242.0,557.0,506.0,0.0,1305.0,95.0,324.0,675.0,0.0,1094.0,11.0,9.0,22.0,0.0,42.0,2441.0,81.9
2526,North Cobb 01,Cobb,2317.0,209.0,384.0,203.0,0.0,796.0,116.0,409.0,338.0,1.0,864.0,17.0,10.0,7.0,0.0,34.0,1694.0,73.1
2527,Nickajack 01,Cobb,4889.0,152.0,409.0,217.0,3.0,781.0,326.0,1385.0,993.0,2.0,2706.0,8.0,11.0,24.0,0.0,43.0,3530.0,72.2
2528,Norton Park 01,Cobb,4922.0,220.0,487.0,434.0,1.0,1142.0,370.0,766.0,838.0,6.0,1980.0,25.0,20.0,29.0,1.0,75.0,3197.0,65.0
2529,Nicholson 01,Cobb,2455.0,293.0,393.0,282.0,1.0,969.0,130.0,324.0,389.0,0.0,843.0,18.0,11.0,15.0,0.0,44.0,1856.0,75.6
2530,Oakdale 01,Cobb,3944.0,258.0,475.0,397.0,0.0,1130.0,167.0,798.0,924.0,2.0,1891.0,13.0,13.0,17.0,0.0,43.0,3064.0,77.7
2524,Mt Bethel 03,Cobb,3294.0,209.0,651.0,439.0,0.0,1299.0,95.0,476.0,772.0,1.0,1344.0,11.0,10.0,17.0,0.0,38.0,2681.0,81.4
2531,Oregon 01,Cobb,1614.0,170.0,392.0,204.0,1.0,767.0,87.0,246.0,233.0,1.0,567.0,9.0,3.0,7.0,0.0,19.0,1353.0,83.8
2533,Oregon 03,Cobb,5713.0,204.0,353.0,309.0,2.0,868.0,459.0,1000.0,808.0,7.0,2274.0,11.0,14.0,21.0,2.0,48.0,3190.0,55.8
2534,Oregon 04,Cobb,4673.0,188.0,409.0,297.0,1.0,895.0,337.0,983.0,1001.0,4.0,2325.0,5.0,11.0,14.0,0.0,30.0,3250.0,69.5
2535,Oregon 05,Cobb,3846.0,298.0,596.0,322.0,1.0,1217.0,185.0,927.0,723.0,0.0,1835.0,13.0,9.0,16.0,0.0,38.0,3090.0,80.3
2502,Mabry 01,Cobb,1656.0,227.0,356.0,247.0,3.0,833.0,65.0,196.0,276.0,1.0,538.0,14.0,6.0,5.0,1.0,26.0,1397.0,84.4
2501,Mableton 04,Cobb,1581.0,137.0,218.0,194.0,0.0,549.0,78.0,291.0,341.0,0.0,710.0,3.0,11.0,9.0,0.0,23.0,1282.0,81.1
2500,Mableton 03,Cobb,3010.0,184.0,389.0,317.0,0.0,890.0,181.0,546.0,517.0,3.0,1247.0,9.0,8.0,13.0,0.0,30.0,2167.0,72.0
2532,Oregon 02,Cobb,5671.0,226.0,386.0,377.0,0.0,989.0,409.0,1277.0,1123.0,3.0,2812.0,19.0,20.0,17.0,0.0,56.0,3857.0,68.0
2523,Mt Bethel 01,Cobb,4125.0,385.0,737.0,634.0,4.0,1760.0,123.0,479.0,1022.0,2.0,1626.0,17.0,17.0,30.0,0.0,64.0,3450.0,83.6
2522,Mars Hill 02,Cobb,2916.0,292.0,579.0,248.0,0.0,1119.0,137.0,412.0,394.0,0.0,943.0,13.0,28.0,18.0,0.0,59.0,2121.0,72.7
2521,Mars Hill 01,Cobb,3633.0,430.0,1099.0,452.0,2.0,1983.0,99.0,305.0,339.0,0.0,743.0,14.0,16.0,17.0,0.0,47.0,2773.0,76.3
2505,McEachern 01,Cobb,3549.0,152.0,538.0,362.0,1.0,1053.0,144.0,821.0,671.0,0.0,1636.0,8.0,6.0,4.0,0.0,18.0,2707.0,76.3
2506,McCleskey 01,Cobb,1736.0,251.0,344.0,215.0,0.0,810.0,76.0,204.0,328.0,1.0,609.0,11.0,5.0,12.0,0.0,28.0,1447.0,83.4
2507,McClure 01,Cobb,3290.0,368.0,847.0,376.0,2.0,1593.0,131.0,403.0,456.0,1.0,991.0,20.0,21.0,10.0,0.0,51.0,2635.0,80.1
2508,Marietta 1A,Cobb,4468.0,194.0,313.0,198.0,1.0,706.0,335.0,727.0,555.0,7.0,1624.0,19.0,13.0,25.0,0.0,57.0,2387.0,53.4
2509,Marietta 2A,Cobb,2059.0,255.0,356.0,332.0,0.0,943.0,128.0,303.0,324.0,0.0,755.0,20.0,7.0,12.0,0.0,39.0,1737.0,84.4
2510,Marietta 2B,Cobb,4447.0,244.0,503.0,396.0,2.0,1145.0,341.0,868.0,711.0,1.0,1921.0,15.0,21.0,21.0,0.0,57.0,3123.0,70.2
2511,Marietta 3A,Cobb,4388.0,317.0,624.0,512.0,2.0,1455.0,220.0,747.0,767.0,1.0,1735.0,18.0,21.0,16.0,0.0,55.0,3245.0,74.0
2512,Marietta 3B,Cobb,2218.0,57.0,105.0,79.0,0.0,241.0,172.0,503.0,443.0,1.0,1119.0,1.0,2.0,5.0,0.0,8.0,1368.0,61.7
2513,Marietta 4A,Cobb,1956.0,384.0,367.0,329.0,0.0,1080.0,94.0,187.0,286.0,1.0,568.0,18.0,10.0,11.0,0.0,39.0,1687.0,86.2
2515,Marietta 4C,Cobb,2781.0,268.0,657.0,369.0,0.0,1294.0,98.0,376.0,476.0,0.0,950.0,21.0,5.0,8.0,0.0,34.0,2278.0,81.9
2516,Marietta 5A,Cobb,3324.0,158.0,249.0,182.0,0.0,589.0,289.0,586.0,597.0,7.0,1479.0,17.0,10.0,7.0,0.0,34.0,2102.0,63.2
2517,Marietta 5B,Cobb,3084.0,133.0,144.0,107.0,1.0,385.0,276.0,540.0,421.0,3.0,1240.0,14.0,8.0,7.0,0.0,29.0,1654.0,53.6
2518,Marietta 6A,Cobb,2647.0,114.0,160.0,98.0,2.0,374.0,263.0,550.0,368.0,3.0,1184.0,3.0,11.0,3.0,0.0,17.0,1575.0,59.5
2519,Marietta 6B,Cobb,2910.0,238.0,425.0,307.0,0.0,970.0,160.0,503.0,620.0,0.0,1283.0,15.0,14.0,22.0,0.0,51.0,2304.0,79.2
2536,Pebblebrook 01,Cobb,5218.0,114.0,286.0,227.0,2.0,629.0,427.0,1320.0,921.0,5.0,2673.0,18.0,16.0,4.0,0.0,38.0,3340.0,64.0
2503,Macland 01,Cobb,4213.0,153.0,394.0,212.0,0.0,759.0,270.0,1094.0,818.0,1.0,2183.0,10.0,10.0,9.0,1.0,30.0,2972.0,70.5
2520,Marietta 7A,Cobb,3745.0,108.0,152.0,99.0,0.0,359.0,273.0,762.0,422.0,4.0,1461.0,7.0,13.0,12.0,0.0,32.0,1852.0,49.5
2559,Smyrna 3B,Cobb,2496.0,158.0,356.0,235.0,1.0,750.0,142.0,502.0,519.0,3.0,1166.0,13.0,13.0,12.0,0.0,38.0,1954.0,78.3
2537,Powers Ferry 01,Cobb,3504.0,345.0,488.0,379.0,1.0,1213.0,198.0,484.0,601.0,4.0,1287.0,21.0,19.0,22.0,0.0,62.0,2562.0,73.1
2557,Smyrna 2A,Cobb,5539.0,167.0,403.0,278.0,1.0,849.0,407.0,1327.0,1056.0,1.0,2791.0,25.0,20.0,22.0,0.0,67.0,3707.0,66.9
2558,Smyrna 3A,Cobb,4573.0,204.0,472.0,248.0,1.0,925.0,251.0,1021.0,932.0,4.0,2208.0,13.0,24.0,26.0,0.0,63.0,3196.0,69.9
2560,Smyrna 4A,Cobb,5842.0,315.0,799.0,738.0,1.0,1853.0,252.0,1105.0,1452.0,6.0,2815.0,20.0,26.0,47.0,0.0,93.0,4761.0,81.5
2561,Smyrna 5A,Cobb,4319.0,218.0,360.0,233.0,0.0,811.0,335.0,832.0,831.0,8.0,2006.0,20.0,12.0,24.0,0.0,56.0,2873.0,66.5
2562,Smyrna 6A,Cobb,5936.0,325.0,770.0,610.0,1.0,1706.0,291.0,1203.0,1305.0,9.0,2808.0,31.0,22.0,42.0,0.0,95.0,4609.0,77.6
2563,Smyrna 7A,Cobb,6378.0,218.0,675.0,474.0,0.0,1367.0,231.0,1780.0,1773.0,1.0,3785.0,20.0,21.0,32.0,0.0,73.0,5225.0,81.9
2564,Sope Creek 01,Cobb,2163.0,266.0,356.0,347.0,1.0,970.0,102.0,255.0,478.0,0.0,835.0,15.0,7.0,15.0,0.0,37.0,1842.0,85.2
2565,Sope Creek 02,Cobb,4729.0,331.0,740.0,560.0,1.0,1632.0,215.0,735.0,1010.0,3.0,1963.0,23.0,22.0,23.0,0.0,68.0,3663.0,77.5
2566,Sope Creek 03,Cobb,2886.0,320.0,498.0,395.0,0.0,1213.0,127.0,406.0,556.0,0.0,1089.0,10.0,5.0,6.0,0.0,21.0,2323.0,80.5
2567,Sweetwater 01,Cobb,3235.0,191.0,431.0,245.0,0.0,867.0,206.0,731.0,501.0,1.0,1439.0,10.0,12.0,18.0,0.0,40.0,2346.0,72.5
2568,Sweetwater 02,Cobb,3367.0,95.0,168.0,178.0,3.0,444.0,259.0,630.0,610.0,18.0,1517.0,5.0,6.0,16.0,1.0,28.0,1989.0,59.1
2569,Terrell Mill 01,Cobb,5816.0,247.0,433.0,350.0,0.0,1030.0,454.0,1084.0,927.0,12.0,2477.0,21.0,21.0,20.0,0.0,62.0,3569.0,61.4
2570,Timber Ridge 01,Cobb,2448.0,258.0,426.0,341.0,0.0,1025.0,91.0,319.0,605.0,1.0,1016.0,8.0,11.0,15.0,0.0,34.0,2075.0,84.8
2571,Vaughan 01,Cobb,3146.0,356.0,933.0,341.0,0.0,1630.0,107.0,411.0,359.0,0.0,877.0,14.0,27.0,18.0,0.0,59.0,2566.0,81.6
2572,Vinings 01,Cobb,3260.0,191.0,272.0,236.0,1.0,700.0,208.0,751.0,637.0,2.0,1598.0,10.0,16.0,14.0,0.0,40.0,2338.0,71.7
2556,Smyrna 1A,Cobb,4152.0,158.0,211.0,183.0,2.0,554.0,404.0,841.0,683.0,3.0,1931.0,14.0,6.0,17.0,0.0,37.0,2522.0,60.7
2499,Mableton 02,Cobb,3330.0,137.0,217.0,180.0,0.0,534.0,257.0,622.0,537.0,0.0,1416.0,3.0,9.0,7.0,0.0,19.0,1969.0,59.1
2555,Sewell Mill 03,Cobb,4759.0,359.0,436.0,450.0,4.0,1249.0,340.0,764.0,751.0,4.0,1859.0,20.0,21.0,17.0,0.0,58.0,3166.0,66.5
2553,Simpson 01,Cobb,1868.0,172.0,354.0,211.0,1.0,738.0,72.0,316.0,368.0,0.0,756.0,12.0,5.0,5.0,0.0,22.0,1516.0,81.2
2538,Pine Mountain 01,Cobb,3491.0,348.0,943.0,486.0,2.0,1779.0,127.0,453.0,457.0,4.0,1041.0,15.0,16.0,10.0,0.0,41.0,2861.0,82.0
2539,Pine Mountain 02,Cobb,3127.0,384.0,834.0,532.0,0.0,1750.0,109.0,334.0,414.0,2.0,859.0,11.0,11.0,7.0,0.0,29.0,2638.0,84.4
2540,Post Oak 01,Cobb,3660.0,370.0,788.0,520.0,2.0,1680.0,143.0,472.0,672.0,2.0,1289.0,16.0,10.0,21.0,0.0,47.0,3016.0,82.4
2541,Pope 01,Cobb,3153.0,254.0,640.0,455.0,0.0,1349.0,119.0,402.0,652.0,0.0,1173.0,18.0,19.0,16.0,0.0,53.0,2575.0,81.7
2542,Palmer 01,Cobb,2760.0,294.0,491.0,353.0,0.0,1138.0,139.0,342.0,378.0,0.0,859.0,23.0,20.0,14.0,0.0,57.0,2054.0,74.4
2543,Powders Springs 1A,Cobb,4755.0,140.0,534.0,312.0,1.0,987.0,192.0,1328.0,1067.0,5.0,2592.0,14.0,21.0,10.0,0.0,45.0,3624.0,76.2
2544,Powders Springs 2A,Cobb,3536.0,94.0,228.0,141.0,0.0,463.0,214.0,957.0,632.0,3.0,1806.0,12.0,11.0,13.0,0.0,36.0,2305.0,65.2
2545,Powders Springs 3A,Cobb,3991.0,134.0,387.0,210.0,0.0,731.0,249.0,1094.0,628.0,1.0,1972.0,10.0,19.0,4.0,0.0,33.0,2736.0,68.6
2546,Pitner 01,Cobb,2814.0,332.0,506.0,272.0,1.0,1111.0,181.0,389.0,395.0,1.0,966.0,25.0,15.0,11.0,0.0,51.0,2128.0,75.6
2547,Rocky Mount 01,Cobb,3390.0,463.0,620.0,357.0,1.0,1441.0,164.0,407.0,661.0,2.0,1234.0,14.0,13.0,19.0,0.0,46.0,2721.0,80.3
2548,Riverside 01,Cobb,2133.0,47.0,42.0,30.0,0.0,119.0,206.0,481.0,308.0,2.0,997.0,5.0,6.0,3.0,0.0,14.0,1130.0,53.0
