County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,calc_participation,Rep_total,Dem_total,Lib_total
Taylor,5400.0,332.0,1670.0,287.0,11.0,2300.0,251.0,555.0,443.0,2.0,1251.0,15.0,60.0,10.0,0.0,85.0,3636.0,67.3,2300.0,1251.0,85.0
Telfair,6032.0,851.0,1372.0,339.0,3.0,2565.0,284.0,516.0,590.0,6.0,1396.0,30.0,30.0,10.0,0.0,70.0,4031.0,66.8,2565.0,1396.0,70.0
Terrell,6594.0,646.0,1044.0,261.0,0.0,1951.0,525.0,904.0,815.0,0.0,2244.0,35.0,29.0,11.0,0.0,75.0,4270.0,64.8,1951.0,2244.0,75.0
Thomas,30028.0,2592.0,8355.0,1667.0,1.0,12615.0,1313.0,4399.0,2185.0,4.0,7901.0,155.0,235.0,74.0,0.0,464.0,20980.0,69.9,12615.0,7901.0,464.0
Tift,24449.0,2624.0,6701.0,1217.0,13.0,10555.0,986.0,2375.0,1314.0,14.0,4689.0,113.0,201.0,53.0,0.0,367.0,15611.0,63.9,10555.0,4689.0,367.0
Toombs,0.0,1712.0,4646.0,1183.0,5.0,7546.0,520.0,1165.0,965.0,4.0,2654.0,79.0,108.0,41.0,0.0,228.0,10428.0,0.0,7546.0,2654.0,228.0
Towns,10693.0,917.0,3956.0,1171.0,7.0,6051.0,108.0,622.0,632.0,1.0,1363.0,46.0,79.0,36.0,0.0,161.0,7575.0,70.8,6051.0,1363.0,161.0
Treutlen,0.0,377.0,1323.0,263.0,0.0,1963.0,104.0,459.0,271.0,0.0,834.0,18.0,28.0,10.0,0.0,56.0,2853.0,0.0,1963.0,834.0,56.0
Troup,42964.0,4535.0,10300.0,2908.0,47.0,17790.0,2560.0,4851.0,3176.0,27.0,10614.0,243.0,319.0,118.0,1.0,681.0,29085.0,67.7,17790.0,10614.0,681.0
Turner,5582.0,352.0,1670.0,224.0,2.0,2248.0,307.0,729.0,270.0,0.0,1306.0,26.0,45.0,12.0,0.0,83.0,3637.0,65.2,2248.0,1306.0,83.0
Twiggs,6304.0,756.0,1130.0,288.0,0.0,2174.0,405.0,822.0,696.0,4.0,1927.0,39.0,37.0,22.0,0.0,98.0,4199.0,66.6,2174.0,1927.0,98.0
Union,19201.0,3178.0,6697.0,2159.0,9.0,12043.0,266.0,1077.0,1150.0,0.0,2493.0,127.0,167.0,89.0,1.0,384.0,14920.0,77.7,12043.0,2493.0,384.0
Upson,18175.0,1289.0,5800.0,1159.0,4.0,8252.0,608.0,1809.0,1440.0,0.0,3857.0,80.0,135.0,61.0,0.0,276.0,12385.0,68.1,8252.0,3857.0,276.0
Walker,42924.0,5155.0,13327.0,3407.0,7.0,21896.0,848.0,2272.0,1905.0,2.0,5027.0,405.0,523.0,184.0,0.0,1112.0,28035.0,65.3,21896.0,5027.0,1112.0
Walton,70006.0,8890.0,21952.0,5921.0,13.0,36776.0,1907.0,5769.0,3840.0,10.0,11526.0,513.0,730.0,284.0,3.0,1530.0,49832.0,71.2,36776.0,11526.0,1530.0
Ware,21994.0,2413.0,5598.0,1280.0,17.0,9308.0,505.0,1917.0,1467.0,22.0,3911.0,114.0,166.0,68.0,3.0,351.0,13570.0,61.7,9308.0,3911.0,351.0
Warren,3785.0,182.0,735.0,185.0,0.0,1102.0,284.0,572.0,492.0,0.0,1348.0,8.0,27.0,16.0,0.0,51.0,2501.0,66.1,1102.0,1348.0,51.0
Washington,12990.0,1353.0,2326.0,692.0,4.0,4375.0,983.0,1683.0,1676.0,5.0,4347.0,62.0,60.0,29.0,1.0,152.0,8874.0,68.3,4375.0,4347.0,152.0
Wayne,18104.0,2317.0,5832.0,1270.0,6.0,9425.0,437.0,1377.0,700.0,0.0,2514.0,86.0,137.0,44.0,0.0,267.0,12206.0,67.4,9425.0,2514.0,267.0
Webster,1705.0,128.0,460.0,119.0,0.0,707.0,132.0,244.0,221.0,0.0,597.0,3.0,8.0,1.0,0.0,12.0,1316.0,77.2,707.0,597.0,12.0
Wheeler,0.0,420.0,888.0,194.0,0.0,1502.0,185.0,272.0,174.0,0.0,631.0,12.0,20.0,6.0,0.0,38.0,2171.0,0.0,1502.0,631.0,38.0
White,20622.0,3293.0,6432.0,2023.0,4.0,11752.0,311.0,928.0,877.0,0.0,2116.0,200.0,240.0,88.0,0.0,528.0,14396.0,69.8,11752.0,2116.0,528.0
Whitfield,54749.0,8297.0,12387.0,3435.0,40.0,24159.0,2473.0,4394.0,2500.0,16.0,9383.0,515.0,513.0,199.0,3.0,1230.0,34772.0,63.5,24159.0,9383.0,1230.0
Wilcox,4661.0,702.0,1264.0,327.0,0.0,2293.0,258.0,338.0,190.0,0.0,786.0,20.0,17.0,14.0,0.0,51.0,3130.0,67.2,2293.0,786.0,51.0
Wilkes,6819.0,685.0,1594.0,460.0,2.0,2741.0,452.0,814.0,702.0,3.0,1971.0,35.0,43.0,15.0,2.0,95.0,4807.0,70.5,2741.0,1971.0,95.0
Wilkinson,6470.0,1216.0,1038.0,242.0,3.0,2499.0,481.0,870.0,569.0,2.0,1922.0,35.0,28.0,17.0,1.0,81.0,4502.0,69.6,2499.0,1922.0,81.0
Worth,14469.0,2672.0,3174.0,748.0,0.0,6594.0,532.0,910.0,775.0,0.0,2217.0,58.0,63.0,21.0,0.0,142.0,8953.0,61.9,6594.0,2217.0,142.0
