,Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
352,SS09A,Fulton,3193.0,157.0,890.0,599.0,0.0,1646.0,1646.0,51.6
351,SS08D,Fulton,1555.0,77.0,466.0,215.0,0.0,758.0,758.0,48.7
350,SS08C,Fulton,716.0,28.0,198.0,127.0,0.0,353.0,353.0,49.3
349,SS08B,Fulton,696.0,24.0,234.0,143.0,0.0,401.0,401.0,57.6
358,SS12,Fulton,2897.0,142.0,908.0,508.0,9.0,1567.0,1567.0,54.1
348,SS08A,Fulton,1891.0,135.0,600.0,222.0,11.0,968.0,968.0,51.2
346,SS07B,Fulton,793.0,43.0,257.0,133.0,1.0,434.0,434.0,54.7
345,SS07A,Fulton,1254.0,44.0,365.0,253.0,0.0,662.0,662.0,52.8
344,SS06,Fulton,1667.0,58.0,548.0,286.0,47.0,939.0,939.0,56.3
343,SS05,Fulton,1853.0,90.0,647.0,331.0,3.0,1071.0,1071.0,57.8
342,SS04,Fulton,3763.0,205.0,1152.0,570.0,13.0,1940.0,1940.0,51.6
341,SS03,Fulton,1577.0,82.0,560.0,253.0,3.0,898.0,898.0,56.9
340,SS02B,Fulton,1318.0,57.0,406.0,188.0,5.0,656.0,656.0,49.8
339,SS02A,Fulton,1206.0,45.0,362.0,216.0,2.0,625.0,625.0,51.8
338,SS01,Fulton,4846.0,173.0,1515.0,852.0,4.0,2544.0,2544.0,52.5
347,SS07C,Fulton,809.0,21.0,172.0,157.0,11.0,361.0,361.0,44.6
337,SC30B,Fulton,1110.0,53.0,308.0,121.0,0.0,482.0,482.0,43.4
359,SS13A,Fulton,2103.0,124.0,695.0,278.0,2.0,1099.0,1099.0,52.3
361,SS14,Fulton,1412.0,68.0,503.0,225.0,1.0,797.0,797.0,56.4
381,UC02C,Fulton,3614.0,125.0,1066.0,108.0,14.0,1313.0,1313.0,36.3
380,UC02B,Fulton,32.0,2.0,14.0,3.0,0.0,19.0,19.0,59.4
379,UC02A,Fulton,5609.0,289.0,1869.0,925.0,16.0,3099.0,3099.0,55.3
378,UC01E,Fulton,512.0,38.0,242.0,62.0,0.0,342.0,342.0,66.8
377,UC01D,Fulton,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,UC01B,Fulton,428.0,30.0,118.0,26.0,3.0,177.0,177.0,41.4
375,UC01A,Fulton,4234.0,287.0,1064.0,282.0,8.0,1641.0,1641.0,38.8
374,SS31,Fulton,1703.0,71.0,540.0,279.0,0.0,890.0,890.0,52.3
373,SS29A,Fulton,2842.0,162.0,875.0,441.0,6.0,1484.0,1484.0,52.2
